"strain","n_pointwise_obs","elpd_loo","se_elpd_loo","looic","se_looic","elpd_waic","se_elpd_waic","waic","se_waic"
"SGTF",644,-1418.89785171509,23.4970115588376,2837.79570343018,46.9940231176753,-1418.8899056256,23.4963504467002,2837.77981125119,46.9927008934004
"non-SGTF",1333,-3185.44589032399,30.8056737455551,6370.89178064799,61.6113474911101,-3185.4376562005,30.8051419039825,6370.875312401,61.6102838079649
