target_mean_gen,quantity_short,true_value,median_posterior_median,median_abs_error,median_abs_percent_error,q90_abs_error,q90_abs_percent_error,proportion_within_0.5_days,proportion_within_1_day,median_interval_width,coverage
3,mean,3.6294277579960905,3.816135,0.18670724200390953,5.144261146748816,0.24781024200390947,6.827804781565139,1,1,0.8269159999999998,1
10,mean,9.99447679385948,9.63155,0.4965732061405195,4.968476253260298,0.625602793859479,6.259485181293773,0.6,1,1.631062,1
20,mean,20.001397376534506,19.8984,0.7096473765345053,3.5479889888446414,1.4275894753069014,7.13744869136863,0.4,0.8,3.343720000000001,1
3,sd,2.3947242681337415,2.3498599999999996,0.04486426813374189,1.8734627919691793,0.09354626813374149,3.906348191253102,1,1,0.5315970000000001,1
10,sd,5.078438496240229,4.65916,0.4192784962402287,8.256051472330272,0.8743464962402284,17.216837358324653,0.6,0.8,1.9788154999999992,0.8
20,sd,10.486319426248857,11.31225,0.825930573751144,7.876267546110734,1.2441305737511437,11.864320770516441,0,0.8,4.054654000000001,1
