regime,target_mean_gen,true_mean_gen,true_sd_gen,n_pairs,n_successful_fits,failure_rate,median_bias_mean_gen,median_abs_error_mean_gen,rmse_mean_gen,median_ci_width_mean_gen,coverage_mean_gen,median_bias_sd_gen,median_abs_error_sd_gen,rmse_sd_gen,median_ci_width_sd_gen,coverage_sd_gen,convergence_ok_rate,median_min_ess_bulk,median_min_ess_tail
mean_3,3,3.6294277579960905,2.3947242681337415,200,5,0,0.18670724200390953,0.18670724200390953,0.18077604672613126,0.8269159999999998,1,-0.04486426813374189,0.04486426813374189,0.0627162397080694,0.5315970000000001,1,1,599.0109148433243,427.3372537073198
mean_10,10,9.99447679385948,5.078438496240229,200,5,0,-0.36292679385947935,0.4965732061405195,0.4946046328736984,1.631062,1,-0.4192784962402287,0.4192784962402287,0.5905457511591015,1.9788154999999996,0.8,0.4,476.31365149881844,323.52657615899585
mean_20,20,20.001397376534506,10.486319426248855,200,5,0,-0.10299737653450336,0.7096473765345053,0.9752857226733788,3.3437199999999976,1,0.825930573751144,0.825930573751144,0.9285349308979975,4.054653999999999,1,0,461.46042326437373,322.7223443788323
