regime,target_mean_gen,n_pairs,rep_id,true_mean_gen,true_sd_gen,mean_gen_median,mean_gen_q05,mean_gen_q95,mean_gen_error,mean_gen_abs_error,mean_gen_ci_width,mean_gen_covered,sd_gen_median,sd_gen_q05,sd_gen_q95,sd_gen_error,sd_gen_abs_error,sd_gen_ci_width,sd_gen_covered,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,median_abs_param_error
mean_3,3,200,1,3.6294277579960905,2.3947242681337415,3.8585000000000003,3.458022,4.2794004999999995,0.22907224200390974,0.22907224200390974,0.8213784999999993,TRUE,2.2767,2.0930245,2.53735,-0.11802426813374156,0.11802426813374156,0.44432550000000015,TRUE,1.0151420699446783,526.6979298400735,490.8432638314108,0,0.8033208009429997
mean_3,3,200,2,3.6294277579960905,2.3947242681337415,3.816135,3.4171264999999997,4.283343,0.18670724200390953,0.18670724200390953,0.8662165000000006,TRUE,2.37434,2.143188,2.6766834999999998,-0.02038426813374139,0.02038426813374139,0.5334954999999999,TRUE,1.0172864553417609,322.88185025852573,133.5363977161739,0,0.47962499999999997
mean_3,3,200,3,3.6294277579960905,2.3947242681337415,3.63137,3.2386415,4.0524075,0.0019422420039094668,0.0019422420039094668,0.8137660000000002,TRUE,2.3498599999999996,2.1640679999999994,2.5831329999999997,-0.04486426813374189,0.04486426813374189,0.41906500000000024,TRUE,1.010885969583622,768.0808030326125,572.8675183138365,0,0.5188269009429998
mean_3,3,200,4,3.6294277579960905,2.3947242681337415,3.5382949999999997,3.1352379999999997,3.9756959999999997,-0.09113275799609077,0.09113275799609077,0.8404579999999999,TRUE,2.385835,2.1772695,2.7088665,-0.008889268133741357,0.008889268133741357,0.5315970000000001,TRUE,1.0043128787376572,659.352816743694,427.3372537073198,0,0.6817366800162379
mean_3,3,200,5,3.6294277579960905,2.3947242681337415,3.88973,3.4728145,4.2997305,0.2603022420039096,0.2603022420039096,0.8269159999999998,TRUE,2.337895,2.0701925,2.7292775000000002,-0.05682926813374145,0.05682926813374145,0.6590850000000001,TRUE,1.0070978861956084,599.0109148433243,309.2770011150801,0,0.34267668001623774
mean_10,10,200,1,9.99447679385948,5.078438496240229,10.49105,9.712709,11.351120000000002,0.4965732061405195,0.4965732061405195,1.6384110000000014,TRUE,5.135655,4.0347995,6.571437,0.057216503759771165,0.057216503759771165,2.5366375000000003,TRUE,1.0067172881752053,549.7204374982608,467.80951836459826,1,0.14641690229870186
mean_10,10,200,2,9.99447679385948,5.078438496240229,9.405315000000002,8.710963999999999,10.12285,-0.5891617938594784,0.5891617938594784,1.4118860000000009,TRUE,4.01621,3.4361330000000003,4.886874,-1.0622284962402286,1.0622284962402286,1.4507409999999994,FALSE,1.0037774508473791,669.9199486272772,493.6111530183159,0,0.22916999999999987
mean_10,10,200,3,9.99447679385948,5.078438496240229,10.26905,9.454129,11.116445,0.27457320614051994,0.27457320614051994,1.6623160000000006,TRUE,4.786479999999999,3.9989115,6.0836375,-0.2919584962402295,0.2919584962402295,2.084726,TRUE,1.012972809327989,426.57442496849063,211.16321907244225,0,0.2747649070059546
mean_10,10,200,4,9.99447679385948,5.078438496240229,9.34458,8.551843,10.182905,-0.6498967938594795,0.6498967938594795,1.631062,TRUE,4.485915,3.880159,5.255182,-0.5925234962402284,0.5925234962402284,1.3750229999999997,TRUE,1.0058307417284713,476.31365149881844,323.52657615899585,1,0.3566125560612676
mean_10,10,200,5,9.99447679385948,5.078438496240229,9.63155,8.908452500000001,10.429409999999999,-0.36292679385947935,0.36292679385947935,1.520957499999998,TRUE,4.65916,3.7717169999999998,5.750532499999999,-0.4192784962402287,0.4192784962402287,1.9788154999999996,TRUE,1.007781017989378,440.97502196631353,141.33120818280258,8,0.2148343611198904
mean_20,20,200,1,20.001397376534506,10.486319426248855,20.78285,19.217750000000002,22.56147,0.7814526234654942,0.7814526234654942,3.3437199999999976,TRUE,11.027899999999999,9.009851,13.064504999999999,0.5415805737511441,0.5415805737511441,4.054653999999999,TRUE,1.0102208945394406,467.5766779482445,313.83433050664115,9,0.3847423037822285
mean_20,20,200,2,20.001397376534506,10.486319426248855,19.898400000000002,18.193659999999998,21.76881,-0.10299737653450336,0.10299737653450336,3.5751500000000007,TRUE,11.444099999999999,9.184989,13.853995,0.957780573751144,0.957780573751144,4.6690059999999995,TRUE,1.0164251440185326,367.6068556513551,197.08196285647662,7,0.1437636443082555
mean_20,20,200,3,20.001397376534506,10.486319426248855,20.422800000000002,18.93208,22.156019999999998,0.4214026234654966,0.4214026234654966,3.223939999999999,TRUE,11.312249999999999,9.453086,13.347674999999999,0.825930573751144,0.825930573751144,3.894588999999998,TRUE,1.0088568574792982,598.9588863107864,579.4043994338404,2,0.12550787550132214
mean_20,20,200,4,20.001397376534506,10.486319426248855,19.29175,17.9103,20.786994999999997,-0.7096473765345053,0.7096473765345053,2.876694999999998,TRUE,9.887355,8.2406515,11.795630000000001,-0.5989644262488554,0.5989644262488554,3.5549785000000007,TRUE,1.009833600946297,411.4983324742124,322.7223443788323,1,0.2615876244986779
mean_20,20,200,5,20.001397376534506,10.486319426248855,18.143050000000002,16.41611,20.033465000000003,-1.8583473765345033,1.8583473765345033,3.6173550000000034,TRUE,11.92135,9.631945499999999,14.558329999999998,1.4350305737511455,1.4350305737511455,4.926384499999999,TRUE,1.0163500552535956,461.46042326437373,390.50493478176463,1,0.280543536200091
