regime,target_mean_gen,true_mean_gen,true_sd_gen,hazard_shift,calibration_method,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z
mean_3,3,3.6294277579960905,2.3947242681337415,6.3657133886659105,closest_on_search_interval,4.5331319249176,-1.8325814637483102,-1.3093333199837622,-0.4780358009429998,3.5,0.04879016416943205,-1.0498221244986778
mean_10,10,9.99447679385948,5.078438496240229,0.7592326190587386,uniroot,-2.054178097701298,-2.3025850929940455,-1.7147984280919266,-1.3862943611198906,7.5,-0.35667494393873245,-1.0498221244986778
mean_20,20,20.001397376534506,10.486319426248855,-0.09521491629002624,uniroot,-3.7840943704039627,-2.5257286443082556,-2.120263536200091,-2.0402208285265546,11,-0.7985076962177716,-1.0498221244986778
