regime,target_mean_gen,n_pairs,quantity,n_successful,true_value,mean_estimate,median_estimate,estimate_lower_95,estimate_upper_95,bias,median_bias,mae,median_absolute_error,rmse,median_90_interval_width,coverage,coverage_lower_95,coverage_upper_95
mean_3,3,200,Generation-time SD,5,2.3947242681337415,2.344926,2.3498599999999996,2.2828195,2.3846855000000002,-0.04979826813374153,-0.04486426813374189,0.04979826813374153,0.04486426813374189,0.0627162397080694,0.5315970000000001,1,0.4781762498950186,1
mean_3,3,200,Generation-time mean,5,3.6294277579960905,3.746806,3.816135,3.5476025,3.886607,0.11737824200390952,0.1867072420039095,0.15383134520234581,0.1867072420039095,0.18077604672613126,0.8269159999999998,1,0.4781762498950186,1
mean_10,10,200,Generation-time SD,5,5.078438496240229,4.616684,4.65916,4.0631805,5.100737499999999,-0.4617544962402288,-0.4192784962402287,0.4846410977441373,0.4192784962402287,0.5905457511591015,1.9788154999999996,0.8,0.2835820638819106,0.9949492366205319
mean_10,10,200,Generation-time mean,5,9.99447679385948,9.828309,9.63155,9.3506535,10.46885,-0.16616779385947958,-0.36292679385947935,0.47462635877189535,0.4965732061405195,0.4946046328736984,1.631062,1,0.4781762498950186,1
mean_20,20,200,Generation-time SD,5,10.486319426248857,11.118591,11.31225,10.0014095,11.873625,0.6322715737511444,0.825930573751144,0.8718573442506866,0.825930573751144,0.9285349308979975,4.054653999999999,1,0.4781762498950186,1
mean_20,20,200,Generation-time mean,5,20.001397376534506,19.70777,19.8984,18.25792,20.746845,-0.2936273765345042,-0.10299737653450336,0.7747694753069005,0.7096473765345053,0.9752857226733788,3.3437199999999976,1,0.4781762498950186,1
