model,quantity,time,median,lwr,upr
Censored WH-informed,Advantage,3,1.8247898735759216,1.61900053358112,2.0280702281595566
Censored WH-informed,Advantage,3.071428571428571,1.848809683690233,1.652355222975162,2.049227415302739
Censored WH-informed,Advantage,3.142857142857143,1.8744223640114308,1.6914131483204229,2.0766384777675704
Censored WH-informed,Advantage,3.214285714285714,1.9007080162471457,1.7216806409355527,2.1162167781053918
Censored WH-informed,Advantage,3.2857142857142856,1.9269051428560595,1.7391225500299328,2.1635700968453753
Censored WH-informed,Advantage,3.357142857142857,1.9548860863782782,1.774494196567986,2.204001116651848
Censored WH-informed,Advantage,3.4285714285714284,1.9781531652295654,1.7949833769902348,2.2278086037665736
Censored WH-informed,Advantage,3.5,2.0081643767671373,1.8123071930611672,2.267421469744205
Censored WH-informed,Advantage,3.571428571428571,2.030435932402588,1.8181124642842414,2.3050701198942978
Censored WH-informed,Advantage,3.642857142857143,2.0506528693739146,1.8348905221479659,2.346429424832221
Censored WH-informed,Advantage,3.714285714285714,2.069083823760953,1.836756751475123,2.3658965633072166
Censored WH-informed,Advantage,3.7857142857142856,2.0845275220562955,1.842595815834727,2.3789653207376418
Censored WH-informed,Advantage,3.8571428571428568,2.0955647121895016,1.8562544862573096,2.3925047273615236
Censored WH-informed,Advantage,3.9285714285714284,2.1043039975666007,1.8674730118485867,2.388937288085792
Censored WH-informed,Advantage,4,2.1128566906703705,1.8755226967961647,2.3990938318546884
Censored WH-informed,Advantage,4.071428571428571,2.118833371441813,1.8967041047656967,2.4006046000760723
Censored WH-informed,Advantage,4.142857142857142,2.1260962353173585,1.9130417976054994,2.3835052059445045
Censored WH-informed,Advantage,4.2142857142857135,2.133048736994671,1.9230651901062725,2.385156263584612
Censored WH-informed,Advantage,4.285714285714286,2.1339986168569602,1.9389354832253756,2.3958020011910923
Censored WH-informed,Advantage,4.357142857142857,2.136675635123461,1.9332839709691283,2.3831643349813674
Censored WH-informed,Advantage,4.428571428571429,2.1335196506452987,1.9355857573334394,2.38165392723799
Censored WH-informed,Advantage,4.5,2.131230970318687,1.93298005807418,2.3791399381050122
Censored WH-informed,Advantage,4.571428571428571,2.1300828236941003,1.929314015653896,2.3861565183444653
Censored WH-informed,Advantage,4.642857142857142,2.128000330924382,1.929330956933556,2.3828335706993777
Censored WH-informed,Advantage,4.7142857142857135,2.129618612339323,1.9211752292170838,2.377379012456425
Censored WH-informed,Advantage,4.785714285714286,2.126944907661807,1.9157962287485581,2.3657705821375385
Censored WH-informed,Advantage,4.857142857142857,2.1270334198890595,1.9137095389116707,2.362025242265298
Censored WH-informed,Advantage,4.928571428571429,2.1271534882303484,1.9111268399568004,2.3520823277049523
Censored WH-informed,Advantage,5,2.1265057482412533,1.9111710231424761,2.346665102195305
Censored WH-informed,Advantage,5.071428571428571,2.129791051966201,1.9153984323644893,2.344903606975603
Censored WH-informed,Advantage,5.142857142857142,2.1263326335050046,1.9280142085039391,2.339055809765684
Censored WH-informed,Advantage,5.214285714285714,2.128927817766652,1.9299341214787187,2.340999155854028
Censored WH-informed,Advantage,5.285714285714286,2.1280026325219348,1.9327282702272572,2.346440742923783
Censored WH-informed,Advantage,5.357142857142857,2.13066820273295,1.9191440363297831,2.3397337700915624
Censored WH-informed,Advantage,5.428571428571428,2.1324665414035557,1.9091761099195375,2.330056765407274
Censored WH-informed,Advantage,5.5,2.1258717770609077,1.9009985238222218,2.33769320694781
Censored WH-informed,Advantage,5.571428571428571,2.121278017042873,1.8956388917992977,2.334735370033944
Censored WH-informed,Advantage,5.642857142857142,2.1187837903948887,1.8956550848850482,2.337909050178446
Censored WH-informed,Advantage,5.714285714285714,2.114767000389988,1.8877359368234448,2.339921791360733
Censored WH-informed,Advantage,5.785714285714286,2.1098314432294396,1.8821309172834095,2.3283398405749045
Censored WH-informed,Advantage,5.857142857142857,2.1034367242740717,1.877825746275173,2.3290085061520287
Censored WH-informed,Advantage,5.928571428571428,2.0973265104424685,1.8742349490820294,2.323890037437332
Censored WH-informed,Advantage,6,2.088842718722442,1.8660773811947684,2.3167884871960327
Censored WH-informed,Advantage,6.071428571428571,2.0801487836292494,1.8705009004816617,2.3061919722789708
Censored WH-informed,Advantage,6.142857142857142,2.0706118114614327,1.8643658288419824,2.2915607156102635
Censored WH-informed,Advantage,6.214285714285714,2.061069271015866,1.862254807326618,2.2794710600846573
Censored WH-informed,Advantage,6.285714285714286,2.052941064698431,1.8623210200797606,2.2672123974268934
Censored WH-informed,Advantage,6.357142857142857,2.0434123577143763,1.8412806579725467,2.249425321665842
Censored WH-informed,Advantage,6.428571428571428,2.030332468093495,1.824352552880286,2.2498003317687805
Censored WH-informed,Advantage,6.5,2.020753699917246,1.803518073951823,2.245657214571628
Censored WH-informed,Advantage,6.571428571428571,2.0114322150005712,1.7820278592821381,2.2378585951735896
Censored WH-informed,Advantage,6.642857142857142,1.9993131824157224,1.7651254893971056,2.2284798006090725
Censored WH-informed,Advantage,6.7142857142857135,1.98835847454071,1.7472735281219398,2.2146022706994657
Censored WH-informed,Advantage,6.785714285714286,1.9768412796256598,1.7367273189837664,2.206182184004107
Censored WH-informed,Advantage,6.857142857142857,1.9603372904183738,1.718642726842564,2.196018551670307
Censored WH-informed,Advantage,6.928571428571428,1.9480146680416417,1.7031916634710573,2.1910403354539203
Censored WH-informed,Advantage,7,1.9328659509321353,1.6887232513125032,2.174047916667296
Censored WH-informed,Advantage,7.071428571428571,1.919490782677419,1.6878473241285923,2.150360494173305
Censored WH-informed,Advantage,7.142857142857142,1.9046753228109485,1.6816582738013202,2.125792626145955
Censored WH-informed,Advantage,7.2142857142857135,1.8945346770802851,1.6838532316928918,2.100341420588799
Censored WH-informed,Advantage,7.285714285714286,1.8817282344938218,1.6792637367034062,2.092409997814677
Censored WH-informed,Advantage,7.357142857142857,1.8699729007059704,1.673180000643901,2.089454428718499
Censored WH-informed,Advantage,7.428571428571428,1.8581137859022738,1.6558656332643138,2.081692530047593
Censored WH-informed,Advantage,7.5,1.8437687092816442,1.643474977870662,2.070475452742986
Censored WH-informed,Advantage,7.571428571428571,1.8398922576642596,1.620794559383278,2.0631552442692613
Censored WH-informed,Advantage,7.642857142857142,1.8279968372952526,1.60733035295895,2.057445011134301
Censored WH-informed,Advantage,7.7142857142857135,1.8156811240621946,1.5908621993334,2.04991057541621
Censored WH-informed,Advantage,7.785714285714286,1.8035130938153927,1.575469926371539,2.038461149065349
Censored WH-informed,Advantage,7.857142857142857,1.7943989824337327,1.5610577339384617,2.023998540999265
Censored WH-informed,Advantage,7.928571428571428,1.7855904763757064,1.55973095801784,2.0085649472410427
Censored WH-informed,Advantage,8,1.7778176834286956,1.5620425059064962,1.9899415130798623
Censored WH-informed,Advantage,8.071428571428571,1.770394861313394,1.5645458165141402,1.975041869865445
Censored WH-informed,Advantage,8.142857142857142,1.7581320182018327,1.563410283939533,1.9563332984249087
Censored WH-informed,Advantage,8.214285714285714,1.7502317344359495,1.5573407053495316,1.9425001902820307
Censored WH-informed,Advantage,8.285714285714285,1.7445896831703096,1.5437196845829995,1.926991512837236
Censored WH-informed,Advantage,8.357142857142858,1.7391434434789552,1.5442922223122155,1.9165087270650067
Censored WH-informed,Advantage,8.428571428571427,1.7321911152881593,1.5333092884613408,1.9078068883420276
Censored WH-informed,Advantage,8.5,1.7159877221589586,1.5237467028403582,1.903099226778866
Censored WH-informed,Advantage,8.571428571428571,1.7008534894374043,1.5128641954155824,1.901648245010747
Censored WH-informed,Advantage,8.642857142857142,1.688029455527284,1.495204668886637,1.8854408360380734
Censored WH-informed,Advantage,8.714285714285714,1.6745218502353003,1.4844916284247132,1.8838309216200315
Censored WH-informed,Advantage,8.785714285714285,1.6619385076034434,1.47036068417934,1.8640240794711187
Censored WH-informed,Advantage,8.857142857142858,1.6463592960627782,1.4576602335972455,1.85461437427247
Censored WH-informed,Advantage,8.928571428571427,1.6288686082249344,1.442831467417691,1.837255344685356
Censored WH-informed,Advantage,9,1.6132789114183752,1.4279435735513444,1.8198051560909028
Censored WH-informed,Advantage,9.071428571428571,1.5963201979772066,1.41150101441522,1.8025502304487502
Censored WH-informed,Advantage,9.142857142857142,1.5742434869557982,1.3985464807966907,1.7736218814513922
Censored WH-informed,Advantage,9.214285714285714,1.5523653370105817,1.3835563526026051,1.7519613829187106
Censored WH-informed,Advantage,9.285714285714285,1.5318067862236442,1.3598338638892953,1.7280264874934246
Censored WH-informed,Advantage,9.357142857142856,1.5098718630014163,1.338550990775558,1.7103521151336312
Censored WH-informed,Advantage,9.428571428571429,1.4927956939972133,1.315237953419536,1.7027785691700685
Censored WH-informed,Advantage,9.5,1.4733573907549924,1.2933232154200378,1.6939075773784438
Censored WH-informed,Advantage,9.571428571428571,1.4556383577656837,1.2709033433381351,1.6900990058221967
Censored WH-informed,Advantage,9.642857142857142,1.4402644941168077,1.2491960375931563,1.6937167566890328
Censored WH-informed,Advantage,9.714285714285714,1.4278687839549393,1.2320709387843307,1.6990071447256003
Censored WH-informed,Advantage,9.785714285714285,1.414812776312961,1.2084232791106995,1.7025552192134599
Censored WH-informed,Advantage,9.857142857142856,1.4050473358008295,1.191595851490563,1.703488270842286
Censored WH-informed,Advantage,9.928571428571429,1.3933014938201567,1.1773018169842748,1.70174626597107
Censored WH-informed,Advantage,10,1.382449818694719,1.1653246314298298,1.7035473945485824
Censored WH-informed,Delta,3,0.889395700540051,0.825787988995379,0.9626495291841848
Censored WH-informed,Delta,3.071428571428571,0.8834911809555365,0.8214358916162828,0.9532996213662922
Censored WH-informed,Delta,3.142857142857143,0.8803054146451164,0.8211543311631089,0.9478891451704848
Censored WH-informed,Delta,3.214285714285714,0.8756569915437339,0.8185930827215341,0.9396519226770557
Censored WH-informed,Delta,3.2857142857142856,0.8709265261898964,0.81142636889523,0.9290248502405214
Censored WH-informed,Delta,3.357142857142857,0.8669170470824348,0.8061310865689069,0.9229604555415265
Censored WH-informed,Delta,3.4285714285714284,0.8612629733422934,0.8011150700633795,0.9202690475302654
Censored WH-informed,Delta,3.5,0.856120118239255,0.7942457839622689,0.914111448696236
Censored WH-informed,Delta,3.571428571428571,0.8499947198455531,0.7902139663276487,0.9117994086785809
Censored WH-informed,Delta,3.642857142857143,0.8459979623175191,0.7862489530928469,0.9059745983312664
Censored WH-informed,Delta,3.714285714285714,0.840993641908186,0.7823387988736531,0.9011329108924037
Censored WH-informed,Delta,3.7857142857142856,0.8366733747354739,0.7784002365967865,0.8987568087470154
Censored WH-informed,Delta,3.8571428571428568,0.8326032253662661,0.774700167793871,0.8983800976093138
Censored WH-informed,Delta,3.9285714285714284,0.828640824651286,0.7707682546768242,0.8921546249443719
Censored WH-informed,Delta,4,0.8242472740890681,0.7651326691975948,0.8865596808042843
Censored WH-informed,Delta,4.071428571428571,0.8198201649068588,0.7632810240275931,0.8839346730183218
Censored WH-informed,Delta,4.142857142857142,0.8170330672663098,0.7621760398498038,0.8781605149361275
Censored WH-informed,Delta,4.2142857142857135,0.812656620824347,0.7575343342916131,0.8688674887659456
Censored WH-informed,Delta,4.285714285714286,0.8087323344195573,0.7518509831903757,0.8632765742544124
