"model","strain","serial","q025","q50","q975","source","strain_label"
"Lognormal","SGTF",-0.199999999999999,0.044663243375,0.0518981055,0.0596919503,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",0,0.052669282175,0.061269723,0.070314322,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",0.200000000000001,0.062320924125,0.0722902065,0.082754046225,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",0.4,0.07326350985,0.0846347945,0.09632119245,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",0.600000000000001,0.085943136,0.098286959,0.1110086255,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",0.800000000000001,0.099497537025,0.11303232,0.126066679,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",1,0.113897413,0.12800446,0.1404822305,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",1.2,0.128622572,0.14249649,0.15375570025,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",1.4,0.14299451275,0.155663195,0.16527778975,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",1.6,0.15639680875,0.16686753,0.1744593745,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",1.8,0.167527077,0.175444295,0.1809135875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",2,0.17561417875,0.18126188,0.1849158655,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",2.2,0.179785218,0.18440901,0.1864770625,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",2.4,0.179659667,0.185045975,0.186635769,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",2.6,0.177365286,0.182989995,0.18616070175,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",2.8,0.17263045375,0.178963785,0.1837982115,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",3,0.1664552145,0.1733896,0.17938571275,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",3.2,0.15935448725,0.16657282,0.17332379175,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",3.4,0.1514070395,0.15890635,0.16622303725,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",3.6,0.143144321,0.15064541,0.158242849,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",3.8,0.13445416025,0.142048265,0.15002401975,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",4,0.12607637875,0.13337983,0.141412039,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",4.2,0.117475732,0.124763645,0.1327221825,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",4.4,0.10908998225,0.116257625,0.12399751425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",4.6,0.10115716275,0.108088135,0.1155045125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",4.8,0.093576728725,0.10023758,0.1072964465,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",5,0.086414627,0.0927667355,0.099501615675,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",5.2,0.0796923067,0.0856920015,0.092170393875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",5.4,0.073429507,0.0790641445,0.085333208275,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",5.6,0.067613294325,0.0728528585,0.078800552925,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",5.8,0.06218859545,0.0670863765,0.072671862125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",6,0.05714708445,0.0617318015,0.066920595225,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",6.2,0.052510847125,0.056762545,0.0615730294,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",6.4,0.048227343525,0.052166661,0.056618732825,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",6.6,0.044288586,0.0479142805,0.05212396325,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",6.8,0.040669501125,0.044025078,0.047915474775,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",7,0.037330666425,0.040428359,0.0440322254,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",7.2,0.03426418455,0.0371327055,0.04047964795,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",7.4,0.0314602773,0.0341035985,0.0372175947,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",7.6,0.0288987589,0.031327149,0.0341923395,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",7.8,0.026551339575,0.028788059,0.031428806475,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",8,0.024400688025,0.026452023,0.028875092,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",8.2,0.0224296479,0.0243139105,0.026564736125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",8.4,0.02062221185,0.022352838,0.02443531255,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",8.6,0.018967459725,0.0205582655,0.022486054875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",8.8,0.017454117125,0.018909347,0.020685775675,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",9,0.016066051275,0.017401512,0.01904165825,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",9.2,0.014794582375,0.01602217,0.017549913,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",9.4,0.013629626625,0.014757235,0.016165581175,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",9.6,0.0125619582,0.013597283,0.0148989456,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",9.8,0.011583148175,0.0125336215,0.01373765015,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",10,0.01068549475,0.011557889,0.01267123815,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",10.2,0.00986197265,0.0106627165,0.0116918411,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",10.4,0.0091061725575,0.0098410419,0.010792241975,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",10.6,0.008412250325,0.0090869426,0.0099657210875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",10.8,0.0077748786975,0.00839458395,0.0092060574125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",11,0.00718920211,0.00775864845,0.0085076981075,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",11.2,0.0066507952925,0.00717428985,0.0078655932,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",11.4,0.0061556255625,0.00663709205,0.0072750058775,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",11.6,0.00570001744,0.00614303075,0.0067315588025,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",11.8,0.0052806206375,0.0056884385,0.0062327111525,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",12,0.0048943811675,0.0052699727,0.005772449425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",12.2,0.00453851424,0.0048845862,0.00534787797,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",12.4,0.00421048016,0.0045295008,0.0049563408025,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",12.6,0.0039079620375,0.00420218285,0.0045955059,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",12.8,0.00362884597,0.0039002777,0.00426298996,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",13,0.003371201965,0.00362169525,0.00395705433,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",13.2,0.0031332681275,0.00336454435,0.0036740180125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",13.4,0.00291343486,0.00312706435,0.0034127054125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",13.6,0.00271023156,0.0029076143,0.0031713505925,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",13.8,0.002522313935,0.0027047688,0.00294833561,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",14,0.002348452485,0.00251718535,0.0027421788025,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",14.2,0.00218752271,0.00234361805,0.00255237352,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",14.4,0.0020384083425,0.00218299295,0.0023759421125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",14.6,0.001900262825,0.0020342272,0.00221263735,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",14.8,0.0017722258875,0.00189640595,0.0020614187475,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",15,0.00165356084,0.00176855395,0.0019213316875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",15.2,0.0015434878225,0.00164998545,0.001791639345,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",15.4,0.00144131112,0.00154007125,0.001671328585,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",15.6,0.0013463470875,0.00143814125,0.0015597215325,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",15.8,0.0012581434325,0.0013434785,0.0014561629425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",16,0.00117621732,0.00125555935,0.0013600309125,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",16.2,0.00110007235,0.0011738127,0.00127075314,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",16.4,0.0010292554425,0.0010978796,0.0011878070725,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",16.6,0.0009633664905,0.0010271698,0.0011107117425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",16.8,0.00090203734025,0.000961452605,0.0010390243425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",17,0.00084492919725,0.00090027853,0.00097233810275,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",17.2,0.000791731001,0.000843315315,0.0009102786315,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",17.4,0.00074215461425,0.00079017991,0.00085250138025,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",17.6,0.00069593492925,0.00074067369,0.00079868919075,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",17.8,0.000652827783,0.000694547795,0.0007485499205,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",18,0.00061260797225,0.000651513,0.00070180845475,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",18.2,0.00057506771175,0.000611337575,0.00065818518325,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",18.4,0.00054001516675,0.000573848445,0.00061749359925,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",18.6,0.000507273172,0.000538874865,0.0005795222615,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",18.8,0.00047667804125,0.000506205375,0.00054407588,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",19,0.00044807846875,0.00047567078,0.00051097402675,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",19.2,0.0004213345475,0.000447126325,0.00048005024775,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",19.4,0.00039631687025,0.00042043554,0.00045115046425,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",19.6,0.00037290564,0.000395489235,0.00042415330625,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",19.8,0.00035098995925,0.00037214214,0.0003989342875,"serial_density_norm_grid","Omicron"
"Lognormal","SGTF",20,0.00033046713975,0.000350260845,0.00037533708925,"serial_density_norm_grid","Omicron"
"WH-informed","SGTF",-4,0.000540523252358639,0.000830611573773006,0.00124879583085324,"log_lik fallback","Omicron"
"WH-informed","SGTF",-3,0.00137752505667541,0.00208607075352544,0.00314924468563484,"log_lik fallback","Omicron"
"WH-informed","SGTF",-2,0.00363882945488714,0.0053178721508229,0.00825760997893965,"log_lik fallback","Omicron"
"WH-informed","SGTF",-1,0.00877792907358888,0.0140931036378607,0.023310153320189,"log_lik fallback","Omicron"
"WH-informed","SGTF",0,0.051445790862175,0.067150005992699,0.0944301005480861,"log_lik fallback","Omicron"
"WH-informed","SGTF",1,0.126918179867323,0.143426010088521,0.161380967052661,"log_lik fallback","Omicron"
"WH-informed","SGTF",2,0.179310613326273,0.201178613266565,0.22823306872436,"log_lik fallback","Omicron"
"WH-informed","SGTF",3,0.175810546123912,0.190940326098932,0.208150419819623,"log_lik fallback","Omicron"
"WH-informed","SGTF",4,0.127164564136728,0.140404418811056,0.15439899876275,"log_lik fallback","Omicron"
"WH-informed","SGTF",5,0.0836265286353368,0.0928377380505113,0.102607467285901,"log_lik fallback","Omicron"
"WH-informed","SGTF",6,0.0517777887251219,0.0579629995778631,0.0647941333854464,"log_lik fallback","Omicron"
"WH-informed","SGTF",7,0.0301593143597336,0.0347955598075158,0.0399054071072615,"log_lik fallback","Omicron"
"WH-informed","SGTF",8,0.0165932073661362,0.020209227550873,0.0241808914128313,"log_lik fallback","Omicron"
"WH-informed","SGTF",9,0.00876189790186324,0.0114519590603257,0.0145279245183428,"log_lik fallback","Omicron"
"WH-informed","SGTF",10,0.00450797658265839,0.00643011979418393,0.00871161850660454,"log_lik fallback","Omicron"
"WH-informed","SGTF",11,0.0022637236383391,0.00356070223948316,0.0051965458469766,"log_lik fallback","Omicron"
"WH-informed","SGTF",12,0.00111198337186359,0.00194466416502615,0.00307371282901188,"log_lik fallback","Omicron"
"WH-informed","SGTF",13,0.000534490452704898,0.00104918243876271,0.00180482333105021,"log_lik fallback","Omicron"
"WH-informed","SGTF",14,0.00025410347870416,0.000566078564804842,0.00106156922553278,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",-4,0.000428304605197029,0.000775553459717784,0.00130222247148277,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",-3,0.00114609524290551,0.00202365491066476,0.00328567910325624,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",-2,0.00353946816115156,0.00577624864730962,0.00889000820288545,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",-1,0.0128595530971632,0.0185306099316939,0.0253801959155984,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",0,0.0498567644549038,0.0599838266650784,0.070439096412126,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",1,0.123891305965331,0.138766195537536,0.154588962526091,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",2,0.184138095575491,0.200943595446337,0.216978136650382,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",3,0.181883499192913,0.194268471278739,0.207190411325834,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",4,0.135306605626838,0.145809483979463,0.157317902244085,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",5,0.0875433165572921,0.0955574699884853,0.104603146071221,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",6,0.0521736608172475,0.0584681593040317,0.0652134059775353,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",7,0.0294940654437932,0.0342983440431447,0.0396196064257984,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",8,0.0160835784689589,0.0195900861467071,0.0236334185844008,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",9,0.00843586247520868,0.0110397064216789,0.0141316494859604,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",10,0.00432346744564043,0.00610732952468533,0.00836596859738861,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",11,0.00217726991248144,0.00333147994828028,0.00490588883962784,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",12,0.00107218246821172,0.00181427182586418,0.00289913170488052,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",13,0.000530235878906863,0.000974470116179801,0.00170045223907961,"log_lik fallback","Omicron"
"Censored WH-informed","SGTF",14,0.000259307403611651,0.000518290368092647,0.000997102505151282,"log_lik fallback","Omicron"
"Lognormal","non-SGTF",-10,0.00011018145725,0.000157065635,0.0002245583105,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-9.8,0.00012045101275,0.00017082056,0.0002429814125,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-9.6,0.00013177697875,0.000185748025,0.00026309189775,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-9.4,0.00014419275225,0.000202146375,0.00028500330575,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-9.2,0.000157856767,0.000220142575,0.00030920392625,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-9,0.00017322932825,0.0002400207,0.000335494797,"serial_density_norm_grid","Delta"
"Lognormal","non-SGTF",-8.8,0.000190099304,0.000261988335,0.0003645072,"serial_density_norm_grid","Delta"
