"strain","n_pointwise_obs","elpd_loo","se_elpd_loo","looic","se_looic","p_loo","elpd_waic","se_elpd_waic","waic","se_waic","p_waic"
"SGTF",644,-1414.78444605832,23.3382991793642,2829.56889211664,46.6765983587284,4.53607185298333,-1414.77907775544,23.3377474834047,2829.55815551088,46.6754949668093,4.53070355011158
"non-SGTF",1333,-3166.89544707156,30.3961010401326,6333.79089414312,60.7922020802652,4.17379887234218,-3166.88416855682,30.3956989237105,6333.76833711364,60.791397847421,4.16252035764
