"model","strain","parameter","value","parameter_label"
"Mechanistic","SGTF","lambda_I",0.619273662373969,"lambda[I]"
"Mechanistic","SGTF","r",0.0871686962916249,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.778247252518071,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",0.994925,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.17122601086215,"kappa"
"Mechanistic","SGTF","sigma_z",0.434116216836209,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.166361857271279,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.556689302440166,"lambda[I]"
"Mechanistic","SGTF","r",0.912069486930952,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.734498004636657,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.15328,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.38491907792433,"kappa"
"Mechanistic","SGTF","sigma_z",0.533324085105451,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0826293776554148,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.9308045121142,"lambda[I]"
"Mechanistic","SGTF","r",0.319793437317952,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.733330347428894,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",0.82266,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.37491583746058,"kappa"
"Mechanistic","SGTF","sigma_z",0.362659826922826,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.117536071619982,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.957012237743673,"lambda[I]"
"Mechanistic","SGTF","r",0.436218506271176,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.694677201211625,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",0.83906,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.10823056313646,"kappa"
"Mechanistic","SGTF","sigma_z",0.631174442882553,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.263039780917842,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.310972747269842,"lambda[I]"
"Mechanistic","SGTF","r",0.633528051507512,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.782191252440931,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.74357,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.42629670478314,"kappa"
"Mechanistic","SGTF","sigma_z",0.670267092843681,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.368380465960908,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.32802022857989,"lambda[I]"
"Mechanistic","SGTF","r",0.541189924403185,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.760938301473921,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.6734,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.73245370892228,"kappa"
"Mechanistic","SGTF","sigma_z",0.274753760171367,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.259367319500485,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.248861191951334,"lambda[I]"
"Mechanistic","SGTF","r",1.12802351557553,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.68080660496504,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.55123,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.21377954874681,"kappa"
"Mechanistic","SGTF","sigma_z",0.205861843048894,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.321219689170778,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.38246313861247,"lambda[I]"
"Mechanistic","SGTF","r",0.494683556815551,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.741300650357203,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.72457,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.04521041323171,"kappa"
"Mechanistic","SGTF","sigma_z",0.628675533731068,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.257955032986737,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.807090074871303,"lambda[I]"
"Mechanistic","SGTF","r",0.755277535946732,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.673959000526117,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.32439,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.20756478335821,"kappa"
"Mechanistic","SGTF","sigma_z",0.194376165485448,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.249851134619378,"lambda[1]"
