"model","strain","serial","q025","q50","q975"
"Lognormal","SGTF",1.2,0.128622572,0.14249649,0.15375570025
"Lognormal","SGTF",1.4,0.14299451275,0.155663195,0.16527778975
"Lognormal","SGTF",1.6,0.15639680875,0.16686753,0.1744593745
"Lognormal","SGTF",1.8,0.167527077,0.175444295,0.1809135875
"Lognormal","SGTF",2,0.17561417875,0.18126188,0.1849158655
"Lognormal","SGTF",2.2,0.179785218,0.18440901,0.1864770625
"Lognormal","SGTF",2.4,0.179659667,0.185045975,0.186635769
"Lognormal","SGTF",2.6,0.177365286,0.182989995,0.18616070175
"Lognormal","SGTF",2.8,0.17263045375,0.178963785,0.1837982115
"Lognormal","SGTF",3,0.1664552145,0.1733896,0.17938571275
"Lognormal","SGTF",3.2,0.15935448725,0.16657282,0.17332379175
"Lognormal","SGTF",3.4,0.1514070395,0.15890635,0.16622303725
"Lognormal","SGTF",3.6,0.143144321,0.15064541,0.158242849
"Lognormal","SGTF",3.8,0.13445416025,0.142048265,0.15002401975
"Lognormal","SGTF",4,0.12607637875,0.13337983,0.141412039
"Lognormal","SGTF",4.2,0.117475732,0.124763645,0.1327221825
"Lognormal","SGTF",4.4,0.10908998225,0.116257625,0.12399751425
"Lognormal","SGTF",4.6,0.10115716275,0.108088135,0.1155045125
"Lognormal","SGTF",4.8,0.093576728725,0.10023758,0.1072964465
"Lognormal","SGTF",5,0.086414627,0.0927667355,0.099501615675
"Lognormal","SGTF",5.2,0.0796923067,0.0856920015,0.092170393875
"Lognormal","SGTF",5.4,0.073429507,0.0790641445,0.085333208275
"Lognormal","SGTF",5.6,0.067613294325,0.0728528585,0.078800552925
"Lognormal","SGTF",5.8,0.06218859545,0.0670863765,0.072671862125
"Lognormal","SGTF",6,0.05714708445,0.0617318015,0.066920595225
"Lognormal","SGTF",6.2,0.052510847125,0.056762545,0.0615730294
"Lognormal","SGTF",6.4,0.048227343525,0.052166661,0.056618732825
"Lognormal","SGTF",6.6,0.044288586,0.0479142805,0.05212396325
"Lognormal","SGTF",6.8,0.040669501125,0.044025078,0.047915474775
"Lognormal","SGTF",7,0.037330666425,0.040428359,0.0440322254
"Lognormal","SGTF",7.2,0.03426418455,0.0371327055,0.04047964795
"Lognormal","SGTF",7.4,0.0314602773,0.0341035985,0.0372175947
"Lognormal","SGTF",7.6,0.0288987589,0.031327149,0.0341923395
"Lognormal","SGTF",7.8,0.026551339575,0.028788059,0.031428806475
"Lognormal","SGTF",8,0.024400688025,0.026452023,0.028875092
"Lognormal","SGTF",8.2,0.0224296479,0.0243139105,0.026564736125
"Lognormal","SGTF",8.4,0.02062221185,0.022352838,0.02443531255
"Lognormal","SGTF",8.6,0.018967459725,0.0205582655,0.022486054875
"Lognormal","SGTF",8.8,0.017454117125,0.018909347,0.020685775675
"Lognormal","SGTF",9,0.016066051275,0.017401512,0.01904165825
"Lognormal","SGTF",9.2,0.014794582375,0.01602217,0.017549913
"Lognormal","SGTF",9.4,0.013629626625,0.014757235,0.016165581175
"Lognormal","SGTF",9.6,0.0125619582,0.013597283,0.0148989456
"Lognormal","SGTF",9.8,0.011583148175,0.0125336215,0.01373765015
"Lognormal","SGTF",10,0.01068549475,0.011557889,0.01267123815
"Lognormal","SGTF",10.2,0.00986197265,0.0106627165,0.0116918411
"Lognormal","SGTF",10.4,0.0091061725575,0.0098410419,0.010792241975
"Lognormal","SGTF",10.6,0.008412250325,0.0090869426,0.0099657210875
"Lognormal","SGTF",10.8,0.0077748786975,0.00839458395,0.0092060574125
"Lognormal","SGTF",11,0.00718920211,0.00775864845,0.0085076981075
"Lognormal","SGTF",11.2,0.0066507952925,0.00717428985,0.0078655932
"Lognormal","SGTF",11.4,0.0061556255625,0.00663709205,0.0072750058775
"Lognormal","SGTF",11.6,0.00570001744,0.00614303075,0.0067315588025
"Lognormal","SGTF",11.8,0.0052806206375,0.0056884385,0.0062327111525
"Lognormal","SGTF",12,0.0048943811675,0.0052699727,0.005772449425
"Lognormal","SGTF",12.2,0.00453851424,0.0048845862,0.00534787797
"Lognormal","SGTF",12.4,0.00421048016,0.0045295008,0.0049563408025
"Lognormal","SGTF",12.6,0.0039079620375,0.00420218285,0.0045955059
"Lognormal","SGTF",12.8,0.00362884597,0.0039002777,0.00426298996
"Lognormal","SGTF",13,0.003371201965,0.00362169525,0.00395705433
"Lognormal","SGTF",13.2,0.0031332681275,0.00336454435,0.0036740180125
"Lognormal","SGTF",13.4,0.00291343486,0.00312706435,0.0034127054125
"Lognormal","SGTF",13.6,0.00271023156,0.0029076143,0.0031713505925
"Lognormal","SGTF",13.8,0.002522313935,0.0027047688,0.00294833561
"Lognormal","SGTF",14,0.002348452485,0.00251718535,0.0027421788025
"Lognormal","SGTF",14.2,0.00218752271,0.00234361805,0.00255237352
"Lognormal","SGTF",14.4,0.0020384083425,0.00218299295,0.0023759421125
"Lognormal","SGTF",14.6,0.001900262825,0.0020342272,0.00221263735
"Lognormal","SGTF",14.8,0.0017722258875,0.00189640595,0.0020614187475
"Lognormal","SGTF",15,0.00165356084,0.00176855395,0.0019213316875
"Lognormal","SGTF",15.2,0.0015434878225,0.00164998545,0.001791639345
"Lognormal","SGTF",15.4,0.00144131112,0.00154007125,0.001671328585
"Lognormal","SGTF",15.6,0.0013463470875,0.00143814125,0.0015597215325
"Lognormal","SGTF",15.8,0.0012581434325,0.0013434785,0.0014561629425
"Lognormal","SGTF",16,0.00117621732,0.00125555935,0.0013600309125
"Lognormal","SGTF",16.2,0.00110007235,0.0011738127,0.00127075314
"Lognormal","SGTF",16.4,0.0010292554425,0.0010978796,0.0011878070725
"Lognormal","SGTF",16.6,0.0009633664905,0.0010271698,0.0011107117425
"Lognormal","SGTF",16.8,0.00090203734025,0.000961452605,0.0010390243425
"Lognormal","SGTF",17,0.00084492919725,0.00090027853,0.00097233810275
"Lognormal","SGTF",17.2,0.000791731001,0.000843315315,0.0009102786315
"Lognormal","SGTF",17.4,0.00074215461425,0.00079017991,0.00085250138025
"Lognormal","SGTF",17.6,0.00069593492925,0.00074067369,0.00079868919075
"Lognormal","SGTF",17.8,0.000652827783,0.000694547795,0.0007485499205
"Lognormal","SGTF",18,0.00061260797225,0.000651513,0.00070180845475
"Lognormal","SGTF",18.2,0.00057506771175,0.000611337575,0.00065818518325
"Lognormal","SGTF",18.4,0.00054001516675,0.000573848445,0.00061749359925
"Lognormal","SGTF",18.6,0.000507273172,0.000538874865,0.0005795222615
"Lognormal","SGTF",18.8,0.00047667804125,0.000506205375,0.00054407588
"Lognormal","SGTF",19,0.00044807846875,0.00047567078,0.00051097402675
"Lognormal","SGTF",19.2,0.0004213345475,0.000447126325,0.00048005024775
"Lognormal","SGTF",19.4,0.00039631687025,0.00042043554,0.00045115046425
"Lognormal","SGTF",19.6,0.00037290564,0.000395489235,0.00042415330625
"Lognormal","SGTF",19.8,0.00035098995925,0.00037214214,0.0003989342875
"Lognormal","SGTF",20,0.00033046713975,0.000350260845,0.00037533708925
"Lognormal","non-SGTF",-10,0.00011018145725,0.000157065635,0.0002245583105
"Lognormal","non-SGTF",-9.8,0.00012045101275,0.00017082056,0.0002429814125
"Lognormal","non-SGTF",-9.6,0.00013177697875,0.000185748025,0.00026309189775
"Lognormal","non-SGTF",-9.4,0.00014419275225,0.000202146375,0.00028500330575
"Lognormal","non-SGTF",-9.2,0.000157856767,0.000220142575,0.00030920392625
"Lognormal","non-SGTF",-9,0.00017322932825,0.0002400207,0.000335494797
"Lognormal","non-SGTF",-8.8,0.000190099304,0.000261988335,0.0003645072
"Lognormal","non-SGTF",-8.6,0.000208786258,0.00028617611,0.00039631858675
"Lognormal","non-SGTF",-8.4,0.000229551539,0.000312856645,0.000431152059
"Lognormal","non-SGTF",-8.2,0.00025274959025,0.000342517455,0.00046975717475
"Lognormal","non-SGTF",-8,0.00027830687475,0.000374953675,0.0005119347495
"Lognormal","non-SGTF",-7.8,0.00030700370275,0.000411380045,0.0005587104465
"Lognormal","non-SGTF",-7.6,0.00033898180475,0.000451689475,0.00060989508575
"Lognormal","non-SGTF",-7.4,0.00037482498,0.00049622054,0.00066615536225
"Lognormal","non-SGTF",-7.2,0.0004148726545,0.00054615096,0.0007291445155
"Lognormal","non-SGTF",-7,0.00045973581775,0.00060100255,0.00079803007575
"Lognormal","non-SGTF",-6.8,0.000510976955,0.00066288193,0.0008740498255
"Lognormal","non-SGTF",-6.6,0.0005672696095,0.000731624955,0.00095878613375
"Lognormal","non-SGTF",-6.4,0.000630651391,0.00080814662,0.001052780335
"Lognormal","non-SGTF",-6.2,0.0007035862775,0.00089457317,0.0011603108
"Lognormal","non-SGTF",-6,0.0007837906,0.00099129247,0.0012766471125
"Lognormal","non-SGTF",-5.8,0.000875826948,0.0011003249,0.001408563335
"Lognormal","non-SGTF",-5.6,0.00098001733875,0.00122223695,0.00155545309
"Lognormal","non-SGTF",-5.4,0.0010982019975,0.0013612431,0.001721340625
"Lognormal","non-SGTF",-5.2,0.001233109205,0.0015171425,0.001908691285
"Lognormal","non-SGTF",-5,0.0013842946375,0.0016921775,0.0021166686625
"Lognormal","non-SGTF",-4.8,0.001558402435,0.0018903162,0.0023492128475
"Lognormal","non-SGTF",-4.6,0.0017538352175,0.00211750065,0.0026176958775
"Lognormal","non-SGTF",-4.4,0.0019763617375,0.0023744789,0.0029198291925
"Lognormal","non-SGTF",-4.2,0.0022388138025,0.00266804,0.003258835845
"Lognormal","non-SGTF",-4,0.0025305177025,0.00300382855,0.003630809575
"Lognormal","non-SGTF",-3.8,0.0028678797875,0.00338818465,0.0040629785
"Lognormal","non-SGTF",-3.6,0.00325762884,0.00382794505,0.0045492948425
"Lognormal","non-SGTF",-3.4,0.0036988034075,0.0043325678,0.0051060344375
"Lognormal","non-SGTF",-3.2,0.0042263662125,0.00490948975,0.005748956965
"Lognormal","non-SGTF",-3,0.004826177795,0.00556971095,0.0064765109575
"Lognormal","non-SGTF",-2.8,0.0055213252225,0.0063362317,0.0073182338275
"Lognormal","non-SGTF",-2.6,0.0063277102125,0.00722261825,0.00828503069
"Lognormal","non-SGTF",-2.4,0.0072626755475,0.0082495512,0.00939534344
"Lognormal","non-SGTF",-2.2,0.0083562688225,0.0094427755,0.01067654245
"Lognormal","non-SGTF",-2,0.009629162915,0.0108302725,0.01217618395
"Lognormal","non-SGTF",-1.8,0.0111033275,0.012458084,0.013973822225
"Lognormal","non-SGTF",-1.6,0.012854248725,0.0143524365,0.016071932
"Lognormal","non-SGTF",-1.4,0.014848894325,0.016550606,0.01847314715
"Lognormal","non-SGTF",-1.2,0.017282057975,0.0191721945,0.0214006131
"Lognormal","non-SGTF",-1,0.02006709055,0.0222240305,0.02470516495
"Lognormal","non-SGTF",-0.799999999999999,0.0233349863,0.025808758,0.028647371025
"Lognormal","non-SGTF",-0.6,0.02715220895,0.030017652,0.033222487675
"Lognormal","non-SGTF",-0.399999999999999,0.031554908025,0.03493957,0.038771093775
"Lognormal","non-SGTF",-0.199999999999999,0.036744393525,0.0407434065,0.045423642675
"Lognormal","non-SGTF",0,0.0427332617,0.047485566,0.053001421825
"Lognormal","non-SGTF",0.200000000000001,0.0496619972,0.0553165805,0.06173378245
"Lognormal","non-SGTF",0.4,0.0577031334,0.064278257,0.07166299885
"Lognormal","non-SGTF",0.600000000000001,0.0668613894,0.0743275125,0.082550603975
"Lognormal","non-SGTF",0.800000000000001,0.077178724675,0.085455075,0.094346022
"Lognormal","non-SGTF",1,0.088428921925,0.0973580425,0.106546977
"Lognormal","non-SGTF",1.2,0.100362247,0.109665515,0.11877336675
"Lognormal","non-SGTF",1.4,0.11268704575,0.121983105,0.130348095
"Lognormal","non-SGTF",1.6,0.12501226075,0.13359497,0.1410017055
"Lognormal","non-SGTF",1.8,0.13672235575,0.144149455,0.15053449325
"Lognormal","non-SGTF",2,0.14717132,0.153279725,0.158631878
"Lognormal","non-SGTF",2.2,0.1557912455,0.160632635,0.16492198125
"Lognormal","non-SGTF",2.4,0.16194210575,0.166115455,0.1696997195
"Lognormal","non-SGTF",2.6,0.16536793675,0.169632185,0.173162141
"Lognormal","non-SGTF",2.8,0.16608708725,0.171226145,0.17518824
"Lognormal","non-SGTF",3,0.1652047975,0.170851775,0.175561979
"Lognormal","non-SGTF",3.2,0.162632193,0.16887026,0.17448128425
"Lognormal","non-SGTF",3.4,0.15860927575,0.165461815,0.1718199115
"Lognormal","non-SGTF",3.6,0.15371385275,0.160797155,0.1675648365
"Lognormal","non-SGTF",3.8,0.14806574,0.155195035,0.16221750875
"Lognormal","non-SGTF",4,0.141817892,0.14880134,0.15588535775
"Lognormal","non-SGTF",4.2,0.13507792,0.141880205,0.1488678705
"Lognormal","non-SGTF",4.4,0.127872648,0.13462804,0.14145898375
"Lognormal","non-SGTF",4.6,0.1207935545,0.127182505,0.1335715185
"Lognormal","non-SGTF",4.8,0.113617468,0.11969943,0.12590660875
"Lognormal","non-SGTF",5,0.106509894,0.112245035,0.1181242725
"Lognormal","non-SGTF",5.2,0.0994836257,0.104867755,0.11045386325
"Lognormal","non-SGTF",5.4,0.09277221085,0.0977439205,0.102923971
"Lognormal","non-SGTF",5.6,0.0862916073,0.090857413,0.095680189775
"Lognormal","non-SGTF",5.8,0.0799603894,0.0842448995,0.088752410675
"Lognormal","non-SGTF",6,0.073825877025,0.077999389,0.082176572275
"Lognormal","non-SGTF",6.2,0.068018194025,0.072008925,0.07602812625
"Lognormal","non-SGTF",6.4,0.06263767205,0.0664683365,0.0702697424
"Lognormal","non-SGTF",6.6,0.0575577609,0.0612445225,0.06483344925
"Lognormal","non-SGTF",6.8,0.05293255035,0.056354676,0.059811173225
"Lognormal","non-SGTF",7,0.048549119525,0.05178973,0.055116505175
"Lognormal","non-SGTF",7.2,0.044419169725,0.0475483825,0.05075303255
"Lognormal","non-SGTF",7.4,0.04065767355,0.043622885,0.04674318535
"Lognormal","non-SGTF",7.6,0.03720606595,0.0400003455,0.042993105375
"Lognormal","non-SGTF",7.8,0.034021845725,0.036645661,0.039538283425
"Lognormal","non-SGTF",8,0.03103303485,0.0335708825,0.0363149937
"Lognormal","non-SGTF",8.2,0.02833823525,0.030738041,0.0333462586
"Lognormal","non-SGTF",8.4,0.0258316791,0.0281407755,0.030631476725
"Lognormal","non-SGTF",8.6,0.0235774391,0.0257497395,0.028169726925
"Lognormal","non-SGTF",8.8,0.02151330585,0.023553578,0.02589349225
"Lognormal","non-SGTF",9,0.0196190248,0.021538576,0.023758011275
"Lognormal","non-SGTF",9.2,0.017885728775,0.0196914845,0.021799798775
"Lognormal","non-SGTF",9.4,0.01631614315,0.0180066745,0.0200251264
"Lognormal","non-SGTF",9.6,0.01487820095,0.0164708125,0.01841084605
"Lognormal","non-SGTF",9.8,0.013579868,0.015062533,0.01690500345
"Lognormal","non-SGTF",10,0.012397077275,0.013779496,0.01551862845
"Lognormal","non-SGTF",10.2,0.011319739075,0.0126098225,0.014255630575
"Lognormal","non-SGTF",10.4,0.01033059735,0.011540221,0.0131045456
"Lognormal","non-SGTF",10.6,0.00943055905,0.0105629875,0.01205183435
"Lognormal","non-SGTF",10.8,0.00862281142,0.0096703927,0.011081525
"Lognormal","non-SGTF",11,0.0078774609225,0.0088574114,0.010199182775
"Lognormal","non-SGTF",11.2,0.00719924125,0.00810837885,0.0093838187425
"Lognormal","non-SGTF",11.4,0.006580164735,0.00742531365,0.008628940955
"Lognormal","non-SGTF",11.6,0.0060169624175,0.00680327195,0.007943964605
"Lognormal","non-SGTF",11.8,0.0055060665175,0.00623526665,0.007313353585
"Lognormal","non-SGTF",12,0.005040978615,0.00571341155,0.0067349670975
"Lognormal","non-SGTF",12.2,0.0046171156575,0.00523956835,0.006206559705
"Lognormal","non-SGTF",12.4,0.0042307020725,0.00480485315,0.0057185019825
"Lognormal","non-SGTF",12.6,0.003877953315,0.00440718395,0.005270641
"Lognormal","non-SGTF",12.8,0.0035561576625,0.0040444449,0.004858132285
"Lognormal","non-SGTF",13,0.00326255114,0.0037142939,0.00447961953
"Lognormal","non-SGTF",13.2,0.0029945593075,0.0034119474,0.0041316917825
"Lognormal","non-SGTF",13.4,0.0027498484675,0.00313528925,0.0038128522375
"Lognormal","non-SGTF",13.6,0.002526303435,0.00288268975,0.0035223522275
"Lognormal","non-SGTF",13.8,0.0023220078025,0.002650598,0.003255440285
"Lognormal","non-SGTF",14,0.0021352235475,0.0024384703,0.0030078757325
"Lognormal","non-SGTF",14.2,0.0019643756975,0.00224432855,0.0027783491275
"Lognormal","non-SGTF",14.4,0.0018080359275,0.00206599245,0.0025676400325
"Lognormal","non-SGTF",14.6,0.001664908655,0.0019025272,0.00237505452
"Lognormal","non-SGTF",14.8,0.0015338188225,0.0017530386,0.002198425465
"Lognormal","non-SGTF",15,0.001413700195,0.00161599675,0.00203463721
"Lognormal","non-SGTF",15.2,0.00130358476,0.0014904244,0.0018826457825
"Lognormal","non-SGTF",15.4,0.00120259411,0.00137498935,0.0017422155075
"Lognormal","non-SGTF",15.6,0.0011099298625,0.00126881825,0.0016128768275
"Lognormal","non-SGTF",15.8,0.001024867225,0.00117125745,0.00149241113
"Lognormal","non-SGTF",16,0.000946747165,0.0010815674,0.0013810337925
"Lognormal","non-SGTF",16.2,0.0008749705755,0.000999290875,0.0012783985875
"Lognormal","non-SGTF",16.4,0.00080899262375,0.000923569735,0.0011855619
"Lognormal","non-SGTF",16.6,0.000748317509,0.00085408563,0.0011005842975
"Lognormal","non-SGTF",16.8,0.00069249404925,0.00079016012,0.0010221757875
"Lognormal","non-SGTF",17,0.000641111314,0.000731349275,0.00094893967225
"Lognormal","non-SGTF",17.2,0.0005938398895,0.000676929535,0.0008808919255
"Lognormal","non-SGTF",17.4,0.00055031413475,0.00062677984,0.000818143895
"Lognormal","non-SGTF",17.6,0.000510152319,0.00058067131,0.0007605533105
"Lognormal","non-SGTF",17.8,0.00047307285,0.00053823816,0.000707555038
"Lognormal","non-SGTF",18,0.000438868855,0.000499035665,0.00065825166
"Lognormal","non-SGTF",18.2,0.000407303879,0.000462881855,0.0006117273085
"Lognormal","non-SGTF",18.4,0.00037816192775,0.000429628645,0.000569300744
"Lognormal","non-SGTF",18.6,0.00035124701325,0.000398807735,0.000529559904
"Lognormal","non-SGTF",18.8,0.0003263932485,0.00037039532,0.00049232677525
"Lognormal","non-SGTF",19,0.000303417522,0.00034416841,0.0004578513255
"Lognormal","non-SGTF",19.2,0.00028216908925,0.000319836375,0.00042617931375
"Lognormal","non-SGTF",19.4,0.00026250999525,0.000297325765,0.0003970473915
"Lognormal","non-SGTF",19.6,0.00024431390575,0.00027649406,0.00037002501
"Lognormal","non-SGTF",19.8,0.00022746514625,0.000257217035,0.000344956296
"Lognormal","non-SGTF",20,0.00021185767225,0.00023939521,0.0003216873215
