"panel","strain","serial","q025","q50","q975","source"
"Lognormal","non-SGTF",4,0.129032258064516,0.149287321830458,0.170292573143286,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",5,0.0952738184546136,0.112528132033008,0.131282820705176,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",6,0.0645161290322581,0.0787696924231058,0.0937734433608402,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",7,0.040510127531883,0.0517629407351838,0.0652663165791448,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",8,0.0247561890472618,0.0337584396099025,0.0442610652663166,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",9,0.0142535633908477,0.0217554388597149,0.0300075018754689,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",10,0.00750187546886722,0.013503375843961,0.0210052513128282,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",11,0.00450112528132033,0.00900225056264066,0.0142535633908477,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",12,0.00225056264066016,0.00600150037509377,0.0105026256564141,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",13,0.000750187546886722,0.00375093773443361,0.00750187546886722,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",14,0,0.00225056264066016,0.00525131282820705,"serial_density_norm_grid integrated into integer-day bins"
"Lognormal","non-SGTF",15,0,0.00150037509377344,0.00450112528132033,"serial_density_norm_grid integrated into integer-day bins"
"Mechanistic","SGTF",-5,0,0,0,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",-4,0,0,0.0031055900621118,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",-3,0,0.0015527950310559,0.0062111801242236,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",-2,0,0.0046583850931677,0.0124223602484472,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",-1,0.0046583850931677,0.0139751552795031,0.0295031055900621,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",0,0.0434782608695652,0.0667701863354037,0.102484472049689,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",1,0.111801242236025,0.142857142857143,0.175504658385093,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",2,0.16304347826087,0.200310559006211,0.243827639751553,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",3,0.156832298136646,0.190993788819876,0.226708074534162,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",4,0.111801242236025,0.141304347826087,0.170807453416149,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",5,0.0698369565217391,0.093167701863354,0.118012422360248,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",6,0.0403726708074534,0.0574534161490683,0.077639751552795,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",7,0.0201863354037267,0.0341614906832298,0.0512422360248447,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",8,0.0093167701863354,0.0201863354037267,0.0326086956521739,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",9,0.0046583850931677,0.0108695652173913,0.0217391304347826,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",10,0.0015527950310559,0.0062111801242236,0.0139751552795031,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",11,0,0.0031055900621118,0.0093167701863354,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",12,0,0.0015527950310559,0.0062111801242236,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",13,0,0,0.0046583850931677,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",14,0,0,0.0031055900621118,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","SGTF",15,0,0,0,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",-5,0,0.00150037509377344,0.00375093773443361,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",-4,0,0.00225056264066016,0.00600150037509377,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",-3,0.00150037509377344,0.00450112528132033,0.00900225056264066,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",-2,0.00375093773443361,0.00825206301575394,0.0142535633908477,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",-1,0.00675168792198049,0.013503375843961,0.0217554388597149,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",0,0.0555138784696174,0.0742685671417855,0.0945236309077269,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",1,0.0930232558139535,0.112528132033008,0.132033008252063,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",2,0.120030007501875,0.140285071267817,0.161290322580645,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",3,0.134283570892723,0.156789197299325,0.179294823705926,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",4,0.129032258064516,0.150037509377344,0.172561890472618,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",5,0.099774943735934,0.118529632408102,0.13953488372093,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",6,0.0652663165791448,0.0810202550637659,0.0982745686421605,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",7,0.0397599399849963,0.0525131282820705,0.0660165041260315,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",8,0.0232558139534884,0.0330082520630158,0.0435108777194299,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",9,0.0127531882970743,0.0202550637659415,0.0285071267816954,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",10,0.00600150037509377,0.0120030007501875,0.0195048762190548,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",11,0.00300075018754689,0.00675168792198049,0.0127531882970743,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",12,0.000750187546886722,0.00375093773443361,0.00825206301575394,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",13,0,0.00225056264066016,0.00525131282820705,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",14,0,0.00150037509377344,0.00375093773443361,"log_lik fallback normalized over observed integer serial support"
"Mechanistic","non-SGTF",15,0,0.000750187546886722,0.00225056264066016,"log_lik fallback normalized over observed integer serial support"
