"strain","variable","mean","median","sd","q5","q95","rhat","ess_bulk","ess_tail"
"SGTF","log_lambda1",-1.50233827317,-1.470305,0.954033812686956,-3.144969,0.0240137649999998,1.00884969202048,741.560213128138,844.803250265606
"SGTF","log_lambda_I",-0.1712091775295,-0.0870885,0.714999662513566,-1.453672,0.828974,1.01408911475142,267.068221594721,796.679160814204
"SGTF","log_r",-1.232868426625,-1.238745,0.706717876281643,-2.4033175,-0.033827155,1.01351097539961,503.083831269155,422.136008773615
"SGTF","log_d",-0.301233218275,-0.3034105,0.0983038293999013,-0.4684453,-0.14478355,1.00692796492255,765.97251385902,746.848074831472
"SGTF","m",1.841362805,1.890855,0.444794244359345,1.079581,2.5492865,1.00966196477107,285.040773345188,458.114311289643
"SGTF","log_kappa",1.27726218905,1.19667,0.676355478451807,0.2644357,2.544991,1.00677803793688,762.450560634823,418.524082941849
"SGTF","log_sigma_z",0.545587278645,1.11691,1.09695795308139,-1.669451,1.477423,1.00910128328061,199.891295870863,518.042873872084
"SGTF","mean_gen",3.121006615,3.12404,0.143001177072827,2.890356,3.3524415,1.00493938672922,298.010455491634,1077.43177098553
"SGTF","sd_gen",1.88554566,1.88724,0.119428319632026,1.6951595,2.08317,1.00314648076578,475.124076203621,1123.8570508416
"non-SGTF","log_lambda1",-0.3714112829305,-0.3350615,0.501096393641644,-1.2354015,0.4054873,1.00540428914028,928.534432864417,633.256071547446
"non-SGTF","log_lambda_I",1.27462866655,1.27841,0.39653200014001,0.62776165,1.9149995,1.00512435762797,936.211225424211,837.89148481221
"non-SGTF","log_r",-1.759876743,-1.733665,0.442434015978416,-2.554483,-1.0661245,1.00821895385969,895.066537976834,1007.99727308971
"non-SGTF","log_d",-0.218083371625,-0.246848,0.16937815270387,-0.44269535,0.0991410599999999,1.00099932725915,938.181696792966,628.035305186668
"non-SGTF","m",2.94501215,2.94873,0.355134528629912,2.3657575,3.5183215,1.00604035518666,738.049110644097,798.091544844641
"non-SGTF","log_kappa",0.137965694978,0.08134705,0.468806380112437,-0.48700775,0.9519101,1.0055417258632,746.494443150918,653.706541793621
"non-SGTF","log_sigma_z",1.354649927,1.385435,0.128626969152874,1.0963895,1.4931605,1.00919698477889,804.584738629623,643.266198063445
"non-SGTF","mean_gen",3.9949072,3.991825,0.0863551338840608,3.8564345,4.139901,1.00053325872946,2114.0659546295,1681.40008887238
"non-SGTF","sd_gen",2.22387812,2.22052,0.0956362051711347,2.0699295,2.3859285,1.00061730484824,1289.14767135982,1687.11217123012
