"model","strain","parameter","value"
"Mechanistic","SGTF","m",1.22367
"Mechanistic","SGTF","kappa",1.45942131856102
"Mechanistic","SGTF","sigma_z",2.2211320536754
"Mechanistic","SGTF","lambda1",0.58029307577728
"Mechanistic","SGTF","lambda_I",1.48627650152606
"Mechanistic","SGTF","r",0.234075866584047
"Mechanistic","SGTF","d",0.742223402198894
"Mechanistic","SGTF","m",1.22589
"Mechanistic","SGTF","kappa",0.866433429211997
"Mechanistic","SGTF","sigma_z",2.35674634399041
"Mechanistic","SGTF","lambda1",0.816403957954714
"Mechanistic","SGTF","lambda_I",1.6684882884904
"Mechanistic","SGTF","r",0.346421166481246
"Mechanistic","SGTF","d",0.787887473065142
"Mechanistic","SGTF","m",1.26443
"Mechanistic","SGTF","kappa",0.732687498644594
"Mechanistic","SGTF","sigma_z",2.24265403151257
"Mechanistic","SGTF","lambda1",0.0480559174126766
"Mechanistic","SGTF","lambda_I",1.3019341936532
"Mechanistic","SGTF","r",0.318934348963441
"Mechanistic","SGTF","d",0.729257781309882
"Mechanistic","SGTF","m",1.84212
"Mechanistic","SGTF","kappa",2.35224925456095
"Mechanistic","SGTF","sigma_z",3.4036895328985
"Mechanistic","SGTF","lambda1",0.0901788823150323
"Mechanistic","SGTF","lambda_I",0.896622816304336
"Mechanistic","SGTF","r",0.209619771774275
"Mechanistic","SGTF","d",0.692328309624519
"Mechanistic","SGTF","m",2.11671
"Mechanistic","SGTF","kappa",12.5947492385077
"Mechanistic","SGTF","sigma_z",4.01007522301844
"Mechanistic","SGTF","lambda1",0.0354397927916176
"Mechanistic","SGTF","lambda_I",0.986427843635978
"Mechanistic","SGTF","r",0.275135933446899
"Mechanistic","SGTF","d",0.712023046082926
"Mechanistic","SGTF","m",2.03761
"Mechanistic","SGTF","kappa",14.2060794035847
"Mechanistic","SGTF","sigma_z",3.6974004808979
"Mechanistic","SGTF","lambda1",0.287762440098536
"Mechanistic","SGTF","lambda_I",0.832693209975684
"Mechanistic","SGTF","r",0.23553635588727
"Mechanistic","SGTF","d",0.696317182830531
"Mechanistic","SGTF","m",1.90275
"Mechanistic","SGTF","kappa",15.6632937921344
"Mechanistic","SGTF","sigma_z",3.4296561213991
"Mechanistic","SGTF","lambda1",0.0985353413228348
"Mechanistic","SGTF","lambda_I",1.27401712630605
"Mechanistic","SGTF","r",0.253467416177826
"Mechanistic","SGTF","d",0.721717132570305
"Mechanistic","SGTF","m",2.05487
"Mechanistic","SGTF","kappa",12.6834754427674
"Mechanistic","SGTF","sigma_z",2.8261348478918
"Mechanistic","SGTF","lambda1",0.222506269554454
"Mechanistic","SGTF","lambda_I",0.926764028275785
"Mechanistic","SGTF","r",0.161409607321737
"Mechanistic","SGTF","d",0.944207903808488
"Mechanistic","SGTF","m",1.92275
"Mechanistic","SGTF","kappa",1.47408579848421
"Mechanistic","SGTF","sigma_z",4.01565310330716
"Mechanistic","SGTF","lambda1",0.0959920407313388
"Mechanistic","SGTF","lambda_I",1.3286016524486
"Mechanistic","SGTF","r",0.283268519228095
"Mechanistic","SGTF","d",1.00314951934674
"Mechanistic","SGTF","m",2.62711
"Mechanistic","SGTF","kappa",1.93814629841961
"Mechanistic","SGTF","sigma_z",4.42787595199778
"Mechanistic","SGTF","lambda1",0.1312659317651
"Mechanistic","SGTF","lambda_I",0.867859017281933
"Mechanistic","SGTF","r",0.247726491070471
"Mechanistic","SGTF","d",0.967169514028465
"Mechanistic","SGTF","m",1.89088
"Mechanistic","SGTF","kappa",1.35094723235117
"Mechanistic","SGTF","sigma_z",4.44731258381789
"Mechanistic","SGTF","lambda1",0.229962276207557
"Mechanistic","SGTF","lambda_I",0.817984411014886
"Mechanistic","SGTF","r",0.123726722034373
"Mechanistic","SGTF","d",0.726424299717718
"Mechanistic","SGTF","m",2.17672
"Mechanistic","SGTF","kappa",4.26503334840574
"Mechanistic","SGTF","sigma_z",4.28268436038511
"Mechanistic","SGTF","lambda1",0.218554471070127
"Mechanistic","SGTF","lambda_I",0.757667987885212
"Mechanistic","SGTF","r",0.125412120593951
"Mechanistic","SGTF","d",0.705467200437248
"Mechanistic","SGTF","m",2.02801
"Mechanistic","SGTF","kappa",4.11344139280447
"Mechanistic","SGTF","sigma_z",4.18660440146582
"Mechanistic","SGTF","lambda1",0.218886926468247
"Mechanistic","SGTF","lambda_I",0.746732691943894
"Mechanistic","SGTF","r",0.132642200196869
"Mechanistic","SGTF","d",0.704836089757015
"Mechanistic","SGTF","m",2.14446
"Mechanistic","SGTF","kappa",4.69622972207753
"Mechanistic","SGTF","sigma_z",4.18221077390241
"Mechanistic","SGTF","lambda1",0.169329289713766
"Mechanistic","SGTF","lambda_I",1.44175194129838
