"model","strain","parameter","value"
"Mechanistic","SGTF","d",0.730340072920438
"Mechanistic","SGTF","m",1.90571
"Mechanistic","SGTF","kappa",4.10805631257755
"Mechanistic","SGTF","sigma_z",4.08638207359062
"Mechanistic","SGTF","lambda1",0.558871895138319
"Mechanistic","SGTF","lambda_I",0.531412884298017
"Mechanistic","SGTF","r",0.373426530218791
"Mechanistic","SGTF","d",0.767991971242836
"Mechanistic","SGTF","m",2.22882
"Mechanistic","SGTF","kappa",2.62092156947503
"Mechanistic","SGTF","sigma_z",3.45789492244764
"Mechanistic","SGTF","lambda1",0.444919905791897
"Mechanistic","SGTF","lambda_I",3.23290139906653
"Mechanistic","SGTF","r",0.139868861349669
"Mechanistic","SGTF","d",0.715044857853105
"Mechanistic","SGTF","m",2.28945
"Mechanistic","SGTF","kappa",1.87228011323531
"Mechanistic","SGTF","sigma_z",4.05365928360563
"Mechanistic","SGTF","lambda1",0.384917597526984
"Mechanistic","SGTF","lambda_I",3.38972907730631
"Mechanistic","SGTF","r",0.119110934194033
"Mechanistic","SGTF","d",0.709908635231251
"Mechanistic","SGTF","m",1.99925
"Mechanistic","SGTF","kappa",2.43981691096505
"Mechanistic","SGTF","sigma_z",3.94468853759084
"Mechanistic","SGTF","lambda1",0.920048493501936
"Mechanistic","SGTF","lambda_I",1.06336275816366
"Mechanistic","SGTF","r",0.107183817274612
"Mechanistic","SGTF","d",0.731821241825632
"Mechanistic","SGTF","m",2.64933
"Mechanistic","SGTF","kappa",9.8614182794547
"Mechanistic","SGTF","sigma_z",1.64545015954505
"Mechanistic","SGTF","lambda1",0.0859181654747836
"Mechanistic","SGTF","lambda_I",1.1773627740121
"Mechanistic","SGTF","r",0.107708152640644
"Mechanistic","SGTF","d",0.670651936594563
"Mechanistic","SGTF","m",1.87029
"Mechanistic","SGTF","kappa",10.9133848086482
"Mechanistic","SGTF","sigma_z",2.85822270544361
"Mechanistic","SGTF","lambda1",0.819558088872837
"Mechanistic","SGTF","lambda_I",2.39210325030491
"Mechanistic","SGTF","r",0.223813984155627
"Mechanistic","SGTF","d",0.722877864400577
"Mechanistic","SGTF","m",2.08458
"Mechanistic","SGTF","kappa",2.8666095787399
"Mechanistic","SGTF","sigma_z",3.00939782317344
"Mechanistic","SGTF","lambda1",0.277049247441457
"Mechanistic","SGTF","lambda_I",1.34190735346471
"Mechanistic","SGTF","r",0.324318247469761
"Mechanistic","SGTF","d",0.749635642871588
"Mechanistic","SGTF","m",1.79745
"Mechanistic","SGTF","kappa",2.63444886309356
"Mechanistic","SGTF","sigma_z",2.18611063679665
"Mechanistic","SGTF","lambda1",0.759618458537698
"Mechanistic","SGTF","lambda_I",1.63989628666833
"Mechanistic","SGTF","r",0.125288024032496
"Mechanistic","SGTF","d",0.704335833745186
"Mechanistic","SGTF","m",2.47051
"Mechanistic","SGTF","kappa",4.92556998045651
"Mechanistic","SGTF","sigma_z",3.79403463363843
"Mechanistic","SGTF","lambda1",0.27973291668991
"Mechanistic","SGTF","lambda_I",1.74695627112489
"Mechanistic","SGTF","r",0.0642907188194854
"Mechanistic","SGTF","d",0.741625411159483
"Mechanistic","SGTF","m",2.58744
"Mechanistic","SGTF","kappa",4.8372675232896
"Mechanistic","SGTF","sigma_z",3.88592091699261
"Mechanistic","SGTF","lambda1",0.129955915185031
"Mechanistic","SGTF","lambda_I",0.633098031968694
"Mechanistic","SGTF","r",0.65584945874098
"Mechanistic","SGTF","d",0.765901276041464
"Mechanistic","SGTF","m",1.43745
"Mechanistic","SGTF","kappa",1.06431787393525
"Mechanistic","SGTF","sigma_z",3.95729218615722
"Mechanistic","SGTF","lambda1",0.0747721342631203
"Mechanistic","SGTF","lambda_I",0.684907148186744
"Mechanistic","SGTF","r",0.388300793004355
"Mechanistic","SGTF","d",0.777865226912046
"Mechanistic","SGTF","m",1.63586
"Mechanistic","SGTF","kappa",1.441725989997
"Mechanistic","SGTF","sigma_z",3.9470165905361
"Mechanistic","SGTF","lambda1",0.143620625653164
"Mechanistic","SGTF","lambda_I",0.283155234478864
"Mechanistic","SGTF","r",0.554694925583761
"Mechanistic","SGTF","d",0.825588346123047
"Mechanistic","SGTF","m",1.79171
"Mechanistic","SGTF","kappa",1.787666253121
"Mechanistic","SGTF","sigma_z",3.48455379448711
"Mechanistic","SGTF","lambda1",0.0620968509914956
"Mechanistic","SGTF","lambda_I",1.8481626806504
"Mechanistic","SGTF","r",0.18291202123879
"Mechanistic","SGTF","d",0.648734329309965
"Mechanistic","SGTF","m",2.06293
"Mechanistic","SGTF","kappa",15.8939733057635
"Mechanistic","SGTF","sigma_z",4.11097406824017
"Mechanistic","SGTF","lambda1",0.861104854275506
"Mechanistic","SGTF","lambda_I",1.12500220988874
"Mechanistic","SGTF","r",0.38048215560783
"Mechanistic","SGTF","d",0.877991821772773
"Mechanistic","SGTF","m",2.05094
"Mechanistic","SGTF","kappa",1.14951716765654
"Mechanistic","SGTF","sigma_z",4.11011085432648
"Mechanistic","SGTF","lambda1",0.0968085463361716
"Mechanistic","SGTF","lambda_I",0.472592397925924
"Mechanistic","SGTF","r",0.403424468348619
"Mechanistic","SGTF","d",0.824316269916138
"Mechanistic","SGTF","m",1.98841
"Mechanistic","SGTF","kappa",2.94361965721948
"Mechanistic","SGTF","sigma_z",3.47352524843946
"Mechanistic","SGTF","lambda1",0.0760784678209083
"Mechanistic","SGTF","lambda_I",0.996170909733995
"Mechanistic","SGTF","r",0.248704458776539
"Mechanistic","SGTF","d",1.00418690067957
"Mechanistic","SGTF","m",1.91215
"Mechanistic","SGTF","kappa",1.37693635687984
"Mechanistic","SGTF","sigma_z",4.2042671600147
"Mechanistic","SGTF","lambda1",0.0975158841391235
"Mechanistic","SGTF","lambda_I",1.63170095272562
"Mechanistic","SGTF","r",0.133239102719114
"Mechanistic","SGTF","d",0.957257455690061
"Mechanistic","SGTF","m",1.90774
"Mechanistic","SGTF","kappa",1.97624978351853
"Mechanistic","SGTF","sigma_z",3.12092677193524
"Mechanistic","SGTF","lambda1",1.00762177900928
"Mechanistic","SGTF","lambda_I",1.02857237797755
"Mechanistic","SGTF","r",0.518908350521712
"Mechanistic","SGTF","d",0.650391363232193
"Mechanistic","SGTF","m",2.17888
"Mechanistic","SGTF","kappa",4.51994578814959
"Mechanistic","SGTF","sigma_z",3.86653980556352
"Mechanistic","SGTF","lambda1",1.17010091824479
"Mechanistic","SGTF","lambda_I",1.16375983418391
"Mechanistic","SGTF","r",0.485983308656312
"Mechanistic","SGTF","d",0.65392801656308
"Mechanistic","SGTF","m",2.10959
"Mechanistic","SGTF","kappa",5.21860434871868
"Mechanistic","SGTF","sigma_z",3.88743672171295
"Mechanistic","SGTF","lambda1",0.10637124418723
"Mechanistic","SGTF","lambda_I",0.83364802339791
"Mechanistic","SGTF","r",0.203012038244821
"Mechanistic","SGTF","d",0.766393908926458
"Mechanistic","SGTF","m",1.73564
"Mechanistic","SGTF","kappa",2.28224817770842
"Mechanistic","SGTF","sigma_z",3.45775660941702
"Mechanistic","SGTF","lambda1",0.0609537438501717
"Mechanistic","SGTF","lambda_I",1.37054435453718
"Mechanistic","SGTF","r",0.291898248932784
"Mechanistic","SGTF","d",0.803731516719637
"Mechanistic","SGTF","m",2.06966
"Mechanistic","SGTF","kappa",3.71838710373585
"Mechanistic","SGTF","sigma_z",3.7123310697653
"Mechanistic","SGTF","lambda1",0.0651730004070953
"Mechanistic","SGTF","lambda_I",1.24728226957002
"Mechanistic","SGTF","r",0.338023452436299
"Mechanistic","SGTF","d",0.77040340401855
"Mechanistic","SGTF","m",2.04997
"Mechanistic","SGTF","kappa",5.13767169903175
"Mechanistic","SGTF","sigma_z",3.6698104051135
"Mechanistic","SGTF","lambda1",0.0870328191371464
"Mechanistic","SGTF","lambda_I",0.87209405469584
"Mechanistic","SGTF","r",0.172684335754788
"Mechanistic","SGTF","d",0.783377953671886
"Mechanistic","SGTF","m",1.99321
"Mechanistic","SGTF","kappa",3.72598035591135
"Mechanistic","SGTF","sigma_z",3.32796165181352
"Mechanistic","SGTF","lambda1",0.103701365089513
"Mechanistic","SGTF","lambda_I",1.22307722668789
"Mechanistic","SGTF","r",0.0890105835524784
"Mechanistic","SGTF","d",0.804900992347695
"Mechanistic","SGTF","m",2.13495
"Mechanistic","SGTF","kappa",2.99085709448741
"Mechanistic","SGTF","sigma_z",3.87885497288326
"Mechanistic","SGTF","lambda1",0.0960371675944647
"Mechanistic","SGTF","lambda_I",1.21268874779623
"Mechanistic","SGTF","r",0.0944202231963023
"Mechanistic","SGTF","d",0.79025626503707
"Mechanistic","SGTF","m",2.14323
"Mechanistic","SGTF","kappa",3.99378738509479
"Mechanistic","SGTF","sigma_z",3.67649554167976
"Mechanistic","SGTF","lambda1",1.07144328065066
"Mechanistic","SGTF","lambda_I",1.02667292081321
"Mechanistic","SGTF","r",0.50761042780594
"Mechanistic","SGTF","d",0.644626628718682
"Mechanistic","SGTF","m",2.06992
"Mechanistic","SGTF","kappa",7.06695716203433
"Mechanistic","SGTF","sigma_z",4.03824422606691
"Mechanistic","SGTF","lambda1",0.0634178443827132
"Mechanistic","SGTF","lambda_I",0.583107918991446
"Mechanistic","SGTF","r",0.370969288546235
"Mechanistic","SGTF","d",0.873463444272855
"Mechanistic","SGTF","m",1.21109
"Mechanistic","SGTF","kappa",1.67565645176287
"Mechanistic","SGTF","sigma_z",2.1073832247765
"Mechanistic","SGTF","lambda1",0.284037218031632
"Mechanistic","SGTF","lambda_I",0.299569150979116
"Mechanistic","SGTF","r",0.262692797466491
"Mechanistic","SGTF","d",0.829005905690068
"Mechanistic","SGTF","m",2.07999
"Mechanistic","SGTF","kappa",7.02390969769878
"Mechanistic","SGTF","sigma_z",0.898387310690836
"Mechanistic","SGTF","lambda1",0.0579653419284152
"Mechanistic","SGTF","lambda_I",0.909752858884649
"Mechanistic","SGTF","r",0.178633331752329
"Mechanistic","SGTF","d",0.743306353198737
"Mechanistic","SGTF","m",1.13446
"Mechanistic","SGTF","kappa",4.45755317492605
"Mechanistic","SGTF","sigma_z",0.210712633565578
"Mechanistic","SGTF","lambda1",0.198626321680026
"Mechanistic","SGTF","lambda_I",0.216932290386617
"Mechanistic","SGTF","r",0.839762638743864
"Mechanistic","SGTF","d",0.730345915664392
"Mechanistic","SGTF","m",1.64584
"Mechanistic","SGTF","kappa",4.45822185805227
"Mechanistic","SGTF","sigma_z",0.273301417350625
"Mechanistic","SGTF","lambda1",0.340510267384968
"Mechanistic","SGTF","lambda_I",0.331973543995948
"Mechanistic","SGTF","r",1.21097885058926
"Mechanistic","SGTF","d",0.729560486096024
"Mechanistic","SGTF","m",1.72636
"Mechanistic","SGTF","kappa",1.67947962767064
"Mechanistic","SGTF","sigma_z",0.723939828396377
"Mechanistic","SGTF","lambda1",0.324649220849909
"Mechanistic","SGTF","lambda_I",0.386503637351092
"Mechanistic","SGTF","r",1.26439658440588
"Mechanistic","SGTF","d",0.737252382270006
"Mechanistic","SGTF","m",1.70977
"Mechanistic","SGTF","kappa",1.57810695664002
"Mechanistic","SGTF","sigma_z",0.577633323515904
"Mechanistic","SGTF","lambda1",0.232238597104118
"Mechanistic","SGTF","lambda_I",0.343145748270015
"Mechanistic","SGTF","r",0.584586803566845
"Mechanistic","SGTF","d",0.758136371417329
"Mechanistic","SGTF","m",1.61984
"Mechanistic","SGTF","kappa",8.15996598122662
"Mechanistic","SGTF","sigma_z",0.0951862290960875
"Mechanistic","SGTF","lambda1",0.285560889334565
"Mechanistic","SGTF","lambda_I",0.319224711315831
"Mechanistic","SGTF","r",0.77055904122499
"Mechanistic","SGTF","d",0.670387081391955
"Mechanistic","SGTF","m",1.64415
"Mechanistic","SGTF","kappa",3.088174068788
"Mechanistic","SGTF","sigma_z",1.61680179932596
"Mechanistic","SGTF","lambda1",0.234474133988618
"Mechanistic","SGTF","lambda_I",0.461146268988977
"Mechanistic","SGTF","r",0.64087746665461
"Mechanistic","SGTF","d",0.75132121671633
"Mechanistic","SGTF","m",1.45217
"Mechanistic","SGTF","kappa",4.57560989397068
"Mechanistic","SGTF","sigma_z",0.068675689981246
"Mechanistic","SGTF","lambda1",0.126348666401479
"Mechanistic","SGTF","lambda_I",0.273481855824223
"Mechanistic","SGTF","r",0.447433211701576
"Mechanistic","SGTF","d",0.772972350589622
"Mechanistic","SGTF","m",1.39809
"Mechanistic","SGTF","kappa",5.22413900217642
"Mechanistic","SGTF","sigma_z",1.31208175258222
"Mechanistic","SGTF","lambda1",0.124327010896222
"Mechanistic","SGTF","lambda_I",0.28492194882299
"Mechanistic","SGTF","r",0.371888574682714
"Mechanistic","SGTF","d",0.758535256046155
"Mechanistic","SGTF","m",1.40559
"Mechanistic","SGTF","kappa",3.13619411660473
"Mechanistic","SGTF","sigma_z",1.28167908057908
"Mechanistic","SGTF","lambda1",0.137165095778955
"Mechanistic","SGTF","lambda_I",0.516372435308691
"Mechanistic","SGTF","r",0.309929632253605
"Mechanistic","SGTF","d",0.765549808023841
"Mechanistic","SGTF","m",1.44399
"Mechanistic","SGTF","kappa",4.45100538556318
"Mechanistic","SGTF","sigma_z",0.814681532317233
"Mechanistic","SGTF","lambda1",0.194802315752082
"Mechanistic","SGTF","lambda_I",0.257931818078454
"Mechanistic","SGTF","r",0.852294631766052
"Mechanistic","SGTF","d",0.699438785849804
"Mechanistic","SGTF","m",1.47401
"Mechanistic","SGTF","kappa",5.31455881062758
"Mechanistic","SGTF","sigma_z",0.478969192463372
"Mechanistic","SGTF","lambda1",0.310016424701012
"Mechanistic","SGTF","lambda_I",0.401048063402085
"Mechanistic","SGTF","r",0.897192352601326
"Mechanistic","SGTF","d",0.711443695151233
"Mechanistic","SGTF","m",1.47921
"Mechanistic","SGTF","kappa",2.96417871255356
"Mechanistic","SGTF","sigma_z",0.104924944364843
"Mechanistic","SGTF","lambda1",0.102532034246153
"Mechanistic","SGTF","lambda_I",0.574959888355399
"Mechanistic","SGTF","r",0.320132598084959
"Mechanistic","SGTF","d",0.734961619132573
"Mechanistic","SGTF","m",1.1075
"Mechanistic","SGTF","kappa",5.47186768688729
"Mechanistic","SGTF","sigma_z",0.673760211943719
"Mechanistic","SGTF","lambda1",0.167750084400137
"Mechanistic","SGTF","lambda_I",1.04403957935353
"Mechanistic","SGTF","r",0.193776470140569
"Mechanistic","SGTF","d",0.735620439850922
"Mechanistic","SGTF","m",0.859201
"Mechanistic","SGTF","kappa",3.14775657282467
"Mechanistic","SGTF","sigma_z",0.138394081561071
"Mechanistic","SGTF","lambda1",0.16406706529883
"Mechanistic","SGTF","lambda_I",0.660801359118561
"Mechanistic","SGTF","r",0.548865422269843
"Mechanistic","SGTF","d",0.71955882343952
"Mechanistic","SGTF","m",1.3199
"Mechanistic","SGTF","kappa",3.90934562243508
"Mechanistic","SGTF","sigma_z",0.13122918244935
"Mechanistic","SGTF","lambda1",0.290962757820228
"Mechanistic","SGTF","lambda_I",0.438231924830739
"Mechanistic","SGTF","r",0.513443132825634
"Mechanistic","SGTF","d",0.730397041667878
"Mechanistic","SGTF","m",1.21526
"Mechanistic","SGTF","kappa",2.11897186137945
"Mechanistic","SGTF","sigma_z",0.840162460910033
"Mechanistic","SGTF","lambda1",0.217410066786805
"Mechanistic","SGTF","lambda_I",0.550593770697499
"Mechanistic","SGTF","r",0.512212346840811
"Mechanistic","SGTF","d",0.739803254819243
"Mechanistic","SGTF","m",1.56044
"Mechanistic","SGTF","kappa",4.3982203799223
"Mechanistic","SGTF","sigma_z",0.359766524853491
"Mechanistic","SGTF","lambda1",0.194956270385599
"Mechanistic","SGTF","lambda_I",0.456162122890456
"Mechanistic","SGTF","r",0.271905690204296
"Mechanistic","SGTF","d",0.741142770133518
"Mechanistic","SGTF","m",1.54366
"Mechanistic","SGTF","kappa",9.93784304861526
"Mechanistic","SGTF","sigma_z",0.614147593149044
"Mechanistic","SGTF","lambda1",0.355162445930707
"Mechanistic","SGTF","lambda_I",0.555763741720989
"Mechanistic","SGTF","r",0.461691666145142
"Mechanistic","SGTF","d",0.659896021206158
"Mechanistic","SGTF","m",1.49543
"Mechanistic","SGTF","kappa",4.26686770710441
"Mechanistic","SGTF","sigma_z",0.759894250091286
"Mechanistic","SGTF","lambda1",0.307807712818943
"Mechanistic","SGTF","lambda_I",0.425153499487968
"Mechanistic","SGTF","r",0.348181981690063
"Mechanistic","SGTF","d",0.680980232785912
"Mechanistic","SGTF","m",1.48985
"Mechanistic","SGTF","kappa",5.80482808660073
"Mechanistic","SGTF","sigma_z",0.649915450959449
"Mechanistic","SGTF","lambda1",0.144528291740851
"Mechanistic","SGTF","lambda_I",0.795249004628254
"Mechanistic","SGTF","r",0.380446772412703
"Mechanistic","SGTF","d",0.737760524196182
"Mechanistic","SGTF","m",1.18771
"Mechanistic","SGTF","kappa",2.42649541425144
"Mechanistic","SGTF","sigma_z",0.438456357025991
"Mechanistic","SGTF","lambda1",0.205756880276721
"Mechanistic","SGTF","lambda_I",0.503056393928917
"Mechanistic","SGTF","r",0.195833592153091
"Mechanistic","SGTF","d",0.799407860302952
"Mechanistic","SGTF","m",1.37169
"Mechanistic","SGTF","kappa",3.9234838643044
"Mechanistic","SGTF","sigma_z",0.389426552550795
"Mechanistic","SGTF","lambda1",0.494269185640711
"Mechanistic","SGTF","lambda_I",0.767279605282452
"Mechanistic","SGTF","r",0.355887716845215
"Mechanistic","SGTF","d",0.632613264565824
"Mechanistic","SGTF","m",1.58233
"Mechanistic","SGTF","kappa",2.94053047868195
"Mechanistic","SGTF","sigma_z",0.137043073151836
"Mechanistic","SGTF","lambda1",0.264104611141492
"Mechanistic","SGTF","lambda_I",0.491485913514466
"Mechanistic","SGTF","r",0.582595592331207
"Mechanistic","SGTF","d",0.701050047541705
"Mechanistic","SGTF","m",1.27957
"Mechanistic","SGTF","kappa",2.89938892711205
"Mechanistic","SGTF","sigma_z",0.687761608752266
"Mechanistic","SGTF","lambda1",0.313846897362842
"Mechanistic","SGTF","lambda_I",0.442637999445361
"Mechanistic","SGTF","r",0.458364298256167
"Mechanistic","SGTF","d",0.674497708952894
"Mechanistic","SGTF","m",1.2768
"Mechanistic","SGTF","kappa",4.38745792937687
"Mechanistic","SGTF","sigma_z",0.237309519608682
"Mechanistic","SGTF","lambda1",0.220764225477535
"Mechanistic","SGTF","lambda_I",0.420275848982841
"Mechanistic","SGTF","r",0.640920406883357
"Mechanistic","SGTF","d",0.683560576380379
"Mechanistic","SGTF","m",1.45628
"Mechanistic","SGTF","kappa",3.85958629395141
"Mechanistic","SGTF","sigma_z",0.236851953928751
"Mechanistic","SGTF","lambda1",0.0434710534639378
"Mechanistic","SGTF","lambda_I",0.652543810180587
"Mechanistic","SGTF","r",0.159452373514797
"Mechanistic","SGTF","d",0.760100969439867
"Mechanistic","SGTF","m",1.34072
"Mechanistic","SGTF","kappa",9.86842237259195
"Mechanistic","SGTF","sigma_z",0.542535911198913
"Mechanistic","SGTF","lambda1",0.304876043420026
"Mechanistic","SGTF","lambda_I",0.535432204151953
"Mechanistic","SGTF","r",0.181525343757091
"Mechanistic","SGTF","d",0.825406736664672
"Mechanistic","SGTF","m",0.824305
"Mechanistic","SGTF","kappa",1.53153576509191
"Mechanistic","SGTF","sigma_z",0.585085668846081
"Mechanistic","SGTF","lambda1",0.157454303393266
"Mechanistic","SGTF","lambda_I",0.264339768875077
"Mechanistic","SGTF","r",0.653401816333755
"Mechanistic","SGTF","d",0.772718084515341
"Mechanistic","SGTF","m",1.49065
"Mechanistic","SGTF","kappa",8.93521311469875
"Mechanistic","SGTF","sigma_z",0.126853804661095
"Mechanistic","SGTF","lambda1",0.274399556331342
"Mechanistic","SGTF","lambda_I",0.451380777359159
"Mechanistic","SGTF","r",0.929664881729537
"Mechanistic","SGTF","d",0.76854051331652
"Mechanistic","SGTF","m",1.43985
"Mechanistic","SGTF","kappa",1.99203952334057
"Mechanistic","SGTF","sigma_z",1.01114100385321
"Mechanistic","SGTF","lambda1",0.0905665807386793
"Mechanistic","SGTF","lambda_I",0.385878780111683
"Mechanistic","SGTF","r",0.180003317087111
"Mechanistic","SGTF","d",0.871383587595932
"Mechanistic","SGTF","m",1.73096
"Mechanistic","SGTF","kappa",11.3378875740593
"Mechanistic","SGTF","sigma_z",0.158826955438364
"Mechanistic","SGTF","lambda1",0.102449016924968
"Mechanistic","SGTF","lambda_I",0.309647724575702
"Mechanistic","SGTF","r",0.286075361821698
"Mechanistic","SGTF","d",0.895231441752599
"Mechanistic","SGTF","m",1.73568
"Mechanistic","SGTF","kappa",2.60210829725865
"Mechanistic","SGTF","sigma_z",1.77051771824379
"Mechanistic","SGTF","lambda1",0.863562503596953
"Mechanistic","SGTF","lambda_I",0.508223991720722
"Mechanistic","SGTF","r",0.750134316364657
"Mechanistic","SGTF","d",0.523468721114041
"Mechanistic","SGTF","m",1.74781
"Mechanistic","SGTF","kappa",3.38194165939206
"Mechanistic","SGTF","sigma_z",0.431410588854634
"Mechanistic","SGTF","lambda1",0.708981390731282
"Mechanistic","SGTF","lambda_I",0.434919640257197
"Mechanistic","SGTF","r",0.580413789290811
"Mechanistic","SGTF","d",0.595237377033271
"Mechanistic","SGTF","m",1.97355
"Mechanistic","SGTF","kappa",3.52475172091261
"Mechanistic","SGTF","sigma_z",0.441111324007759
"Mechanistic","SGTF","lambda1",0.847872507010278
"Mechanistic","SGTF","lambda_I",0.401632816319517
"Mechanistic","SGTF","r",0.594332114824719
"Mechanistic","SGTF","d",0.594486066778376
"Mechanistic","SGTF","m",1.83235
"Mechanistic","SGTF","kappa",4.48249584697845
"Mechanistic","SGTF","sigma_z",0.41704214297484
"Mechanistic","SGTF","lambda1",0.216529171343428
"Mechanistic","SGTF","lambda_I",0.20171691003104
"Mechanistic","SGTF","r",0.86753623376896
"Mechanistic","SGTF","d",0.735460092073577
"Mechanistic","SGTF","m",1.38588
"Mechanistic","SGTF","kappa",9.19720837032302
"Mechanistic","SGTF","sigma_z",0.360677886547786
"Mechanistic","SGTF","lambda1",0.109987341179315
"Mechanistic","SGTF","lambda_I",0.0928277178554433
"Mechanistic","SGTF","r",1.52922183278874
"Mechanistic","SGTF","d",0.735707983892031
"Mechanistic","SGTF","m",1.63398
"Mechanistic","SGTF","kappa",10.8118202150804
"Mechanistic","SGTF","sigma_z",0.642004478153195
"Mechanistic","SGTF","lambda1",0.124681848280368
"Mechanistic","SGTF","lambda_I",0.43040183786984
"Mechanistic","SGTF","r",0.565636292548845
"Mechanistic","SGTF","d",0.769105598237077
"Mechanistic","SGTF","m",1.62363
"Mechanistic","SGTF","kappa",3.03090119684306
"Mechanistic","SGTF","sigma_z",1.38517571274482
"Mechanistic","SGTF","lambda1",0.0651098132474273
"Mechanistic","SGTF","lambda_I",0.231311498149742
"Mechanistic","SGTF","r",0.299401439218244
"Mechanistic","SGTF","d",0.890313171553988
"Mechanistic","SGTF","m",1.46795
"Mechanistic","SGTF","kappa",3.7427850497161
"Mechanistic","SGTF","sigma_z",0.172694697125771
"Mechanistic","SGTF","lambda1",0.167036989012182
"Mechanistic","SGTF","lambda_I",0.235604671335738
"Mechanistic","SGTF","r",0.700598716655232
"Mechanistic","SGTF","d",0.763194778850699
"Mechanistic","SGTF","m",1.31268
"Mechanistic","SGTF","kappa",4.51615062787802
"Mechanistic","SGTF","sigma_z",0.974205219397346
"Mechanistic","SGTF","lambda1",0.185550165413358
"Mechanistic","SGTF","lambda_I",0.788149095133059
"Mechanistic","SGTF","r",0.475162228296934
"Mechanistic","SGTF","d",0.706136300446557
"Mechanistic","SGTF","m",1.69421
"Mechanistic","SGTF","kappa",2.08276221354657
"Mechanistic","SGTF","sigma_z",2.27180120674599
"Mechanistic","SGTF","lambda1",0.380283215467829
"Mechanistic","SGTF","lambda_I",0.716543730557479
"Mechanistic","SGTF","r",0.627417556921364
"Mechanistic","SGTF","d",0.804396477607392
"Mechanistic","SGTF","m",2.14852
"Mechanistic","SGTF","kappa",1.68134656642943
"Mechanistic","SGTF","sigma_z",3.17097781716885
"Mechanistic","SGTF","lambda1",0.439297684016682
"Mechanistic","SGTF","lambda_I",0.796223781587913
"Mechanistic","SGTF","r",0.524920739588682
"Mechanistic","SGTF","d",0.813113152623618
"Mechanistic","SGTF","m",1.8572
"Mechanistic","SGTF","kappa",1.35631572776426
"Mechanistic","SGTF","sigma_z",3.7828965528171
"Mechanistic","SGTF","lambda1",0.199340671665865
"Mechanistic","SGTF","lambda_I",0.445850760799646
"Mechanistic","SGTF","r",0.843984626161958
"Mechanistic","SGTF","d",0.726914801645804
"Mechanistic","SGTF","m",1.55245
"Mechanistic","SGTF","kappa",2.4863580269605
"Mechanistic","SGTF","sigma_z",1.49726034279552
"Mechanistic","SGTF","lambda1",0.215561290328096
"Mechanistic","SGTF","lambda_I",0.523556147690383
"Mechanistic","SGTF","r",0.801576392146715
"Mechanistic","SGTF","d",0.714534498044731
"Mechanistic","SGTF","m",1.35645
"Mechanistic","SGTF","kappa",2.06726194539028
"Mechanistic","SGTF","sigma_z",1.49827732779561
"Mechanistic","SGTF","lambda1",0.273268623148234
"Mechanistic","SGTF","lambda_I",0.222339452416535
"Mechanistic","SGTF","r",0.725020027769034
"Mechanistic","SGTF","d",0.763585634628011
"Mechanistic","SGTF","m",2.00757
"Mechanistic","SGTF","kappa",6.15675590485342
"Mechanistic","SGTF","sigma_z",0.777239297374822
"Mechanistic","SGTF","lambda1",0.300439162423818
"Mechanistic","SGTF","lambda_I",1.56503314080323
"Mechanistic","SGTF","r",0.530606280897145
"Mechanistic","SGTF","d",0.716889187884135
"Mechanistic","SGTF","m",2.09086
"Mechanistic","SGTF","kappa",3.1524187016768
"Mechanistic","SGTF","sigma_z",4.17464781894064
"Mechanistic","SGTF","lambda1",1.24385073602526
"Mechanistic","SGTF","lambda_I",3.4364192034068
"Mechanistic","SGTF","r",0.152298936809751
"Mechanistic","SGTF","d",0.649606814427223
"Mechanistic","SGTF","m",2.50382
"Mechanistic","SGTF","kappa",3.22292715189156
"Mechanistic","SGTF","sigma_z",2.35011908185026
"Mechanistic","SGTF","lambda1",0.135591308789865
"Mechanistic","SGTF","lambda_I",0.500972534879388
"Mechanistic","SGTF","r",0.378227277810656
"Mechanistic","SGTF","d",0.770045249713011
"Mechanistic","SGTF","m",1.92799
"Mechanistic","SGTF","kappa",2.96714437384962
"Mechanistic","SGTF","sigma_z",3.83557746093996
"Mechanistic","SGTF","lambda1",0.0511460506862692
"Mechanistic","SGTF","lambda_I",0.403956128394728
"Mechanistic","SGTF","r",0.265917278938341
"Mechanistic","SGTF","d",0.882326597117403
"Mechanistic","SGTF","m",1.75102
"Mechanistic","SGTF","kappa",2.6561348442556
"Mechanistic","SGTF","sigma_z",3.48291643901238
"Mechanistic","SGTF","lambda1",0.231700428076295
"Mechanistic","SGTF","lambda_I",0.626596178042427
"Mechanistic","SGTF","r",0.49298476897043
"Mechanistic","SGTF","d",0.723091867919398
"Mechanistic","SGTF","m",2.08212
"Mechanistic","SGTF","kappa",6.93374450578668
"Mechanistic","SGTF","sigma_z",4.2457564424943
"Mechanistic","SGTF","lambda1",0.449369405543829
"Mechanistic","SGTF","lambda_I",1.62625528394759
"Mechanistic","SGTF","r",0.296220846444916
"Mechanistic","SGTF","d",0.79940306387018
"Mechanistic","SGTF","m",1.85741
"Mechanistic","SGTF","kappa",1.25940199354046
"Mechanistic","SGTF","sigma_z",4.31220769848993
"Mechanistic","SGTF","lambda1",0.323078484244026
"Mechanistic","SGTF","lambda_I",0.685357280035224
"Mechanistic","SGTF","r",0.312100508631471
"Mechanistic","SGTF","d",0.802172986888196
"Mechanistic","SGTF","m",2.24383
"Mechanistic","SGTF","kappa",8.05223747487702
"Mechanistic","SGTF","sigma_z",3.64632568891457
