model,quantity,time,median,lwr,upr
Lognormal [14],Advantage,3,1.7972358692636932,1.5931470632144515,1.9985990181170645
Lognormal [14],Advantage,3.071428571428571,1.8205184371011054,1.6245463105211226,2.026788233856998
Lognormal [14],Advantage,3.142857142857143,1.8437436957076292,1.6604656939507827,2.048382780549476
Lognormal [14],Advantage,3.214285714285714,1.8683418683841861,1.6947373751824113,2.0775372585858984
Lognormal [14],Advantage,3.2857142857142856,1.895291285097616,1.7276594380833785,2.1063413172972334
Lognormal [14],Advantage,3.357142857142857,1.9174870863490583,1.750584080234941,2.156217610434577
Lognormal [14],Advantage,3.4285714285714284,1.9450441197821402,1.770440273772975,2.1753311398400377
Lognormal [14],Advantage,3.5,1.9694278056544048,1.7824179489199852,2.205681807756648
Lognormal [14],Advantage,3.571428571428571,1.9956745322310114,1.789049123270603,2.2424888185189262
Lognormal [14],Advantage,3.642857142857143,2.019108004815261,1.804147036631865,2.280979742230302
Lognormal [14],Advantage,3.714285714285714,2.0310486284190685,1.8127940923517154,2.311565517846241
Lognormal [14],Advantage,3.7857142857142856,2.0500469672917463,1.8200488685804874,2.3267936383215186
Lognormal [14],Advantage,3.8571428571428568,2.0617522203524645,1.828072361512596,2.3309131039635584
Lognormal [14],Advantage,3.9285714285714284,2.073191809321013,1.8453077047718418,2.340845024738812
Lognormal [14],Advantage,4,2.0823865605319494,1.8572998349933432,2.3373455475708558
Lognormal [14],Advantage,4.071428571428571,2.087610029267002,1.8642034898589188,2.3359610792598584
Lognormal [14],Advantage,4.142857142857142,2.0960372564166034,1.8761854334312582,2.3385807602754682
Lognormal [14],Advantage,4.2142857142857135,2.1006849008364625,1.8883770503376165,2.335762970587589
Lognormal [14],Advantage,4.285714285714286,2.100597158330024,1.8901657882751892,2.330797801557313
Lognormal [14],Advantage,4.357142857142857,2.098137471250089,1.8873336262729972,2.325708630491666
Lognormal [14],Advantage,4.428571428571429,2.095129814946411,1.883328476278536,2.340999684647692
Lognormal [14],Advantage,4.5,2.0902238375836597,1.8791964279962268,2.332317938559015
Lognormal [14],Advantage,4.571428571428571,2.088348677406974,1.874953037002636,2.319970360749367
Lognormal [14],Advantage,4.642857142857142,2.0830567819059747,1.870332097661715,2.3199331969552075
Lognormal [14],Advantage,4.7142857142857135,2.0829287692971725,1.8672526604846569,2.320460365550812
Lognormal [14],Advantage,4.785714285714286,2.0869123582907143,1.8623041422303004,2.323384564419428
Lognormal [14],Advantage,4.857142857142857,2.0874761009124807,1.8663483577087894,2.3278153537685995
Lognormal [14],Advantage,4.928571428571429,2.088245623826926,1.8642762043652337,2.327151985329167
Lognormal [14],Advantage,5,2.0894588582937104,1.860852215187122,2.3265995899177665
Lognormal [14],Advantage,5.071428571428571,2.0885350905195823,1.8680131493045755,2.322962359915613
Lognormal [14],Advantage,5.142857142857142,2.088481835138836,1.874744877295165,2.320365596446431
Lognormal [14],Advantage,5.214285714285714,2.0889968833061427,1.8841758141795997,2.32119403457506
Lognormal [14],Advantage,5.285714285714286,2.0919114402969123,1.8822775335121982,2.311027321570221
Lognormal [14],Advantage,5.357142857142857,2.0907625825556115,1.8739019696892136,2.309275022761389
Lognormal [14],Advantage,5.428571428571428,2.089081436781629,1.870273484036496,2.3084256541143278
Lognormal [14],Advantage,5.5,2.0883656896620297,1.8696014985999438,2.3024841366233866
Lognormal [14],Advantage,5.571428571428571,2.085254746435484,1.8606830367438874,2.2961206888895442
Lognormal [14],Advantage,5.642857142857142,2.0841170115409318,1.8449083948467664,2.3092837803820667
Lognormal [14],Advantage,5.714285714285714,2.07791473153849,1.8392105695597492,2.310992478198463
Lognormal [14],Advantage,5.785714285714286,2.074155259254579,1.8406574422125639,2.2979483048987506
Lognormal [14],Advantage,5.857142857142857,2.0674927271662753,1.8275965844477,2.2972638280151036
Lognormal [14],Advantage,5.928571428571428,2.061439183456561,1.8313448067168663,2.2951578000384356
Lognormal [14],Advantage,6,2.053500008466889,1.8349763100067435,2.275645998735406
Lognormal [14],Advantage,6.071428571428571,2.0393035540178426,1.8390161959756448,2.256598132891172
Lognormal [14],Advantage,6.142857142857142,2.0319441574525268,1.8302492179156653,2.243733073400115
Lognormal [14],Advantage,6.214285714285714,2.022614398040816,1.8296606599714567,2.228068664641363
