"strain","model","WAIC","pWAIC","LOOIC","pLOO","elpd_loo","se_elpd_loo","pareto_k_max","n_pareto_k_gt_0_7","delta_LOOIC","delta_WAIC"
"SGTF","Mechanistic",2829.55815551088,4.53070355011158,2829.56889211664,4.53607185298333,-1414.78444605832,23.3382991793642,0.35045497290302,0,0,0
"SGTF","Lognormal",2860.1661454677,1.01660604550535,2860.17052371754,1.0187951704146,-1430.08526185877,18.3960623730586,-0.0133776769551198,0,30.6016316008954,30.6079899568244
"non-SGTF","Mechanistic",6333.76833711364,4.16252035764,6333.79089414312,4.17379887234218,-3166.89544707156,30.3961010401326,0.125963577593832,0,0,0
"non-SGTF","Lognormal",6379.02547476663,1.56704403179347,6379.03101430693,1.5698138019928,-3189.51550715347,28.969064701246,0.0485050284863369,0,45.2401201638131,45.2571376529895
