"group","parameter","value"
"Omicron posterior","d",0.687105109943984
"Omicron posterior","m",2.03528
"Omicron posterior","kappa",8.23670182633377
"Omicron posterior","sigma_z",4.24265817129785
"Omicron posterior","lambda1",0.347246630770329
"Omicron posterior","lambda_I",0.640536610518121
"Omicron posterior","r",0.27955394490031
"Omicron posterior","d",0.631967064074135
"Omicron posterior","m",1.93579
"Omicron posterior","kappa",7.06709850259097
"Omicron posterior","sigma_z",4.33642380341053
"Omicron posterior","lambda1",0.595611303506671
"Omicron posterior","lambda_I",1.68779340790198
"Omicron posterior","r",0.394835127480373
"Omicron posterior","d",0.762494487526611
"Omicron posterior","m",2.33815
"Omicron posterior","kappa",3.39237409741034
"Omicron posterior","sigma_z",3.94903008239406
"Omicron posterior","lambda1",0.605542820045347
"Omicron posterior","lambda_I",1.61214243602833
"Omicron posterior","r",0.396537763628454
"Omicron posterior","d",0.76225586409853
"Omicron posterior","m",2.36787
"Omicron posterior","kappa",3.61470410407775
"Omicron posterior","sigma_z",3.9903542044229
"Omicron posterior","lambda1",0.340578376249104
"Omicron posterior","lambda_I",1.23326978009294
"Omicron posterior","r",0.135610292901953
"Omicron posterior","d",0.814263707872287
"Omicron posterior","m",2.51745
"Omicron posterior","kappa",4.0996024270653
"Omicron posterior","sigma_z",2.41290882255335
"Omicron posterior","lambda1",0.474616105815007
"Omicron posterior","lambda_I",1.47543815512217
"Omicron posterior","r",0.255636184396978
"Omicron posterior","d",0.804356258788991
"Omicron posterior","m",2.36913
"Omicron posterior","kappa",1.77419713093578
"Omicron posterior","sigma_z",3.33952973776693
"Omicron posterior","lambda1",0.0696369473335895
"Omicron posterior","lambda_I",1.70091101721077
"Omicron posterior","r",0.178720883533322
"Omicron posterior","d",0.733068595220412
"Omicron posterior","m",1.73931
"Omicron posterior","kappa",2.57856231147175
"Omicron posterior","sigma_z",3.9888381578923
"Omicron posterior","lambda1",0.717119346251888
"Omicron posterior","lambda_I",1.26086122578139
"Omicron posterior","r",0.111932418058971
"Omicron posterior","d",0.824834927950768
"Omicron posterior","m",2.80982
"Omicron posterior","kappa",10.3830015229649
"Omicron posterior","sigma_z",4.10066846227491
"Omicron posterior","lambda1",1.00646839025903
"Omicron posterior","lambda_I",0.861405432317465
"Omicron posterior","r",0.214771630305055
"Omicron posterior","d",0.85892729473822
"Omicron posterior","m",2.99902
"Omicron posterior","kappa",10.8364992886237
"Omicron posterior","sigma_z",4.00815084879816
"Omicron posterior","lambda1",0.595248091402487
"Omicron posterior","lambda_I",2.24129315358368
"Omicron posterior","r",0.052473867248855
"Omicron posterior","d",0.656178777821441
"Omicron posterior","m",2.63794
"Omicron posterior","kappa",11.2316984553601
"Omicron posterior","sigma_z",2.56524758928133
"Omicron posterior","lambda1",1.3319179884634
"Omicron posterior","lambda_I",3.7448815963222
"Omicron posterior","r",0.0677324427776582
"Omicron posterior","d",0.632936612552392
"Omicron posterior","m",2.56213
"Omicron posterior","kappa",5.9501712460969
"Omicron posterior","sigma_z",3.29046864525775
"Omicron posterior","lambda1",0.848640178948279
"Omicron posterior","lambda_I",1.73200898886042
"Omicron posterior","r",0.0593157742952977
"Omicron posterior","d",0.667923922770062
"Omicron posterior","m",2.25155
"Omicron posterior","kappa",3.16704824151597
"Omicron posterior","sigma_z",1.9598128813774
"Omicron posterior","lambda1",0.535089637174422
"Omicron posterior","lambda_I",2.42884054133562
"Omicron posterior","r",0.0687210308974901
"Omicron posterior","d",0.722236233783146
"Omicron posterior","m",2.37874
"Omicron posterior","kappa",5.130227473436
"Omicron posterior","sigma_z",2.57636115928352
"Omicron posterior","lambda1",0.373778463744923
"Omicron posterior","lambda_I",1.10606204491149
"Omicron posterior","r",0.168877783539202
"Omicron posterior","d",0.743130953597349
"Omicron posterior","m",2.50041
"Omicron posterior","kappa",6.01622508293893
"Omicron posterior","sigma_z",2.907780280777
"Omicron posterior","lambda1",0.367445599447817
"Omicron posterior","lambda_I",1.47008026302888
"Omicron posterior","r",0.229083205185273
"Omicron posterior","d",0.76168057811892
"Omicron posterior","m",1.98781
"Omicron posterior","kappa",1.71149798216305
"Omicron posterior","sigma_z",3.75436814218121
"Omicron posterior","lambda1",0.241598022009926
"Omicron posterior","lambda_I",1.21999163235959
"Omicron posterior","r",0.289746174387125
"Omicron posterior","d",0.741992606611384
"Omicron posterior","m",1.70693
"Omicron posterior","kappa",2.57905228485693
"Omicron posterior","sigma_z",2.50266208665033
"Omicron posterior","lambda1",0.224120819448104
"Omicron posterior","lambda_I",0.903764013212546
"Omicron posterior","r",0.457344656756173
"Omicron posterior","d",0.707078914855377
"Omicron posterior","m",1.68811
"Omicron posterior","kappa",2.19098453025081
"Omicron posterior","sigma_z",3.3028310677324
"Omicron posterior","lambda1",0.531497917161953
"Omicron posterior","lambda_I",0.310913668060564
"Omicron posterior","r",0.756307681112677
"Omicron posterior","d",0.608850820139232
"Omicron posterior","m",1.8186
"Omicron posterior","kappa",4.73385556269494
"Omicron posterior","sigma_z",0.0696118825444822
"Omicron posterior","lambda1",0.552415388668066
"Omicron posterior","lambda_I",0.406823438378978
"Omicron posterior","r",0.717996201742596
"Omicron posterior","d",0.600744836194803
"Omicron posterior","m",1.728
"Omicron posterior","kappa",5.40648954706433
"Omicron posterior","sigma_z",0.0665294880688111
"Omicron posterior","lambda1",0.448761371100934
"Omicron posterior","lambda_I",0.512319922728721
"Omicron posterior","r",0.226989844587837
"Omicron posterior","d",0.774195386430982
"Omicron posterior","m",1.41897
"Omicron posterior","kappa",2.10330938095158
"Omicron posterior","sigma_z",0.393293549753696
"Omicron posterior","lambda1",0.545892614129102
"Omicron posterior","lambda_I",0.467949450804315
"Omicron posterior","r",0.204268494702975
"Omicron posterior","d",0.772061553208837
"Omicron posterior","m",1.40852
"Omicron posterior","kappa",2.09951843129304
"Omicron posterior","sigma_z",0.446693322163684
"Omicron posterior","lambda1",0.448823753266977
"Omicron posterior","lambda_I",0.727930283350216
"Omicron posterior","r",0.188635254290998
"Omicron posterior","d",0.734647122866586
"Omicron posterior","m",1.76493
"Omicron posterior","kappa",2.0271320279382
"Omicron posterior","sigma_z",0.681572943380159
"Omicron posterior","lambda1",0.320295907350305
"Omicron posterior","lambda_I",0.801124430526702
"Omicron posterior","r",0.235651796982413
"Omicron posterior","d",0.668574797595424
"Omicron posterior","m",1.6162
"Omicron posterior","kappa",4.35384777457613
"Omicron posterior","sigma_z",0.925419713552022
"Omicron posterior","lambda1",0.0686502846762242
"Omicron posterior","lambda_I",0.492522566064188
"Omicron posterior","r",0.343640234091868
"Omicron posterior","d",0.806852018414269
"Omicron posterior","m",1.20335
"Omicron posterior","kappa",3.40726528384877
"Omicron posterior","sigma_z",0.57976756834144
"Omicron posterior","lambda1",0.0943267934307028
"Omicron posterior","lambda_I",0.320885794349442
"Omicron posterior","r",0.78047310367374
"Omicron posterior","d",0.81687597584244
"Omicron posterior","m",1.39991
"Omicron posterior","kappa",2.46846376585356
"Omicron posterior","sigma_z",0.867729715921548
"Omicron posterior","lambda1",0.266542919383444
"Omicron posterior","lambda_I",0.936900586523001
"Omicron posterior","r",0.198624335426741
"Omicron posterior","d",0.726768706453732
"Omicron posterior","m",1.17785
"Omicron posterior","kappa",2.1057653757934
"Omicron posterior","sigma_z",0.515533495971398
"Omicron posterior","lambda1",0.48517676040439
"Omicron posterior","lambda_I",0.647284085309319
"Omicron posterior","r",0.158298941308206
"Omicron posterior","d",0.64701293008856
"Omicron posterior","m",1.31903
"Omicron posterior","kappa",3.91611464387719
"Omicron posterior","sigma_z",0.122659874737746
"Omicron posterior","lambda1",0.0848016736449426
"Omicron posterior","lambda_I",1.42699666297197
"Omicron posterior","r",0.284694102414647
"Omicron posterior","d",0.921591142582298
"Omicron posterior","m",2.22906
"Omicron posterior","kappa",1.81255599307399
"Omicron posterior","sigma_z",3.89163742134189
"Omicron posterior","lambda1",0.432847849312358
"Omicron posterior","lambda_I",1.12333619143828
"Omicron posterior","r",0.11575492943629
"Omicron posterior","d",0.66145323057847
"Omicron posterior","m",1.65665
"Omicron posterior","kappa",3.3025998776494
"Omicron posterior","sigma_z",1.57973640366932
"Omicron posterior","lambda1",0.313207302300997
"Omicron posterior","lambda_I",2.85950919509952
"Omicron posterior","r",0.189222823127799
"Omicron posterior","d",0.696089524335937
"Omicron posterior","m",2.17271
"Omicron posterior","kappa",2.81814819271969
"Omicron posterior","sigma_z",2.92238481379097
"Omicron posterior","lambda1",0.221961796445954
"Omicron posterior","lambda_I",3.57037274248178
"Omicron posterior","r",0.163642681414071
"Omicron posterior","d",0.694859925342714
"Omicron posterior","m",2.27109
"Omicron posterior","kappa",2.92121609362507
"Omicron posterior","sigma_z",3.57180117724668
"Omicron posterior","lambda1",0.159157659318482
"Omicron posterior","lambda_I",1.44012368174463
"Omicron posterior","r",0.11085081396565
"Omicron posterior","d",0.719919412730139
"Omicron posterior","m",1.78008
"Omicron posterior","kappa",2.6960183515995
"Omicron posterior","sigma_z",2.9732332587907
"Omicron posterior","lambda1",0.0889500769302458
"Omicron posterior","lambda_I",0.735260809392648
"Omicron posterior","r",0.779271320832479
"Omicron posterior","d",0.63905867861637
"Omicron posterior","m",1.52879
"Omicron posterior","kappa",2.42071753914751
"Omicron posterior","sigma_z",3.92175791114165
"Omicron posterior","lambda1",0.36419712708833
"Omicron posterior","lambda_I",0.38941175462296
"Omicron posterior","r",0.560091564826651
"Omicron posterior","d",0.742721601228851
"Omicron posterior","m",1.71184
"Omicron posterior","kappa",3.08842113259593
"Omicron posterior","sigma_z",0.0205295493293867
"Omicron posterior","lambda1",0.402426020104338
"Omicron posterior","lambda_I",1.71566884212908
"Omicron posterior","r",0.336879493039259
"Omicron posterior","d",0.608279985833085
"Omicron posterior","m",1.95612
"Omicron posterior","kappa",10.3365897162144
"Omicron posterior","sigma_z",4.34562677357532
"Omicron posterior","lambda1",0.702454955580591
"Omicron posterior","lambda_I",0.853632931665016
"Omicron posterior","r",0.524150197124233
"Omicron posterior","d",0.66321238548246
"Omicron posterior","m",1.747
"Omicron posterior","kappa",1.35975155103925
"Omicron posterior","sigma_z",3.58016897851069
"Omicron posterior","lambda1",1.23346218518584
"Omicron posterior","lambda_I",2.27271238170826
"Omicron posterior","r",0.488981315426028
"Omicron posterior","d",0.64756182975384
"Omicron posterior","m",2.1989
"Omicron posterior","kappa",2.51579032822013
"Omicron posterior","sigma_z",3.8375341043467
"Omicron posterior","lambda1",0.346441952374805
"Omicron posterior","lambda_I",1.66181270908164
"Omicron posterior","r",0.188448597799458
"Omicron posterior","d",0.647824145410225
"Omicron posterior","m",1.9557
"Omicron posterior","kappa",3.16584499181612
"Omicron posterior","sigma_z",3.12479912149298
"Omicron posterior","lambda1",0.130416774364258
"Omicron posterior","lambda_I",2.36477528377934
"Omicron posterior","r",0.203223280591576
"Omicron posterior","d",0.664068481522959
"Omicron posterior","m",2.0109
"Omicron posterior","kappa",6.42155307217676
"Omicron posterior","sigma_z",3.0448145616089
"Omicron posterior","lambda1",0.116615859269112
"Omicron posterior","lambda_I",2.37946102035198
"Omicron posterior","r",0.109259444525163
"Omicron posterior","d",0.674214479397504
"Omicron posterior","m",2.20543
"Omicron posterior","kappa",4.05244336821697
"Omicron posterior","sigma_z",3.57469550824605
"Omicron posterior","lambda1",0.5181668418855
"Omicron posterior","lambda_I",2.05084109654184
"Omicron posterior","r",0.22140094287987
"Omicron posterior","d",0.63901458508879
"Omicron posterior","m",1.82099
"Omicron posterior","kappa",3.05937302139043
"Omicron posterior","sigma_z",1.74071857132009
"Omicron posterior","lambda1",1.06781766467187
"Omicron posterior","lambda_I",2.66654066161248
"Omicron posterior","r",0.252357133075339
"Omicron posterior","d",0.693043161240041
"Omicron posterior","m",2.82451
"Omicron posterior","kappa",7.52544541315381
"Omicron posterior","sigma_z",4.01942959189583
"Omicron posterior","lambda1",0.83479257346782
"Omicron posterior","lambda_I",2.20993035177695
"Omicron posterior","r",0.175082147659907
"Omicron posterior","d",0.66647743226777
"Omicron posterior","m",2.7631
"Omicron posterior","kappa",7.17971723519635
"Omicron posterior","sigma_z",3.79627377455389
"Omicron posterior","lambda1",0.717553334724645
"Omicron posterior","lambda_I",1.95887043805724
"Omicron posterior","r",0.207625355256786
"Omicron posterior","d",0.65506160128876
"Omicron posterior","m",1.93327
"Omicron posterior","kappa",2.02225252191734
"Omicron posterior","sigma_z",2.21332741307247
"Omicron posterior","lambda1",0.561469963250661
"Omicron posterior","lambda_I",2.38262542633004
"Omicron posterior","r",0.648237589089507
"Omicron posterior","d",0.707503997007597
"Omicron posterior","m",2.33191
"Omicron posterior","kappa",1.77006098359378
"Omicron posterior","sigma_z",4.12151164419717
"Omicron posterior","lambda1",0.615580840990064
"Omicron posterior","lambda_I",2.71904305393761
"Omicron posterior","r",0.194642643327806
"Omicron posterior","d",0.752553641887065
"Omicron posterior","m",2.1083
"Omicron posterior","kappa",1.80824181452781
"Omicron posterior","sigma_z",3.76429276881951
"Omicron posterior","lambda1",0.852590429321183
"Omicron posterior","lambda_I",2.85533735785692
"Omicron posterior","r",0.364146143059503
"Omicron posterior","d",0.791418795997587
"Omicron posterior","m",2.41334
"Omicron posterior","kappa",1.24074251149407
"Omicron posterior","sigma_z",4.07528221699885
"Omicron posterior","lambda1",0.573085132502801
"Omicron posterior","lambda_I",2.68762794563846
"Omicron posterior","r",0.236411818747053
"Omicron posterior","d",0.737859390730334
"Omicron posterior","m",2.33354
"Omicron posterior","kappa",2.72119194665108
"Omicron posterior","sigma_z",4.20195544885553
"Omicron posterior","lambda1",0.500440284016264
"Omicron posterior","lambda_I",0.656219462166868
"Omicron posterior","r",0.536546525640208
"Omicron posterior","d",0.684224636048838
"Omicron posterior","m",1.97985
"Omicron posterior","kappa",4.15191635521694
"Omicron posterior","sigma_z",4.26064262566727
"Omicron posterior","lambda1",0.355859246966677
"Omicron posterior","lambda_I",1.46106847462973
"Omicron posterior","r",0.250591789606456
"Omicron posterior","d",0.705115260120642
"Omicron posterior","m",2.22444
"Omicron posterior","kappa",3.01352352365073
"Omicron posterior","sigma_z",4.16180968453426
"Omicron posterior","lambda1",0.216607135877885
"Omicron posterior","lambda_I",1.38484469530764
"Omicron posterior","r",0.255955929426484
"Omicron posterior","d",0.659695443305097
"Omicron posterior","m",1.9667
"Omicron posterior","kappa",2.46835268748338
"Omicron posterior","sigma_z",3.13952024490489
"Omicron posterior","lambda1",0.0741585433431578
"Omicron posterior","lambda_I",1.7342343167569
"Omicron posterior","r",0.255028493716873
"Omicron posterior","d",0.696421638241915
"Omicron posterior","m",1.99194
"Omicron posterior","kappa",11.4740733629289
"Omicron posterior","sigma_z",3.0295375981372
"Omicron posterior","lambda1",0.058445534068315
"Omicron posterior","lambda_I",1.39868568605282
"Omicron posterior","r",0.219439217116893
"Omicron posterior","d",0.614258763924056
"Omicron posterior","m",1.97891
"Omicron posterior","kappa",8.42741430855313
"Omicron posterior","sigma_z",4.01460916921761
"Omicron posterior","lambda1",0.0740422057789936
"Omicron posterior","lambda_I",0.80423802710919
"Omicron posterior","r",0.287064026285551
"Omicron posterior","d",0.801630901194668
"Omicron posterior","m",1.9305
"Omicron posterior","kappa",2.46249238087892
"Omicron posterior","sigma_z",3.7369134875704
"Omicron posterior","lambda1",0.0810653223945332
"Omicron posterior","lambda_I",1.81086928872714
"Omicron posterior","r",0.0848593583936129
"Omicron posterior","d",0.724678623742914
"Omicron posterior","m",1.53588
"Omicron posterior","kappa",2.24587904197091
"Omicron posterior","sigma_z",3.4730042587274
"Omicron posterior","lambda1",0.293296862586308
"Omicron posterior","lambda_I",1.55378050997882
"Omicron posterior","r",0.194632911438939
"Omicron posterior","d",0.739968989309892
"Omicron posterior","m",2.3938
"Omicron posterior","kappa",4.59863720583308
"Omicron posterior","sigma_z",3.69459152407121
"Omicron posterior","lambda1",0.412953616931498
"Omicron posterior","lambda_I",1.0720412056326
"Omicron posterior","r",0.17464149610196
"Omicron posterior","d",0.818184841747347
"Omicron posterior","m",2.05848
"Omicron posterior","kappa",2.3558179688328
"Omicron posterior","sigma_z",2.56323209686843
"Omicron posterior","lambda1",0.469886078419424
"Omicron posterior","lambda_I",2.40745939860085
"Omicron posterior","r",0.305062074540235
"Omicron posterior","d",0.810650716603615
"Omicron posterior","m",1.63275
"Omicron posterior","kappa",1.15053724172022
"Omicron posterior","sigma_z",2.36826826928736
"Omicron posterior","lambda1",0.281379777719193
"Omicron posterior","lambda_I",2.96907364463771
"Omicron posterior","r",0.224787447734849
"Omicron posterior","d",0.821193918081761
"Omicron posterior","m",1.81576
"Omicron posterior","kappa",1.26495557122318
"Omicron posterior","sigma_z",2.7323717365406
"Omicron posterior","lambda1",0.0919481911711214
"Omicron posterior","lambda_I",0.448172534076779
"Omicron posterior","r",0.388810577990601
"Omicron posterior","d",0.761887783414811
"Omicron posterior","m",1.57542
"Omicron posterior","kappa",2.06877366633905
"Omicron posterior","sigma_z",3.3647713119509
"Omicron posterior","lambda1",1.23682053247149
"Omicron posterior","lambda_I",1.82777064968652
"Omicron posterior","r",0.140730298062749
"Omicron posterior","d",0.73924417491743
"Omicron posterior","m",2.62319
"Omicron posterior","kappa",3.06773652072105
"Omicron posterior","sigma_z",3.85476482512978
"Omicron posterior","lambda1",1.77413148685636
"Omicron posterior","lambda_I",1.72344811141007
"Omicron posterior","r",0.115648483873675
"Omicron posterior","d",0.75051623192095
"Omicron posterior","m",2.7552
"Omicron posterior","kappa",5.40600298490072
"Omicron posterior","sigma_z",2.84544650777461
"Omicron posterior","lambda1",0.597378716928882
"Omicron posterior","lambda_I",2.04362460820966
"Omicron posterior","r",0.384475581194437
"Omicron posterior","d",0.667590711875632
"Omicron posterior","m",2.22721
"Omicron posterior","kappa",1.67659675876376
"Omicron posterior","sigma_z",3.862173083246
"Omicron posterior","lambda1",0.915571883183174
"Omicron posterior","lambda_I",1.72865214860989
"Omicron posterior","r",0.241375854042612
"Omicron posterior","d",0.653680878484858
"Omicron posterior","m",2.13831
"Omicron posterior","kappa",4.07683111851396
"Omicron posterior","sigma_z",3.37569085110263
"Omicron posterior","lambda1",0.62264920040271
"Omicron posterior","lambda_I",1.4953974135828
"Omicron posterior","r",0.312406517049564
"Omicron posterior","d",0.682014745775986
"Omicron posterior","m",2.08471
"Omicron posterior","kappa",2.39727098309726
"Omicron posterior","sigma_z",2.87807019969336
"Omicron posterior","lambda1",0.627339134628245
"Omicron posterior","lambda_I",1.41557810156051
"Omicron posterior","r",0.305709492158456
"Omicron posterior","d",0.718262627752411
"Omicron posterior","m",2.22846
"Omicron posterior","kappa",2.08999150212593
"Omicron posterior","sigma_z",4.17481480819316
"Omicron posterior","lambda1",0.369837336903502
"Omicron posterior","lambda_I",0.814270222008007
"Omicron posterior","r",0.368463360891079
"Omicron posterior","d",0.780998538861621
"Omicron posterior","m",2.30475
"Omicron posterior","kappa",2.94936531574747
"Omicron posterior","sigma_z",4.1157867227539
"Omicron posterior","lambda1",0.22462116655515
"Omicron posterior","lambda_I",0.597359601115795
"Omicron posterior","r",0.149238437559278
"Omicron posterior","d",0.797090544495801
"Omicron posterior","m",1.6152
"Omicron posterior","kappa",5.47537080308451
"Omicron posterior","sigma_z",0.168984210063667
"Omicron posterior","lambda1",0.51050236942867
"Omicron posterior","lambda_I",0.406178321617818
"Omicron posterior","r",0.584881509575518
"Omicron posterior","d",0.616747855917172
"Omicron posterior","m",1.68307
"Omicron posterior","kappa",3.44329891923621
"Omicron posterior","sigma_z",0.30139005179101
"Omicron posterior","lambda1",1.06838130075582
"Omicron posterior","lambda_I",0.561637306232576
"Omicron posterior","r",0.864735153377262
"Omicron posterior","d",0.626286715973898
"Omicron posterior","m",1.91328
"Omicron posterior","kappa",2.01482027928698
"Omicron posterior","sigma_z",0.898591267758614
"Omicron posterior","lambda1",0.436781154474622
"Omicron posterior","lambda_I",0.779963621101205
"Omicron posterior","r",0.113220277431642
"Omicron posterior","d",0.653054299015268
"Omicron posterior","m",1.90114
"Omicron posterior","kappa",9.98406178490649
"Omicron posterior","sigma_z",0.439017940499733
"Omicron posterior","lambda1",0.802926581079986
"Omicron posterior","lambda_I",0.836273137300148
"Omicron posterior","r",0.131157026243778
"Omicron posterior","d",0.640997962944637
"Omicron posterior","m",2.24672
"Omicron posterior","kappa",10.0223740627215
"Omicron posterior","sigma_z",0.275628867812408
"Omicron posterior","lambda1",0.580044763483468
"Omicron posterior","lambda_I",0.902328170229206
"Omicron posterior","r",0.186636948697782
"Omicron posterior","d",0.63280181141075
"Omicron posterior","m",2.13718
"Omicron posterior","kappa",8.39133813988035
"Omicron posterior","sigma_z",0.445404242080562
"Omicron posterior","lambda1",0.499623731928702
"Omicron posterior","lambda_I",0.772688721786024
"Omicron posterior","r",0.311579735748446
"Omicron posterior","d",0.623140041338558
"Omicron posterior","m",1.77974
"Omicron posterior","kappa",7.59651811842097
"Omicron posterior","sigma_z",0.38390083574176
"Omicron posterior","lambda1",0.747704823410513
"Omicron posterior","lambda_I",0.280862514955869
"Omicron posterior","r",1.23425185365132
"Omicron posterior","d",0.617004476398593
"Omicron posterior","m",1.92607
"Omicron posterior","kappa",2.03119034896232
"Omicron posterior","sigma_z",0.258675732437003
"Omicron posterior","lambda1",0.510043123987632
"Omicron posterior","lambda_I",0.601304991373903
"Omicron posterior","r",0.462043609268045
"Omicron posterior","d",0.625052895516807
"Omicron posterior","m",1.90807
"Omicron posterior","kappa",5.81115879882649
"Omicron posterior","sigma_z",0.412303314604049
"Omicron posterior","lambda1",0.601955955482644
"Omicron posterior","lambda_I",0.503358821692108
"Omicron posterior","r",0.50861700074474
"Omicron posterior","d",0.628629013462843
"Omicron posterior","m",1.85939
"Omicron posterior","kappa",5.16151427196205
"Omicron posterior","sigma_z",0.516032774007081
"Omicron posterior","lambda1",1.12274098100152
"Omicron posterior","lambda_I",1.03619215040175
"Omicron posterior","r",0.190169404772246
"Omicron posterior","d",0.61629471279357
"Omicron posterior","m",2.10181
"Omicron posterior","kappa",2.1084034451307
"Omicron posterior","sigma_z",0.299293674099011
"Omicron posterior","lambda1",0.581911444525766
"Omicron posterior","lambda_I",0.642331983943931
"Omicron posterior","r",0.459993463215984
"Omicron posterior","d",0.580058684724846
"Omicron posterior","m",1.75392
"Omicron posterior","kappa",10.1558510751082
"Omicron posterior","sigma_z",0.123490629535398
"Omicron posterior","lambda1",0.64548067963205
"Omicron posterior","lambda_I",0.680048608689423
"Omicron posterior","r",0.239783223312901
"Omicron posterior","d",0.625291086042413
"Omicron posterior","m",1.98029
"Omicron posterior","kappa",11.2420363726518
"Omicron posterior","sigma_z",0.96504485196794
"Omicron posterior","lambda1",0.622296880671172
"Omicron posterior","lambda_I",0.767800765048156
"Omicron posterior","r",0.247664567188511
"Omicron posterior","d",0.618217463954115
"Omicron posterior","m",2.02617
"Omicron posterior","kappa",11.7701892481478
"Omicron posterior","sigma_z",0.499625730427627
"Omicron posterior","lambda1",0.744090211115564
"Omicron posterior","lambda_I",0.569118276014058
"Omicron posterior","r",0.258794750646014
"Omicron posterior","d",0.609382578984177
"Omicron posterior","m",2.19883
"Omicron posterior","kappa",13.9695505466641
"Omicron posterior","sigma_z",0.120617608244823
"Omicron posterior","lambda1",0.186115096175902
"Omicron posterior","lambda_I",0.975254223422281
"Omicron posterior","r",0.493746031632058
"Omicron posterior","d",0.712987065276198
"Omicron posterior","m",1.98713
"Omicron posterior","kappa",14.2889998501536
"Omicron posterior","sigma_z",4.19305673926898
"Omicron posterior","lambda1",0.127668272528052
"Omicron posterior","lambda_I",0.938551640464498
"Omicron posterior","r",0.491409247692047
"Omicron posterior","d",0.70423441668733
"Omicron posterior","m",1.99002
"Omicron posterior","kappa",13.7262492048413
"Omicron posterior","sigma_z",4.01806321813128
"Omicron posterior","lambda1",0.10821232604208
"Omicron posterior","lambda_I",1.08067613913475
"Omicron posterior","r",0.543420422437062
"Omicron posterior","d",0.683317955443528
"Omicron posterior","m",2.01096
"Omicron posterior","kappa",15.7348815077711
"Omicron posterior","sigma_z",4.17118429881061
"Omicron posterior","lambda1",0.149686825117002
"Omicron posterior","lambda_I",1.06772359407948
"Omicron posterior","r",0.0825113020895182
"Omicron posterior","d",0.837006870536556
"Omicron posterior","m",1.5304
"Omicron posterior","kappa",1.74230334618319
"Omicron posterior","sigma_z",4.09525915083569
"Omicron posterior","lambda1",0.128170996043753
"Omicron posterior","lambda_I",0.944748050748972
"Omicron posterior","r",0.561666512131847
"Omicron posterior","d",0.853894183311569
"Omicron posterior","m",2.01144
"Omicron posterior","kappa",1.39175285576053
"Omicron posterior","sigma_z",4.34167405197246
"Omicron posterior","lambda1",0.139540555436035
"Omicron posterior","lambda_I",0.298713607218061
"Omicron posterior","r",0.289749071863356
"Omicron posterior","d",0.896078731401313
"Omicron posterior","m",1.76925
"Omicron posterior","kappa",3.73015579171755
"Omicron posterior","sigma_z",1.6257886156512
"Omicron posterior","lambda1",0.90330682430041
"Omicron posterior","lambda_I",3.00125339575625
"Omicron posterior","r",0.2374163329237
"Omicron posterior","d",0.696306738151123
"Omicron posterior","m",2.37597
"Omicron posterior","kappa",3.32693014359349
"Omicron posterior","sigma_z",4.43864877423913
"Omicron posterior","lambda1",0.442164630083726
"Omicron posterior","lambda_I",0.362051069912663
"Omicron posterior","r",0.364568797677737
"Omicron posterior","d",0.80777558530287
"Omicron posterior","m",1.45948
"Omicron posterior","kappa",1.53016871413278
"Omicron posterior","sigma_z",0.414433397028159
"Omicron posterior","lambda1",0.286479012588782
"Omicron posterior","lambda_I",0.463860230270226
"Omicron posterior","r",0.488312846323641
"Omicron posterior","d",0.792278743677112
"Omicron posterior","m",1.4162
"Omicron posterior","kappa",2.85234082708513
"Omicron posterior","sigma_z",0.383617237826483
"Omicron posterior","lambda1",0.110264858804432
"Omicron posterior","lambda_I",0.463368798930764
"Omicron posterior","r",0.581970220549802
"Omicron posterior","d",0.756065701373544
"Omicron posterior","m",1.15582
"Omicron posterior","kappa",2.07687425206195
"Omicron posterior","sigma_z",0.390013470777432
"Omicron posterior","lambda1",0.196620461476207
"Omicron posterior","lambda_I",0.537299291434674
"Omicron posterior","r",0.179017806577931
"Omicron posterior","d",0.723748009758944
"Omicron posterior","m",1.78347
"Omicron posterior","kappa",15.8647552837046
"Omicron posterior","sigma_z",0.811620834875761
"Omicron posterior","lambda1",0.206212105821078
"Omicron posterior","lambda_I",0.809518218702283
"Omicron posterior","r",0.241576279166388
"Omicron posterior","d",0.704556325366287
"Omicron posterior","m",1.8274
"Omicron posterior","kappa",16.1435404899996
"Omicron posterior","sigma_z",1.76305129802436
"Omicron posterior","lambda1",0.0429752891244484
"Omicron posterior","lambda_I",2.31917147720358
"Omicron posterior","r",0.145867004573387
"Omicron posterior","d",0.687740288472861
"Omicron posterior","m",2.00584
"Omicron posterior","kappa",17.7000948796921
"Omicron posterior","sigma_z",3.57880877275431
"Omicron posterior","lambda1",0.0874096142071786
"Omicron posterior","lambda_I",0.441911342324561
"Omicron posterior","r",0.385147076793138
"Omicron posterior","d",0.728209862254737
"Omicron posterior","m",1.89721
"Omicron posterior","kappa",11.7017686845688
"Omicron posterior","sigma_z",3.87234396730489
"Omicron posterior","lambda1",0.0528562137635509
"Omicron posterior","lambda_I",1.44063501640818
"Omicron posterior","r",0.41959387491692
"Omicron posterior","d",0.710101046541954
"Omicron posterior","m",1.89423
"Omicron posterior","kappa",12.8023660308016
"Omicron posterior","sigma_z",3.81831795602969
"Omicron posterior","lambda1",0.0446312943039845
"Omicron posterior","lambda_I",1.2047041281638
"Omicron posterior","r",0.132729772944827
"Omicron posterior","d",0.702351702291423
"Omicron posterior","m",1.54517
"Omicron posterior","kappa",2.96845020463582
"Omicron posterior","sigma_z",4.3927260391258
"Omicron posterior","lambda1",0.131657687668143
