"group","parameter","value"
"Omicron posterior","lambda_I",1.76782327210046
"Omicron posterior","r",0.347663576844864
"Omicron posterior","d",0.715797480853854
"Omicron posterior","m",1.92632
"Omicron posterior","kappa",9.07978033372929
"Omicron posterior","sigma_z",3.82003658577259
"Omicron posterior","lambda1",0.0616396467132153
"Omicron posterior","lambda_I",0.930414214552939
"Omicron posterior","r",0.176758656402783
"Omicron posterior","d",0.704910806342438
"Omicron posterior","m",2.00607
"Omicron posterior","kappa",10.2987239581228
"Omicron posterior","sigma_z",3.45958970614773
"Omicron posterior","lambda1",0.323356451249156
"Omicron posterior","lambda_I",0.424704774361074
"Omicron posterior","r",0.355407592584269
"Omicron posterior","d",0.756578487734008
"Omicron posterior","m",2.12466
"Omicron posterior","kappa",3.41893808022386
"Omicron posterior","sigma_z",4.06709912650367
"Omicron posterior","lambda1",0.207125580620948
"Omicron posterior","lambda_I",0.958370914554871
"Omicron posterior","r",0.337044604439837
"Omicron posterior","d",0.762725558361795
"Omicron posterior","m",2.29929
"Omicron posterior","kappa",3.54178203429141
"Omicron posterior","sigma_z",4.31470950440864
"Omicron posterior","lambda1",1.24979682737067
"Omicron posterior","lambda_I",1.13124183689325
"Omicron posterior","r",0.392966858572836
"Omicron posterior","d",0.774883177268069
"Omicron posterior","m",2.29224
"Omicron posterior","kappa",1.67066875773166
"Omicron posterior","sigma_z",3.16103656276042
"Omicron posterior","lambda1",0.722635018238578
"Omicron posterior","lambda_I",1.16219446717543
"Omicron posterior","r",0.272859027487057
"Omicron posterior","d",0.801251819438306
"Omicron posterior","m",2.4874
"Omicron posterior","kappa",2.38575348244549
"Omicron posterior","sigma_z",3.59042291793318
"Omicron posterior","lambda1",0.949938151681531
"Omicron posterior","lambda_I",2.14587200734559
"Omicron posterior","r",0.180930916023974
"Omicron posterior","d",0.758238726736299
"Omicron posterior","m",2.59634
"Omicron posterior","kappa",4.57405445104701
"Omicron posterior","sigma_z",3.33435747621162
"Omicron posterior","lambda1",1.0575985298151
"Omicron posterior","lambda_I",2.38201555228811
"Omicron posterior","r",0.349699872329032
"Omicron posterior","d",0.65374886483145
"Omicron posterior","m",2.348
"Omicron posterior","kappa",2.29500265414033
"Omicron posterior","sigma_z",3.4984149692778
"Omicron posterior","lambda1",0.585594329273253
"Omicron posterior","lambda_I",1.34834916037546
"Omicron posterior","r",0.30264039302592
"Omicron posterior","d",0.632307153830548
"Omicron posterior","m",2.047
"Omicron posterior","kappa",4.2587683552817
"Omicron posterior","sigma_z",2.00227893628228
"Omicron posterior","lambda1",1.37461679811964
"Omicron posterior","lambda_I",1.42697668515853
"Omicron posterior","r",0.523973064294739
"Omicron posterior","d",0.641079374855478
"Omicron posterior","m",2.15947
"Omicron posterior","kappa",2.17960572423257
"Omicron posterior","sigma_z",2.85097203202523
"Omicron posterior","lambda1",0.671394759364919
"Omicron posterior","lambda_I",1.58318556871297
"Omicron posterior","r",0.375024470677781
"Omicron posterior","d",0.693330833839891
"Omicron posterior","m",2.11212
"Omicron posterior","kappa",1.90875271510202
"Omicron posterior","sigma_z",2.69801414353162
"Omicron posterior","lambda1",0.512968930486122
"Omicron posterior","lambda_I",1.43146013964151
"Omicron posterior","r",0.36084383654117
"Omicron posterior","d",0.699677335146122
"Omicron posterior","m",2.21819
"Omicron posterior","kappa",1.83926861361642
"Omicron posterior","sigma_z",3.41654566101212
"Omicron posterior","lambda1",0.861246948298896
"Omicron posterior","lambda_I",1.73478936054053
"Omicron posterior","r",0.319719893285257
"Omicron posterior","d",0.703040344339158
"Omicron posterior","m",2.12672
"Omicron posterior","kappa",3.42729047491723
"Omicron posterior","sigma_z",3.09457320993651
"Omicron posterior","lambda1",0.0485345191087665
"Omicron posterior","lambda_I",0.557261316032475
"Omicron posterior","r",0.193733844006184
"Omicron posterior","d",0.802946654495429
"Omicron posterior","m",1.83213
"Omicron posterior","kappa",2.0439536582594
"Omicron posterior","sigma_z",3.94595103991247
"Omicron posterior","lambda1",0.109561417122545
"Omicron posterior","lambda_I",0.725719284063186
"Omicron posterior","r",0.32958862271644
"Omicron posterior","d",0.72199504716147
"Omicron posterior","m",1.88617
"Omicron posterior","kappa",9.1075159390444
"Omicron posterior","sigma_z",3.92316999815007
"Omicron posterior","lambda1",0.0755575999766344
"Omicron posterior","lambda_I",1.13286973283137
"Omicron posterior","r",0.116591372509865
"Omicron posterior","d",0.753391700383525
"Omicron posterior","m",1.84156
"Omicron posterior","kappa",4.57323119534105
"Omicron posterior","sigma_z",3.16989986797276
"Omicron posterior","lambda1",0.113817385107408
"Omicron posterior","lambda_I",1.34295847838418
"Omicron posterior","r",0.0937053494611264
"Omicron posterior","d",0.8256948538893
"Omicron posterior","m",2.17134
"Omicron posterior","kappa",2.63162098385757
"Omicron posterior","sigma_z",4.06287154213703
"Omicron posterior","lambda1",0.581411215812651
"Omicron posterior","lambda_I",1.28756392138369
"Omicron posterior","r",0.302776611849718
"Omicron posterior","d",0.614403746099566
"Omicron posterior","m",2.03534
"Omicron posterior","kappa",8.17793766799219
"Omicron posterior","sigma_z",3.4455033358826
"Omicron posterior","lambda1",0.707362510357332
"Omicron posterior","lambda_I",1.50401620489372
"Omicron posterior","r",0.25133464018016
"Omicron posterior","d",0.609114509629007
"Omicron posterior","m",2.00263
"Omicron posterior","kappa",5.15893415990783
"Omicron posterior","sigma_z",3.17323001085318
"Omicron posterior","lambda1",0.328354979907195
"Omicron posterior","lambda_I",0.964340529865588
"Omicron posterior","r",0.69660064160389
"Omicron posterior","d",0.731424702184513
"Omicron posterior","m",1.59507
"Omicron posterior","kappa",1.73228440018427
"Omicron posterior","sigma_z",1.62069164582852
"Omicron posterior","lambda1",0.26459365689995
"Omicron posterior","lambda_I",0.570146462161107
"Omicron posterior","r",0.43917118450049
"Omicron posterior","d",0.700204390590958
"Omicron posterior","m",2.07035
"Omicron posterior","kappa",3.91458765694788
"Omicron posterior","sigma_z",3.89603745718006
"Omicron posterior","lambda1",1.08912650128436
"Omicron posterior","lambda_I",1.56745298585472
"Omicron posterior","r",0.597232377070599
"Omicron posterior","d",0.613145508554191
"Omicron posterior","m",2.0604
"Omicron posterior","kappa",15.3864922823799
