n_pairs,rep_id,variable,true_value,median,q5,q95,error,abs_error,interval_width,covered,rhat,ess_bulk,ess_tail
30,1,log_lambda1,-1.8325814637483102,-2.0166250000000003,-3.633655,-0.50640655,-0.18404353625169012,0.18404353625169012,3.12724845,TRUE,1.0013874382462038,763.3028650106706,783.0824344443332
30,1,log_lambda_I,-1.8325814637483102,-1.844585,-3.5484175000000002,-0.3919051500000008,-0.012003536251689706,0.012003536251689706,3.1565123499999994,TRUE,1.0018105595413593,783.7898429523693,687.8085553784431
30,1,log_r,-1.3093333199837622,-1.40184,-2.6234290000000002,-0.2680647500000003,-0.09250668001623774,0.09250668001623774,2.35536425,TRUE,1.0070528597396253,769.4856697469979,448.5322428604041
30,1,log_d,-0.4780358009429998,-0.5623165,-1.15447,0.3531387499999987,-0.0842806990570002,0.0842806990570002,1.5076087499999988,TRUE,1.0028360123649342,665.0102334123471,549.2248551107615
30,1,m,3.5,3.937145,1.7771975000000002,5.8641175,0.4371450000000001,0.4371450000000001,4.086919999999999,TRUE,1.0223258294313757,792.4712848618209,426.0081879082031
30,1,log_kappa,0.04879016416943205,0.022873499999999998,-1.0572725,1.7031044999999998,-0.02591666416943205,0.02591666416943205,2.760377,TRUE,1.014640365836032,604.9749220048267,490.441195462093
30,1,log_sigma_z,-1.0498221244986778,-0.9967385,-2.2151365,0.2521001499999998,0.05308362449867787,0.05308362449867787,2.46723665,TRUE,1.0030088928611467,834.2845503309672,506.0748891789149
30,2,log_lambda1,-1.8325814637483102,-1.8731499999999999,-3.328071,-0.5202314500000024,-0.04056853625168966,0.04056853625168966,2.8078395499999975,TRUE,1.0038026643687337,785.5123973150671,813.6674094535291
30,2,log_lambda_I,-1.8325814637483102,-1.844585,-3.4586675,-0.4836577,-0.012003536251689706,0.012003536251689706,2.9750097999999996,TRUE,1.0005893977851223,841.9956367305882,660.5525474999182
30,2,log_r,-1.3093333199837622,-1.418255,-2.5650155,-0.34308925000000007,-0.10892168001623781,0.10892168001623781,2.2219262499999997,TRUE,1.009149399682769,739.342477907584,516.8893770811952
30,2,log_d,-0.4780358009429998,-0.271073,-0.93733165,0.8968275999999996,0.2069628009429998,0.2069628009429998,1.8341592499999995,TRUE,1.009255017412266,496.75877254351934,281.9234869902272
30,2,m,3.5,3.66074,1.5620925,5.6703675,0.1607400000000001,0.1607400000000001,4.108275,TRUE,1.012471365929114,574.4088267874859,369.80488248560926
30,2,log_kappa,0.04879016416943205,0.027135100000000002,-1.0440494999999999,1.6806459999999996,-0.021655064169432046,0.021655064169432046,2.7246954999999993,TRUE,1.0111060676114052,400.5360198585787,438.0725166453522
30,2,log_sigma_z,-1.0498221244986778,-0.980669,-2.3111589999999995,0.18491374999999996,0.06915312449867783,0.06915312449867783,2.4960727499999993,TRUE,1.003992401597833,818.8506966793315,495.73041866459363
30,3,log_lambda1,-1.8325814637483102,-1.961315,-3.543197,-0.2585761000000008,-0.1287335362516897,0.1287335362516897,3.2846208999999993,TRUE,1.0024846573762813,927.1476266367881,532.8431178190028
30,3,log_lambda_I,-1.8325814637483102,-1.96998,-3.4308035,-0.6987898000000001,-0.13739853625168985,0.13739853625168985,2.7320137,TRUE,1.0016251457642023,842.55846329374,757.3626779720189
30,3,log_r,-1.3093333199837622,-1.48944,-2.657685,-0.3713186000000002,-0.18010668001623786,0.18010668001623786,2.2863663999999995,TRUE,1.0039716297832253,641.3965503043321,579.8721597517716
30,3,log_d,-0.4780358009429998,-0.7375175,-1.2807315,0.23712114999999986,-0.25948169905700025,0.25948169905700025,1.5178526499999998,TRUE,1.0009812464535024,775.788658921183,532.626102947903
30,3,m,3.5,3.480905,1.408149,5.474128,-0.019095000000000084,0.019095000000000084,4.0659790000000005,TRUE,1.0055272856335418,573.904534469307,462.09274628542266
30,3,log_kappa,0.04879016416943205,-0.0115914,-1.251285,1.581984,-0.06038156416943205,0.06038156416943205,2.833269,TRUE,1.0029610499586714,659.051079233355,587.1693172548
30,3,log_sigma_z,-1.0498221244986778,-1.009385,-2.282541,0.1803200499999994,0.04043712449867787,0.04043712449867787,2.4628610499999994,TRUE,1.0031782432859095,737.0404713775033,645.0194404080879
30,4,log_lambda1,-1.8325814637483102,-1.6383200000000002,-3.351173,-0.034160220000000276,0.19426146374831,0.19426146374831,3.3170127799999998,TRUE,1.010305999401677,1061.2749651242355,674.614871755163
30,4,log_lambda_I,-1.8325814637483102,-2.1716249999999997,-3.7447345000000003,-0.76152855,-0.3390435362516895,0.3390435362516895,2.9832059500000003,TRUE,1.013045216070446,879.8522520143742,586.4801217866959
30,4,log_r,-1.3093333199837622,-1.445545,-2.6159925,-0.35740015000000025,-0.13621168001623785,0.13621168001623785,2.25859235,TRUE,1.0098463795279293,792.211409393941,630.8697782019716
30,4,log_d,-0.4780358009429998,-0.20961449999999998,-0.810738,0.8423224999999999,0.2684213009429998,0.2684213009429998,1.6530604999999998,TRUE,1.008298853007929,586.2822030864053,377.15236106783095
30,4,m,3.5,3.094105,1.1390414999999998,4.936666,-0.4058950000000001,0.4058950000000001,3.7976245,TRUE,1.0106076387746628,313.64576613766513,228.44388708495944
30,4,log_kappa,0.04879016416943205,0.05591525,-0.9283383,1.4961949999999997,0.007125085830567951,0.007125085830567951,2.4245333,TRUE,1.0117186329477328,447.0158512313639,453.79930607486796
30,4,log_sigma_z,-1.0498221244986778,-1.0261550000000002,-2.335979,0.30280814999999983,0.023667124498677694,0.023667124498677694,2.6387871499999997,TRUE,1.004484468815257,794.3593645540816,421.3474593273498
30,5,log_lambda1,-1.8325814637483102,-1.96589,-3.3794619999999997,-0.5503196500000003,-0.1333085362516897,0.1333085362516897,2.8291423499999997,TRUE,1.002563342071976,840.939699014319,683.9973857083962
30,5,log_lambda_I,-1.8325814637483102,-1.892765,-3.474963,-0.5922212000000012,-0.06018353625168982,0.06018353625168982,2.8827417999999985,TRUE,1.0042780480176954,818.2834300111759,811.4590600729983
30,5,log_r,-1.3093333199837622,-1.464665,-2.5958555,-0.36148290000000016,-0.15533168001623787,0.15533168001623787,2.2343725999999995,TRUE,1.0070415092147311,682.7661155351217,586.3507635099633
30,5,log_d,-0.4780358009429998,-0.298753,-0.94297475,0.7677162499999998,0.1792828009429998,0.1792828009429998,1.7106909999999997,TRUE,0.9993774680834414,740.7639472603006,269.4727238177555
30,5,m,3.5,3.750675,1.6079729999999999,5.645364999999998,0.2506750000000002,0.2506750000000002,4.037391999999999,TRUE,1.0082001365184607,728.1804180072336,535.6324704576359
30,5,log_kappa,0.04879016416943205,-0.10035,-1.0982185,1.5824719999999999,-0.14914016416943204,0.14914016416943204,2.6806905,TRUE,1.0180120855178378,507.45039312616603,309.66320863326183
30,5,log_sigma_z,-1.0498221244986778,-1.03172,-2.253219,0.29653469999999976,0.018102124498677874,0.018102124498677874,2.5497536999999997,TRUE,1.0012734115555517,696.3486247491963,570.5119672445937
30,6,log_lambda1,-1.8325814637483102,-1.4901200000000001,-3.081698,0.0684361349999992,0.3424614637483101,0.3424614637483101,3.150134134999999,TRUE,1.0018924211696212,976.4964461941291,661.1638022371175
