n_pairs,n_successful_fits,failure_rate,median_bias_mean_gen,median_abs_error_mean_gen,rmse_mean_gen,median_ci_width_mean_gen,coverage_mean_gen,median_bias_sd_gen,median_abs_error_sd_gen,rmse_sd_gen,median_ci_width_sd_gen,coverage_sd_gen,convergence_ok_rate,median_min_ess_bulk,median_min_ess_tail
30,100,0,0.04816342022153419,0.3165184202215343,0.5024804459927799,1.9297682499999995,0.94,5.105260037074899e-5,0.17979750000000005,0.29560981417881915,1.5430949999999999,1,1,492.3554585683612,313.5636241602713
50,100,0,-0.010521579778465906,0.2749759202215345,0.4149063256559887,1.5645064999999998,0.94,0.03361105260037078,0.1931339473996294,0.29249791635594835,1.3054655,0.96,1,480.1287264036866,321.3838881344815
100,100,0,0.0264709202215343,0.20698999999999934,0.3433351136466445,1.1342832499999997,0.9,-0.025051447399629057,0.20811000000000002,0.30775616391418703,1.0066145,0.91,1,414.8911861763936,317.9396681723504
