n_pairs,variable,n_successful_fits,true_value,median_bias,median_abs_error,rmse,median_interval_width,coverage,median_rhat,median_ess_bulk,median_ess_tail
30,log_d,100,-0.4780358009429998,0.1317883009429998,0.1786075,0.2436479494012417,1.6152717749999992,1,1.0053445782453911,585.8543321312859,425.71616665427734
30,log_kappa,100,0.04879016416943205,-0.01873841416943205,0.1039697,0.17856037711850714,2.5968355,1,1.0062496392072913,556.0917145667042,431.9899396768245
30,log_lambda1,100,-1.8325814637483102,-0.03300603625168985,0.17399749999999992,0.24325637110494494,3.0967725999999995,1,1.0037631695118938,797.8271321795562,605.0243175468057
30,log_lambda_I,100,-1.8325814637483102,-0.10330353625168975,0.2582850000000001,0.31420995741592767,2.9117771249999986,1,1.0034437055717726,793.6701295191538,660.9180707589734
30,log_r,100,-1.3093333199837622,-0.12663918001623786,0.13922250000000003,0.17361794594366378,2.2736365499999995,1,1.0043861207920668,785.6953149118018,613.4538980791674
30,log_sigma_z,100,-1.0498221244986778,0.014597124498677894,0.024407500000000026,0.04309063106882817,2.4478101249999993,1,1.0044451815365458,837.2365596559796,502.3368862260433
30,m,100,3.5,0.08169500000000007,0.34591499999999975,0.5382066675978198,3.8267999999999995,1,1.0050474452979878,617.0694226948037,447.78530708307596
50,log_d,100,-0.4780358009429998,0.07096830094299983,0.1849483009429998,0.2590988257974604,1.4708088499999996,0.98,1.0064205539724045,581.9438471340277,438.2194332298251
50,log_kappa,100,0.04879016416943205,0.029299685830567954,0.1484202,0.21124930878510528,2.559518999999999,1,1.0061858512600172,496.5953325421129,416.7010553312004
50,log_lambda1,100,-1.8325814637483102,0.05191646374831016,0.14620500000000003,0.25952871598300237,3.0626691499999996,1,1.0040178116857041,744.9633523346952,587.2417972980854
50,log_lambda_I,100,-1.8325814637483102,-0.15848103625168974,0.2609035362516896,0.33347194815597453,2.85188475,1,1.0045055445811855,714.6024324392283,613.3369095499747
50,log_r,100,-1.3093333199837622,-0.1432391800162378,0.15359918001623774,0.18720008213723408,2.231195275,1,1.0042560739096102,751.2792173407056,623.50006140545
50,log_sigma_z,100,-1.0498221244986778,0.01730962449867779,0.028477499999999933,0.0475604225061334,2.4857103249999994,1,1.0048073751303326,795.509341413362,528.2950281186129
50,m,100,3.5,-0.10248250000000003,0.37612749999999995,0.5128143026581357,3.59113525,1,1.005013790967574,592.051578255632,413.5007790300105
100,log_d,100,-0.4780358009429998,0.1268870509429998,0.2035628009429998,0.3059057160073405,1.2790965749999992,0.93,1.006257581494971,549.5405560855261,381.3731620396139
100,log_kappa,100,0.04879016416943205,-0.033088639169432055,0.14401918916943204,0.21185576556125446,2.473836274999999,1,1.0075674360913438,464.3745886668118,403.4028043854951
100,log_lambda1,100,-1.8325814637483102,-0.033268536251689795,0.12344896374831016,0.17965683957386175,2.961742299999999,1,1.0044979127055824,674.1399690701871,599.7127496365772
100,log_lambda_I,100,-1.8325814637483102,-0.1814860362516897,0.27451749999999997,0.3656177870368498,2.7306076,1,1.0036938898144503,649.1415118437507,610.8945882105688
100,log_r,100,-1.3093333199837622,-0.15794168001623787,0.16549918001623776,0.18522969728580146,2.2360470249999995,1,1.0047287696232967,662.0942085869126,598.36436675125606
100,log_sigma_z,100,-1.0498221244986778,0.02712962449867784,0.03337212449867777,0.06047380022210461,2.4739284999999995,1,1.0053142030879605,810.9195097328683,515.8712996042718
100,m,100,3.5,0.11498249999999999,0.2964199999999999,0.443356272687666,3.3493382500000006,1,1.0052812392764214,528.9355105017228,444.90343532451794
