n_pairs,n_successful_fits,median_abs_error_mean_gen,rmse_mean_gen,median_ci_width_mean_gen,coverage_mean_gen,median_abs_error_sd_gen,rmse_sd_gen,median_ci_width_sd_gen,coverage_sd_gen,convergence_ok_rate
30,100,0.3165184202215343,0.5024804459927799,1.9297682499999995,0.94,0.17979750000000003,0.29560981417881915,1.543095,1,1
50,100,0.2749759202215345,0.4149063256559887,1.5645064999999998,0.94,0.1931339473996294,0.29249791635594835,1.3054655,0.96,1
100,100,0.20698999999999937,0.3433351136466445,1.1342832499999995,0.9,0.20811,0.30775616391418703,1.0066145,0.91,1
