n_pairs,quantity,n_replicates,true_value,median_posterior_median,q25_posterior_median,q75_posterior_median,median_bias,mean_bias,median_abs_error,q75_abs_error,q90_abs_error,rmse,proportion_within_0.5_days,proportion_within_1_day,median_interval_width,coverage
30,Generation-time mean,100,5.060354079778466,5.1085175,4.8254175,5.5077300000000005,0.04816342022153419,0.10087052022153414,0.3165184202215343,0.5624659202215341,0.861526763822772,0.5024804459927799,0.67,0.96,1.9297682499999995,0.94
30,Generation-time SD,100,2.427456447399629,2.4275075,2.2631375,2.6357525,5.105260037074899e-5,0.026493052600370815,0.17979750000000005,0.3212160526003709,0.477384552600371,0.29560981417881915,0.91,1,1.5430949999999999,1
50,Generation-time mean,100,5.060354079778466,5.0498325,4.8039862499999995,5.335052500000001,-0.010521579778465906,0.005712320221534153,0.2749759202215345,0.5420459202215338,0.6549179202215346,0.41490632565598873,0.72,0.99,1.5645065,0.94
50,Generation-time SD,100,2.427456447399629,2.4610675,2.27662,2.66772875,0.03361105260037078,0.038744252600370815,0.1931339473996294,0.3451142763001852,0.5019616579197033,0.29249791635594835,0.89,1,1.3054655000000002,0.96
100,Generation-time mean,100,5.060354079778466,5.086825,4.87022,5.315112500000001,0.0264709202215343,0.02478607022153409,0.20698999999999934,0.4181846702215344,0.5807405797784659,0.3433351136466445,0.83,1,1.1342832499999997,0.9
100,Generation-time SD,100,2.427456447399629,2.402405,2.2182412499999997,2.6056299999999997,-0.025051447399629057,-0.005093797399629203,0.20811000000000002,0.3072276973996292,0.48486784208029665,0.3077561639141871,0.92,0.99,1.0066145,0.91
