n_pairs,quantity,n_successful,true_value,mean_estimate,median_estimate,estimate_lower_95,estimate_upper_95,bias,median_bias,mae,median_absolute_error,rmse,median_90_interval_width,coverage,coverage_lower_95,coverage_upper_95
30,Generation-time SD,100,2.427456447399629,2.4539495,2.4275075,1.9843445,3.1163207499999994,0.02649305260037081,5.105260037074899e-5,0.22983059999999997,0.17979750000000003,0.29560981417881915,1.543095,1,0.9637833073548235,1
50,Generation-time SD,100,2.427456447399629,2.4662007,2.4610675,1.8715505000000001,2.99370625,0.03874425260037081,0.03361105260037078,0.22918256841605933,0.1931339473996294,0.29249791635594835,1.3054655,0.96,0.9007428432873401,0.9889955060138118
100,Generation-time SD,100,2.427456447399629,2.42236265,2.402405,1.9022890000000001,3.1479297499999994,-0.005093797399629192,-0.02505144739962905,0.2393797236879555,0.20811000000000002,0.30775616391418703,1.0066145,0.91,0.8360177449703649,0.9580164043716077
30,Generation-time mean,100,5.060354079778466,5.1612246,5.1085175,4.19243625,6.171822875,0.10087052022153414,0.04816342022153419,0.3960316104265841,0.3165184202215343,0.5024804459927799,1.9297682499999995,0.94,0.873970065419177,0.9776651139286836
50,Generation-time mean,100,5.060354079778466,5.0660664,5.0498325,4.38038525,5.874201874999998,0.005712320221534158,-0.010521579778465899,0.3305374815955693,0.2749759202215345,0.4149063256559887,1.5645064999999998,0.94,0.873970065419177,0.9776651139286836
100,Generation-time mean,100,5.060354079778466,5.08514015,5.086825,4.464358875,5.797855125,0.02478607022153409,0.026470920221534296,0.27204706840443066,0.20698999999999934,0.3433351136466445,1.1342832499999997,0.9,0.8237774022599773,0.9509953107785141
