n_pairs,quantity_short,true_value,median_posterior_median,median_abs_error,q90_abs_error,proportion_within_0.5_days,proportion_within_1_day,median_interval_width,coverage
30,mean,5.060354079778466,5.1085175,0.3165184202215343,0.861526763822772,0.67,0.96,1.9297682499999995,0.94
50,mean,5.060354079778466,5.0498325,0.2749759202215345,0.6549179202215346,0.72,0.99,1.5645065,0.94
100,mean,5.060354079778466,5.086825,0.20698999999999934,0.5807405797784659,0.83,1,1.1342832499999997,0.9
30,sd,2.427456447399629,2.4275075,0.17979750000000005,0.477384552600371,0.91,1,1.5430949999999999,1
50,sd,2.427456447399629,2.4610675,0.1931339473996294,0.5019616579197033,0.89,1,1.3054655000000002,0.96
100,sd,2.427456447399629,2.402405,0.20811000000000002,0.48486784208029665,0.92,0.99,1.0066145,0.91
