n_pairs,rep_id,true_mean_gen,true_sd_gen,mean_gen_median,mean_gen_q05,mean_gen_q95,mean_gen_error,mean_gen_abs_error,mean_gen_ci_width,mean_gen_covered,sd_gen_median,sd_gen_q05,sd_gen_q95,sd_gen_error,sd_gen_abs_error,sd_gen_ci_width,sd_gen_covered,max_rhat,min_ess_bulk,min_ess_tail,n_divergent
30,1,5.060354079778466,2.427456447399629,5.796115,4.7392639999999995,6.936543999999998,0.7357609202215345,0.7357609202215345,2.1972799999999983,TRUE,2.748285,2.0717445,3.849166,0.3208285526003709,0.3208285526003709,1.7774215,TRUE,1.0223258294313757,604.9749220048267,426.0081879082031,0
30,2,5.060354079778466,2.427456447399629,5.06154,4.248544000000001,6.050526,0.0011859202215340758,0.0011859202215340758,1.8019819999999989,TRUE,2.319155,1.751621,3.2639424999999997,-0.10830144739962932,0.10830144739962932,1.5123214999999997,TRUE,1.012471365929114,400.5360198585787,281.9234869902272,0
30,3,5.060354079778466,2.427456447399629,5.886505,4.8189554999999995,7.115786,0.8261509202215338,0.8261509202215338,2.2968305000000004,TRUE,3.060955,2.3323080000000003,4.1546389999999995,0.6334985526003707,0.6334985526003707,1.8223309999999993,TRUE,1.0055272856335418,573.904534469307,462.09274628542266,0
30,4,5.060354079778466,2.427456447399629,4.41628,3.6225845000000003,5.494519999999999,-0.6440740797784654,0.6440740797784654,1.8719354999999984,TRUE,2.138355,1.6481685,2.9742549999999994,-0.2891014473996294,0.2891014473996294,1.3260864999999995,TRUE,1.013045216070446,313.64576613766513,228.44388708495944,0
30,5,5.060354079778466,2.427456447399629,5.323205,4.495189999999999,6.370647999999999,0.2628509202215339,0.2628509202215339,1.875458,TRUE,2.4334100000000003,1.875655,3.3645525,0.005953552600371115,0.005953552600371115,1.4888974999999998,TRUE,1.0180120855178378,507.45039312616603,269.4727238177555,0
30,6,5.060354079778466,2.427456447399629,4.71552,3.833506,5.711455499999999,-0.34483407977846614,0.34483407977846614,1.8779494999999988,TRUE,2.2895700000000003,1.797029,3.0930585,-0.13788644739962885,0.13788644739962885,1.2960295000000002,TRUE,1.0089132825559675,709.6882681391805,433.1426387433932,0
30,7,5.060354079778466,2.427456447399629,5.375,4.4878965,6.3910435,0.31464592022153415,0.31464592022153415,1.9031470000000006,TRUE,2.54791,1.9292289999999999,3.6245075,0.12045355260037072,0.12045355260037072,1.6952785000000001,TRUE,1.0178379911892637,466.52225332965935,360.4460148621162,0
30,8,5.060354079778466,2.427456447399629,4.67398,3.7861795000000003,5.710255,-0.3863740797784656,0.3863740797784656,1.9240754999999998,TRUE,2.3521650000000003,1.8560325,3.2116710000000004,-0.0752914473996289,0.0752914473996289,1.3556385000000004,TRUE,1.0102305847006146,453.44646578756675,345.4656136180093,0
30,9,5.060354079778466,2.427456447399629,4.87731,3.9070910000000003,6.0109315,-0.18304407977846626,0.18304407977846626,2.1038404999999996,TRUE,2.7700750000000003,2.033804,3.9416049999999996,0.3426185526003711,0.3426185526003711,1.9078009999999996,TRUE,1.015216303185887,349.89077574147154,231.1824919415471,0
30,10,5.060354079778466,2.427456447399629,4.759264999999999,3.9469274999999997,5.7320015,-0.30108907977846666,0.30108907977846666,1.7850740000000003,TRUE,2.14217,1.6040895000000002,2.954695,-0.28528644739962905,0.28528644739962905,1.3506055,TRUE,1.0077852009458923,579.0866209561824,443.09936487165277,0
30,11,5.060354079778466,2.427456447399629,5.378745,4.506741000000001,6.420964,0.3183909202215345,0.3183909202215345,1.914222999999999,TRUE,2.481585,1.8942225,3.5264894999999994,0.05412855260037075,0.05412855260037075,1.6322669999999995,TRUE,1.018707035304445,634.0716016215341,534.5351877716732,0
30,12,5.060354079778466,2.427456447399629,5.8699650000000005,4.770664,7.0697205,0.8096109202215347,0.8096109202215347,2.2990565,TRUE,2.77348,2.0249125,3.8645669999999996,0.346023552600371,0.346023552600371,1.8396544999999995,TRUE,1.0104200434312676,437.8387972501893,250.22946402536033,0
30,13,5.060354079778466,2.427456447399629,5.790635,4.8776325,6.854361,0.7302809202215341,0.7302809202215341,1.9767285000000001,TRUE,2.54656,1.8684605,3.5436609999999997,0.11910355260037075,0.11910355260037075,1.6752004999999996,TRUE,1.008017632620727,500.4732973098954,344.3238079471686,0
30,14,5.060354079778466,2.427456447399629,5.09079,4.265767,6.0218799999999995,0.030435920221534296,0.030435920221534296,1.7561129999999991,TRUE,2.266,1.7476225,3.151643499999999,-0.16145644739962917,0.16145644739962917,1.404020999999999,TRUE,1.0095271604057412,520.4824892269465,315.0887725620224,0
30,15,5.060354079778466,2.427456447399629,4.9491,3.9448285,6.1845365,-0.11125407977846624,0.11125407977846624,2.2397080000000003,TRUE,2.69665,2.0901785,3.7194034999999994,0.2691935526003708,0.2691935526003708,1.6292249999999995,TRUE,1.016951770682189,482.2902273081194,346.0099819319602,0
30,16,5.060354079778466,2.427456447399629,4.9788,4.2280295,5.892966499999999,-0.08155407977846618,0.08155407977846618,1.6649369999999992,TRUE,1.996745,1.4594299999999998,2.77806,-0.4307114473996292,0.4307114473996292,1.3186300000000002,TRUE,1.0084670317874926,577.7073239242937,368.0441240689357,0
