n_pairs,natural_variable,n_successful_fits,true_value,median_bias,median_abs_error,rmse,median_interval_width,coverage,median_rhat,median_ess_bulk,median_ess_tail
30,d,100,0.62,0.08734155546397138,0.11927800558958579,0.17455368489780132,1.5212556238447366,1,1.0053445782453911,585.8543321312859,425.71616665427734
30,kappa,100,1.05,-0.019490924115489805,0.10938243048559154,0.20385553298358744,4.390864784609522,1,1.0062496392072913,556.0917145667042,431.9899396768245
30,lambda1,100,0.15999999999999998,-0.0051947578291137025,0.027368008980918415,0.046575154935262854,0.6773990701172468,1,1.0037631695118938,797.8271321795562,605.0243175468057
30,lambda_I,100,0.15999999999999998,-0.015703487643424843,0.0385532653196093,0.05407913914712338,0.5188416713638755,1,1.0034437055717726,793.6701295191538,660.9180707589734
30,m,100,3.5,0.08169500000000007,0.34591499999999975,0.5382066675978198,3.8267999999999995,1,1.0050474452979878,617.0694226948037,447.78530708307596
30,r,100,0.27,-0.03211607498404617,0.035285429903355536,0.043989150707730795,0.6357629655265974,1,1.0043861207920668,785.6953149118018,613.4538980791674
30,sigma_z,100,0.3499999999999999,0.0051464691121033135,0.008520036867406433,0.015449373798689908,1.0952074308208322,1,1.0044451815365458,837.2365596559796,502.3368862260433
50,d,100,0.62,0.045599376879052134,0.11555199348652118,0.19505530856791148,1.3040977016191317,0.98,1.0064205539724045,581.9438471340277,438.2194332298251
50,kappa,100,1.05,0.031221228135959733,0.15558309020193128,0.23571910803915772,4.49660275367785,1,1.0061858512600172,496.5953325421129,416.7010553312004
50,lambda1,100,0.15999999999999998,0.008526147775861914,0.023089769271420715,0.05203689999350146,0.6720750175758579,1,1.0040178116857041,744.9633523346952,587.2417972980854
50,lambda_I,100,0.15999999999999998,-0.023449495642834342,0.03807212757293435,0.0545649293359867,0.4590521296545887,1,1.0045055445811855,714.6024324392283,613.3369095499747
50,m,100,3.5,-0.10248250000000003,0.37612749999999995,0.5128143026581357,3.59113525,1,1.005013790967574,592.051578255632,413.5007790300105
50,r,100,0.27,-0.03603193609991448,0.03844365218197282,0.046265449999507165,0.6252167686259757,1,1.0042560739096102,751.2792173407056,623.50006140545
50,sigma_z,100,0.3499999999999999,0.006111142125437313,0.009976396564805978,0.017109483755620967,1.1422203807448101,1,1.0048073751303326,795.509341413362,528.2950281186129
100,d,100,0.62,0.08388944297593659,0.13284276822257315,0.23439056202174702,1.1317186121583704,0.93,1.006257581494971,549.5405560855261,381.3731620396139
100,kappa,100,1.05,-0.03417410440684521,0.1509677523106066,0.23570614840469212,4.115265920282194,1,1.0075674360913438,464.3745886668118,403.4028043854951
100,lambda1,100,0.15999999999999998,-0.005235394436397062,0.019828302836811043,0.03090730120256121,0.5900034902591044,1,1.0044979127055824,674.1399690701871,599.7127496365772
100,lambda_I,100,0.15999999999999998,-0.026553540961078134,0.03901031669801858,0.07825589393473115,0.41379311511342715,1,1.0036938898144503,649.1415118437507,610.8945882105688
100,m,100,3.5,0.11498249999999999,0.2964199999999999,0.443356272687666,3.3493382500000006,1,1.0052812392764214,528.9355105017228,444.90343532451794
100,r,100,0.27,-0.03944689069432933,0.04118284331970061,0.044895071996661005,0.6161172746439078,1,1.0047287696232967,662.0942085869126,598.36436675125606
100,sigma_z,100,0.3499999999999999,0.009625348382769877,0.01187737697193647,0.022336823167863496,1.1389591771568797,1,1.0053142030879605,810.9195097328683,515.8712996042718
