n_pairs,rep_id,variable,true_value,median,q5,q95,error,abs_error,interval_width,covered,rhat,ess_bulk,ess_tail,natural_variable,natural_true,natural_median,natural_q5,natural_q95,natural_error,natural_abs_error,natural_interval_width,natural_covered
30,1,log_lambda1,-1.8325814637483102,-2.0166250000000003,-3.633655,-0.50640655,-0.18404353625169012,0.18404353625169012,3.12724845,TRUE,1.0013874382462038,763.3028650106706,783.0824344443332,lambda1,0.15999999999999998,0.1331039336397668,0.026419444654476577,0.6026573113626827,-0.026896066360233173,0.026896066360233173,0.5762378667082062,TRUE
30,1,log_lambda_I,-1.8325814637483102,-1.844585,-3.5484175000000002,-0.3919051500000008,-0.012003536251689706,0.012003536251689706,3.1565123499999994,TRUE,1.0018105595413593,783.7898429523693,687.8085553784431,lambda_I,0.15999999999999998,0.15809091500765507,0.02877013238312001,0.6757682075354244,-0.001909084992344906,0.001909084992344906,0.6469980751523045,TRUE
30,1,log_r,-1.3093333199837622,-1.40184,-2.6234290000000002,-0.2680647500000003,-0.09250668001623774,0.09250668001623774,2.35536425,TRUE,1.0070528597396253,769.4856697469979,448.5322428604041,r,0.27,0.24614364271138275,0.07255364933152753,0.7648582549274646,-0.023856357288617264,0.023856357288617264,0.6923046055959371,TRUE
30,1,log_d,-0.4780358009429998,-0.5623165,-1.15447,0.3531387499999987,-0.0842806990570002,0.0842806990570002,1.5076087499999988,TRUE,1.0028360123649342,665.0102334123471,549.2248551107615,d,0.62,0.5698873894727828,0.3152245616556217,1.4235286443310593,-0.05011261052721716,0.05011261052721716,1.1083040826754376,TRUE
30,1,m,3.5,3.937145,1.7771975000000002,5.8641175,0.4371450000000001,0.4371450000000001,4.086919999999999,TRUE,1.0223258294313757,792.4712848618209,426.0081879082031,m,3.5,3.937145,1.7771975000000002,5.8641175,0.4371450000000001,0.4371450000000001,4.086919999999999,TRUE
30,1,log_kappa,0.04879016416943205,0.022873499999999998,-1.0572725,1.7031044999999998,-0.02591666416943205,0.02591666416943205,2.760377,TRUE,1.014640365836032,604.9749220048267,490.441195462093,kappa,1.05,1.023137104516903,0.3474020584119392,5.490967667457816,-0.02686289548309695,0.02686289548309695,5.143565609045877,TRUE
30,1,log_sigma_z,-1.0498221244986778,-0.9967385,-2.2151365,0.2521001499999998,0.05308362449867787,0.05308362449867787,2.46723665,TRUE,1.0030088928611467,834.2845503309672,506.0748891789149,sigma_z,0.3499999999999999,0.3690812387348681,0.10913861581061066,1.2867248963304834,0.019081238734868167,0.019081238734868167,1.1775862805198727,TRUE
30,2,log_lambda1,-1.8325814637483102,-1.8731499999999999,-3.328071,-0.5202314500000024,-0.04056853625168966,0.04056853625168966,2.8078395499999975,TRUE,1.0038026643687337,785.5123973150671,813.6674094535291,lambda1,0.15999999999999998,0.1536389361241845,0.03586221660397702,0.5943829621121028,-0.006361063875815476,0.006361063875815476,0.5585207455081258,TRUE
30,2,log_lambda_I,-1.8325814637483102,-1.844585,-3.4586675,-0.4836577,-0.012003536251689706,0.012003536251689706,2.9750097999999996,TRUE,1.0005893977851223,841.9956367305882,660.5525474999182,lambda_I,0.15999999999999998,0.15809091500765507,0.031471670091309946,0.6165242020319145,-0.001909084992344906,0.001909084992344906,0.5850525319406046,TRUE
30,2,log_r,-1.3093333199837622,-1.418255,-2.5650155,-0.34308925000000007,-0.10892168001623781,0.10892168001623781,2.2219262499999997,TRUE,1.009149399682769,739.342477907584,516.8893770811952,r,0.27,0.242136176083288,0.07691798920376203,0.7095748791760765,-0.02786382391671202,0.02786382391671202,0.6326568899723145,TRUE
30,2,log_d,-0.4780358009429998,-0.271073,-0.93733165,0.8968275999999996,0.2069628009429998,0.2069628009429998,1.8341592499999995,TRUE,1.009255017412266,496.75877254351934,281.9234869902272,d,0.62,0.76256082743277,0.39167155903375045,2.4518126300419536,0.14256082743277,0.14256082743277,2.060141071008203,TRUE
