strain_label,strain,model,mean_gen_median,mean_gen_mean,mean_gen_q025,mean_gen_q975,sd_gen_median,sd_gen_mean,sd_gen_q025,sd_gen_q975,n_draws
Delta,non-SGTF,Censored WH-informed,3.7570249999999996,3.758766635,3.6176407499999996,3.9017275,2.106835,2.098629015,1.8424492499999998,2.32265725,2000
Delta,non-SGTF,Lognormal,3.8504388,3.85045148145,3.7103206849999997,3.9881458125,2.1572116,2.1593644932,1.7990871775000001,2.5392439999999996,2000
Delta,non-SGTF,WH-informed,3.991825,3.9949072,3.82860325,4.1670905000000005,2.22052,2.22387812,2.04044925,2.42583525,2000
Omicron,SGTF,Censored WH-informed,3.001575,3.00486345,2.82104875,3.18106425,1.81608,1.814160735,1.58928275,2.038801,2000
Omicron,SGTF,Lognormal,2.96883055,2.96860828905,2.732094745,3.2207060599999995,1.4806829499999998,1.49407824509,1.0041166400000001,2.0834146574999988,2000
Omicron,SGTF,WH-informed,3.12404,3.121006615,2.8535477499999997,3.3903707499999998,1.8872399999999998,1.88554566,1.6472864999999999,2.1245510000000003,2000
