model,strain,mean_gen,sd_gen,strain_label
Lognormal,SGTF,2.74684,0.92576453,Omicron
Lognormal,SGTF,2.7649057,0.67878929,Omicron
Lognormal,SGTF,2.6303189,0.72110592,Omicron
Lognormal,SGTF,3.1971801,2.20801,Omicron
Lognormal,SGTF,3.1180265,1.6747884,Omicron
Lognormal,SGTF,2.9724118,1.5343803,Omicron
Lognormal,SGTF,3.0872056,1.8011817,Omicron
Lognormal,SGTF,2.9740673,1.4450408,Omicron
Lognormal,SGTF,3.1155653,1.8952897,Omicron
Lognormal,SGTF,2.9788772,1.5241425,Omicron
Lognormal,SGTF,2.9015804,1.4305601,Omicron
Lognormal,SGTF,2.8578948,1.0813131,Omicron
Lognormal,SGTF,3.0226326,1.3455536,Omicron
Lognormal,SGTF,3.0304863,1.4207099,Omicron
Lognormal,SGTF,2.8301362,1.4747212,Omicron
Lognormal,SGTF,3.0353228,1.5772433,Omicron
Lognormal,SGTF,2.9359385,1.6541981,Omicron
Lognormal,SGTF,2.7738396,1.3076314,Omicron
Lognormal,SGTF,2.8301893,1.313009,Omicron
Lognormal,SGTF,3.1474931,1.5941731,Omicron
Lognormal,SGTF,3.134205,1.5240711,Omicron
Lognormal,SGTF,2.9388391,1.2030248,Omicron
Lognormal,SGTF,2.9308521,1.0070267,Omicron
Lognormal,SGTF,2.9430663,0.99969174,Omicron
Lognormal,SGTF,2.9723361,1.6875464,Omicron
Lognormal,SGTF,3.0187538,1.6655563,Omicron
Lognormal,SGTF,3.0396958,1.5310821,Omicron
Lognormal,SGTF,2.8040766,1.0956724,Omicron
Lognormal,SGTF,2.7985155,0.734045,Omicron
Lognormal,SGTF,2.9176471,0.93594148,Omicron
Lognormal,SGTF,2.9493172,1.1913707,Omicron
Lognormal,SGTF,2.8145103,1.0757522,Omicron
Lognormal,SGTF,3.1496465,1.9155631,Omicron
Lognormal,SGTF,2.7531117,1.0645485,Omicron
Lognormal,SGTF,2.7379806,1.0969838,Omicron
Lognormal,SGTF,2.8673547,1.1706787,Omicron
Lognormal,SGTF,3.0405867,1.386438,Omicron
Lognormal,SGTF,3.0253721,1.7441372,Omicron
Lognormal,SGTF,3.0482235,1.8926601,Omicron
Lognormal,SGTF,3.0759239,1.9512908,Omicron
Lognormal,SGTF,2.8510958,1.2599732,Omicron
Lognormal,SGTF,3.0547293,1.6256138,Omicron
Lognormal,SGTF,3.0309414,1.5497082,Omicron
Lognormal,SGTF,3.0607209,1.6950828,Omicron
Lognormal,SGTF,3.0469611,1.657232,Omicron
Lognormal,SGTF,3.005313,1.5339238,Omicron
Lognormal,SGTF,2.9829961,1.4395568,Omicron
Lognormal,SGTF,2.8728441,1.517973,Omicron
Lognormal,SGTF,2.8493949,1.5021407,Omicron
Lognormal,SGTF,3.1436456,1.6235607,Omicron
Lognormal,SGTF,3.1352741,1.6456921,Omicron
Lognormal,SGTF,2.6740961,1.0988237,Omicron
Lognormal,SGTF,3.2258665,1.9924977,Omicron
Lognormal,SGTF,2.8917386,1.1956692,Omicron
Lognormal,SGTF,2.7910114,1.2548808,Omicron
Lognormal,SGTF,3.0866588,1.3621075,Omicron
Lognormal,SGTF,3.4202255,2.0831818,Omicron
Lognormal,SGTF,3.0989628,1.379577,Omicron
Lognormal,SGTF,3.2628345,1.7546135,Omicron
Lognormal,SGTF,3.1416818,1.4981613,Omicron
Lognormal,SGTF,2.6857431,1.1294959,Omicron
Lognormal,SGTF,2.7249918,1.1621296,Omicron
Lognormal,SGTF,3.2740066,2.480461,Omicron
Lognormal,SGTF,2.9248628,1.3659616,Omicron
Lognormal,SGTF,2.7296874,1.2892145,Omicron
Lognormal,SGTF,2.8419128,1.3334733,Omicron
Lognormal,SGTF,2.8919467,1.2105378,Omicron
Lognormal,SGTF,2.8503832,1.5504831,Omicron
Lognormal,SGTF,2.7969169,1.6357488,Omicron
Lognormal,SGTF,2.81903,1.7252488,Omicron
