prior_scenario,accuracy,strength,natural_variable,n_successful_fits,true_value,median_prior_abs_error,median_posterior_abs_error,median_improvement_over_prior,coverage,median_interval_width
badly_wrong_moderate,badly_wrong,moderate,r,50,0.27,0.1620000000000001,0.12219580937872687,0.03980419062127322,0.98,0.3942751928192217
badly_wrong_moderate,badly_wrong,moderate,sigma_z,50,0.3499999999999999,0.21000000000000002,0.21778815623755093,-0.007788156237550914,1,0.6919189505799941
badly_wrong_strong,badly_wrong,strong,d,50,0.62,0.21699999999999997,0.154214105150479,0.06278589484952096,0,0.18164940941794072
badly_wrong_strong,badly_wrong,strong,kappa,50,1.05,0.8400000000000001,0.8476258155799637,-0.0076258155799636684,0,0.9305284174222573
badly_wrong_strong,badly_wrong,strong,lambda1,50,0.15999999999999998,0.009999999999999981,0.22530487565583687,-0.2153048756558369,0.56,1.103983484002541
badly_wrong_strong,badly_wrong,strong,lambda_I,50,0.15999999999999998,0.009999999999999981,0.04117666633160101,-0.03117666633160103,0.96,0.1919404458265312
badly_wrong_strong,badly_wrong,strong,m,50,3.5,0.9000000000000004,0.8591725000000006,0.040827499999999795,0,0.7425999999999997
badly_wrong_strong,badly_wrong,strong,r,50,0.27,0.1620000000000001,0.16047598599356225,0.0015240140064378405,0,0.20391857204400893
badly_wrong_strong,badly_wrong,strong,sigma_z,50,0.3499999999999999,0.21000000000000002,0.20862269413512036,0.0013773058648796632,0,0.2753587681340929
badly_wrong_weak,badly_wrong,weak,d,50,0.62,0.21699999999999997,0.06682803397694803,0.15017196602305194,0.98,0.6764748764633487
badly_wrong_weak,badly_wrong,weak,kappa,50,1.05,0.8400000000000001,0.644637244375252,0.19536275562474803,1,5.368621048913869
badly_wrong_weak,badly_wrong,weak,lambda1,50,0.15999999999999998,0.009999999999999981,0.024556270009753675,-0.014556270009753694,1,0.7488424862243989
badly_wrong_weak,badly_wrong,weak,lambda_I,50,0.15999999999999998,0.009999999999999981,0.05202601207215544,-0.04202601207215546,1,0.3164215855080886
badly_wrong_weak,badly_wrong,weak,m,50,3.5,0.9000000000000004,0.603415,0.2965850000000003,1,2.6953750000000003
badly_wrong_weak,badly_wrong,weak,r,50,0.27,0.1620000000000001,0.03978921503693035,0.12221078496306974,1,0.6671932045470641
badly_wrong_weak,badly_wrong,weak,sigma_z,50,0.3499999999999999,0.21000000000000002,0.24763056918694365,-0.03763056918694363,1,1.807725691354907
manuscript_default,manuscript_default,default,d,50,0.62,0.020000000000000018,0.12483613521548292,-0.1048361352154829,0.96,1.0817722787804622
manuscript_default,manuscript_default,default,kappa,50,1.05,0.050000000000000044,0.16184336635228552,-0.11184336635228548,1,4.034576413880034
manuscript_default,manuscript_default,default,lambda1,50,0.15999999999999998,0.009999999999999981,0.019288640305626298,-0.009288640305626317,1,0.5527819994086529
manuscript_default,manuscript_default,default,lambda_I,50,0.15999999999999998,0.009999999999999981,0.02593182221894441,-0.01593182221894443,1,0.42519830323201235
manuscript_default,manuscript_default,default,m,50,3.5,0,0.25144999999999995,-0.25144999999999995,1,3.2162972499999993
manuscript_default,manuscript_default,default,r,50,0.27,0.020000000000000018,0.04164920632726733,-0.021649206327267315,1,0.5992713741683479
manuscript_default,manuscript_default,default,sigma_z,50,0.3499999999999999,0,0.008593873484046416,-0.008593873484046416,1,1.1600143642025014
mildly_wrong_moderate,mildly_wrong,moderate,d,50,0.62,0.09299999999999997,0.04249999839072027,0.0505000016092797,0.98,0.377312491512896
mildly_wrong_moderate,mildly_wrong,moderate,kappa,50,1.05,0.26249999999999996,0.2546768755210713,0.007823124478928634,1,1.5128212928375806
mildly_wrong_moderate,mildly_wrong,moderate,lambda1,50,0.15999999999999998,0.009999999999999981,0.028755935569184793,-0.018755935569184812,1,0.5376846930296428
mildly_wrong_moderate,mildly_wrong,moderate,lambda_I,50,0.15999999999999998,0.009999999999999981,0.05121218584449941,-0.04121218584449943,1,0.25269304316772845
mildly_wrong_moderate,mildly_wrong,moderate,m,50,3.5,0.4500000000000002,0.4048449999999999,0.04515500000000028,1,1.6769150000000002
mildly_wrong_moderate,mildly_wrong,moderate,r,50,0.27,0.0675,0.05198996788812893,0.015510032111871075,1,0.3536093453001573
mildly_wrong_moderate,mildly_wrong,moderate,sigma_z,50,0.3499999999999999,0.07,0.07448575487278558,-0.0044857548727855745,1,0.5159973353801696
mildly_wrong_strong,mildly_wrong,strong,d,50,0.62,0.09299999999999997,0.05309864122304164,0.03990135877695833,0.96,0.22453045505247937
mildly_wrong_strong,mildly_wrong,strong,kappa,50,1.05,0.26249999999999996,0.2742758296061678,-0.011775829606167854,0.72,0.6416042982619024
mildly_wrong_strong,mildly_wrong,strong,lambda1,50,0.15999999999999998,0.009999999999999981,0.04507208854768285,-0.035072088547682866,0.94,0.4196942017194546
mildly_wrong_strong,mildly_wrong,strong,lambda_I,50,0.15999999999999998,0.009999999999999981,0.04224738563715123,-0.03224738563715125,0.96,0.21091146962526885
mildly_wrong_strong,mildly_wrong,strong,m,50,3.5,0.4500000000000002,0.4344475000000001,0.01555250000000008,0.16,0.8101999999999994
mildly_wrong_strong,mildly_wrong,strong,r,50,0.27,0.0675,0.06707411576583663,4.258842341633706e-4,0.92,0.16583643153995492
mildly_wrong_strong,mildly_wrong,strong,sigma_z,50,0.3499999999999999,0.07,0.0715756667257694,-0.0015756667257693924,1,0.20998145148981195
mildly_wrong_weak,mildly_wrong,weak,d,50,0.62,0.09299999999999997,0.09629595827173287,-0.0032959582717329017,0.98,0.8609332397522103
mildly_wrong_weak,mildly_wrong,weak,kappa,50,1.05,0.26249999999999996,0.1267267577348406,0.13577324226515936,1,3.519295146886481
mildly_wrong_weak,mildly_wrong,weak,lambda1,50,0.15999999999999998,0.009999999999999981,0.01512657125723807,-0.005126571257238088,1,0.6528102929131776
mildly_wrong_weak,mildly_wrong,weak,lambda_I,50,0.15999999999999998,0.009999999999999981,0.03916745874351064,-0.029167458743510656,1,0.3568966944584594
mildly_wrong_weak,mildly_wrong,weak,m,50,3.5,0.4500000000000002,0.3946749999999999,0.05532500000000029,1,2.86024175
mildly_wrong_weak,mildly_wrong,weak,r,50,0.27,0.0675,0.02329990860358032,0.044200091396419686,1,0.6440607193815998
mildly_wrong_weak,mildly_wrong,weak,sigma_z,50,0.3499999999999999,0.07,0.0897912977764593,-0.0197912977764593,1,1.4214667233862317
