prior_scenario,accuracy,strength,natural_variable,n_successful_fits,true_value,median_prior_abs_error,median_posterior_abs_error,median_improvement_over_prior,coverage,median_interval_width
accurate_moderate,accurate,moderate,d,50,0.62,0,0.058949571143174395,-0.058949571143174395,1,0.4567246476253479
accurate_moderate,accurate,moderate,kappa,50,1.05,0,0.051439970043651195,-0.051439970043651195,1,1.1679014036405952
accurate_moderate,accurate,moderate,lambda1,50,0.15999999999999998,0.009999999999999981,0.036124755413517194,-0.026124755413517213,1,0.3748477168633867
accurate_moderate,accurate,moderate,lambda_I,50,0.15999999999999998,0.009999999999999981,0.03492394694472539,-0.02492394694472541,1,0.2959476683587766
accurate_moderate,accurate,moderate,m,50,3.5,0,0.08105499999999988,-0.08105499999999988,1,1.7020412499999997
accurate_moderate,accurate,moderate,r,50,0.27,0,0.009320697858692079,-0.009320697858692079,1,0.30087593863631723
accurate_moderate,accurate,moderate,sigma_z,50,0.3499999999999999,0,0.003268252049833442,-0.003268252049833442,1,0.43174799072681214
accurate_strong,accurate,strong,d,50,0.62,0,0.02127354246954899,-0.02127354246954899,1,0.24193252852616326
accurate_strong,accurate,strong,kappa,50,1.05,0,0.014957341506734112,-0.014957341506734112,1,0.5090869540117471
accurate_strong,accurate,strong,lambda1,50,0.15999999999999998,0.009999999999999981,0.04189012028491477,-0.03189012028491479,1,0.2672606996586352
accurate_strong,accurate,strong,lambda_I,50,0.15999999999999998,0.009999999999999981,0.04183552432521621,-0.031835524325216226,1,0.24562511757877042
accurate_strong,accurate,strong,m,50,3.5,0,0.020585000000000075,-0.020585000000000075,1,0.7793759999999996
accurate_strong,accurate,strong,r,50,0.27,0,0.0022851620897435254,-0.0022851620897435254,1,0.13113839536420643
accurate_strong,accurate,strong,sigma_z,50,0.3499999999999999,0,0.0016135788781359572,-0.0016135788781359572,1,0.17421027088561525
accurate_weak,accurate,weak,d,50,0.62,0,0.121973941228053,-0.121973941228053,1,1.0173146086307123
accurate_weak,accurate,weak,kappa,50,1.05,0,0.14250658391612558,-0.14250658391612558,1,2.6808559723525622
accurate_weak,accurate,weak,lambda1,50,0.15999999999999998,0.009999999999999981,0.020727258344234986,-0.010727258344235005,1,0.553866890052362
accurate_weak,accurate,weak,lambda_I,50,0.15999999999999998,0.009999999999999981,0.027865176990697904,-0.017865176990697923,1,0.4002739499731185
accurate_weak,accurate,weak,m,50,3.5,0,0.25229000000000035,-0.25229000000000035,1,2.9964535
accurate_weak,accurate,weak,r,50,0.27,0,0.02956169153269915,-0.02956169153269915,1,0.6103625363797667
accurate_weak,accurate,weak,sigma_z,50,0.3499999999999999,0,0.011796473175909705,-0.011796473175909705,1,1.1559508176220112
badly_wrong_moderate,badly_wrong,moderate,d,50,0.62,0.21699999999999997,0.07998713637179333,0.13701286362820664,0.94,0.3211304410288849
badly_wrong_moderate,badly_wrong,moderate,kappa,50,1.05,0.8400000000000001,0.8198335141139734,0.020166485886026653,0.4,2.222950892305122
badly_wrong_moderate,badly_wrong,moderate,lambda1,50,0.15999999999999998,0.009999999999999981,0.09002016109273174,-0.08002016109273176,0.96,0.9152248263148135
badly_wrong_moderate,badly_wrong,moderate,lambda_I,50,0.15999999999999998,0.009999999999999981,0.06683352129276322,-0.05683352129276324,1,0.22630307247285528
badly_wrong_moderate,badly_wrong,moderate,m,50,3.5,0.9000000000000004,0.7677125,0.13228750000000034,0.7,1.591306
