variable,prior_mean,prior_sd,true_value,prior_error,prior_abs_error,prior_error_in_sd,prior_scenario
log_sigma_z,-0.8675005677047233,0.15,-1.0498221244986778,0.18232155679395456,0.18232155679395456,1.2154770452930306,mildly_wrong_strong
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_weak
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_weak
log_r,-0.8393296907380265,0.75,-1.3093333199837622,0.4700036292457357,0.4700036292457357,0.626671505660981,badly_wrong_weak
log_d,-0.908818717035454,0.75,-0.4780358009429998,-0.4307829160924542,0.4307829160924542,-0.5743772214566056,badly_wrong_weak
m,4.4,1.5,3.5,0.9000000000000004,0.9000000000000004,0.6000000000000002,badly_wrong_weak
log_kappa,0.6365768290715511,0.75,0.04879016416943205,0.5877866649021191,0.5877866649021191,0.7837155532028254,badly_wrong_weak
log_sigma_z,-0.5798184952529422,0.75,-1.0498221244986778,0.4700036292457357,0.4700036292457357,0.626671505660981,badly_wrong_weak
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_moderate
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_moderate
log_r,-0.8393296907380265,0.35,-1.3093333199837622,0.4700036292457357,0.4700036292457357,1.3428675121306735,badly_wrong_moderate
log_d,-0.908818717035454,0.35,-0.4780358009429998,-0.4307829160924542,0.4307829160924542,-1.2308083316927265,badly_wrong_moderate
m,4.4,0.6,3.5,0.9000000000000004,0.9000000000000004,1.5000000000000007,badly_wrong_moderate
log_kappa,0.6365768290715511,0.35,0.04879016416943205,0.5877866649021191,0.5877866649021191,1.6793904711489116,badly_wrong_moderate
log_sigma_z,-0.5798184952529422,0.35,-1.0498221244986778,0.4700036292457357,0.4700036292457357,1.3428675121306735,badly_wrong_moderate
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_strong
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,badly_wrong_strong
log_r,-0.8393296907380265,0.15,-1.3093333199837622,0.4700036292457357,0.4700036292457357,3.133357528304905,badly_wrong_strong
log_d,-0.908818717035454,0.15,-0.4780358009429998,-0.4307829160924542,0.4307829160924542,-2.871886107283028,badly_wrong_strong
m,4.4,0.25,3.5,0.9000000000000004,0.9000000000000004,3.6000000000000014,badly_wrong_strong
log_kappa,0.6365768290715511,0.15,0.04879016416943205,0.5877866649021191,0.5877866649021191,3.918577766014127,badly_wrong_strong
log_sigma_z,-0.5798184952529422,0.15,-1.0498221244986778,0.4700036292457357,0.4700036292457357,3.133357528304905,badly_wrong_strong
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,manuscript_default
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,manuscript_default
log_r,-1.3862943611198906,0.75,-1.3093333199837622,-0.07696104113612834,0.07696104113612834,-0.10261472151483779,manuscript_default
log_d,-0.5108256237659907,0.75,-0.4780358009429998,-0.03278982282299092,0.03278982282299092,-0.043719763763987896,manuscript_default
m,3.5,1.5,3.5,0,0,0,manuscript_default
log_kappa,0,1,0.04879016416943205,-0.04879016416943205,0.04879016416943205,-0.04879016416943205,manuscript_default
log_sigma_z,-1.0498221244986778,0.75,-1.0498221244986778,0,0,0,manuscript_default
