variable,prior_mean,prior_sd,true_value,prior_error,prior_abs_error,prior_error_in_sd,prior_scenario
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_weak
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_weak
log_r,-1.3093333199837622,0.75,-1.3093333199837622,0,0,0,accurate_weak
log_d,-0.4780358009429998,0.75,-0.4780358009429998,0,0,0,accurate_weak
m,3.5,1.5,3.5,0,0,0,accurate_weak
log_kappa,0.04879016416943205,0.75,0.04879016416943205,0,0,0,accurate_weak
log_sigma_z,-1.0498221244986778,0.75,-1.0498221244986778,0,0,0,accurate_weak
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_moderate
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_moderate
log_r,-1.3093333199837622,0.35,-1.3093333199837622,0,0,0,accurate_moderate
log_d,-0.4780358009429998,0.35,-0.4780358009429998,0,0,0,accurate_moderate
m,3.5,0.6,3.5,0,0,0,accurate_moderate
log_kappa,0.04879016416943205,0.35,0.04879016416943205,0,0,0,accurate_moderate
log_sigma_z,-1.0498221244986778,0.35,-1.0498221244986778,0,0,0,accurate_moderate
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_strong
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,accurate_strong
log_r,-1.3093333199837622,0.15,-1.3093333199837622,0,0,0,accurate_strong
log_d,-0.4780358009429998,0.15,-0.4780358009429998,0,0,0,accurate_strong
m,3.5,0.25,3.5,0,0,0,accurate_strong
log_kappa,0.04879016416943205,0.15,0.04879016416943205,0,0,0,accurate_strong
log_sigma_z,-1.0498221244986778,0.15,-1.0498221244986778,0,0,0,accurate_strong
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_weak
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_weak
log_r,-1.0861897686695525,0.75,-1.3093333199837622,0.2231435513142097,0.2231435513142097,0.29752473508561295,mildly_wrong_weak
log_d,-0.6405547304407747,0.75,-0.4780358009429998,-0.1625189294977749,0.1625189294977749,-0.21669190599703322,mildly_wrong_weak
m,3.95,1.5,3.5,0.4500000000000002,0.4500000000000002,0.3000000000000001,mildly_wrong_weak
log_kappa,0.2719337154836418,0.75,0.04879016416943205,0.22314355131420976,0.22314355131420976,0.297524735085613,mildly_wrong_weak
log_sigma_z,-0.8675005677047233,0.75,-1.0498221244986778,0.18232155679395456,0.18232155679395456,0.24309540905860608,mildly_wrong_weak
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_moderate
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_moderate
log_r,-1.0861897686695525,0.35,-1.3093333199837622,0.2231435513142097,0.2231435513142097,0.6375530037548849,mildly_wrong_moderate
log_d,-0.6405547304407747,0.35,-0.4780358009429998,-0.1625189294977749,0.1625189294977749,-0.4643397985650712,mildly_wrong_moderate
m,3.95,0.6,3.5,0.4500000000000002,0.4500000000000002,0.7500000000000003,mildly_wrong_moderate
log_kappa,0.2719337154836418,0.35,0.04879016416943205,0.22314355131420976,0.22314355131420976,0.6375530037548851,mildly_wrong_moderate
log_sigma_z,-0.8675005677047233,0.35,-1.0498221244986778,0.18232155679395456,0.18232155679395456,0.520918733697013,mildly_wrong_moderate
log_lambda1,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_strong
log_lambda_I,-1.8971199848858813,1,-1.8325814637483102,-0.06453852113757108,0.06453852113757108,-0.06453852113757108,mildly_wrong_strong
log_r,-1.0861897686695525,0.15,-1.3093333199837622,0.2231435513142097,0.2231435513142097,1.4876236754280647,mildly_wrong_strong
log_d,-0.6405547304407747,0.15,-0.4780358009429998,-0.1625189294977749,0.1625189294977749,-1.0834595299851661,mildly_wrong_strong
m,3.95,0.25,3.5,0.4500000000000002,0.4500000000000002,1.8000000000000007,mildly_wrong_strong
log_kappa,0.2719337154836418,0.15,0.04879016416943205,0.22314355131420976,0.22314355131420976,1.4876236754280652,mildly_wrong_strong
