prior_scenario,accuracy,strength,job_id,rep_id,n_pairs,true_mean_gen,true_sd_gen,mean_gen_median,mean_gen_q05,mean_gen_q95,mean_gen_error,mean_gen_abs_error,mean_gen_ci_width,mean_gen_covered,sd_gen_median,sd_gen_q05,sd_gen_q95,sd_gen_error,sd_gen_abs_error,sd_gen_ci_width,sd_gen_covered,expected_train_lpd,expected_test_lpd,test_lpd_per_pair,kl_true_to_postmean,tv_true_to_postmean,rmse_p_si,waic,looic,max_pareto_k,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,max_treedepth_hit
accurate_weak,accurate,weak,1,1,200,5.060354079778466,2.427456447399629,5.002095000000001,4.585643,5.4168645,-0.05825907977846523,0.05825907977846523,0.8312214999999998,TRUE,2.345405,2.0599585,2.826594,-0.08205144739962922,0.08205144739962922,0.7666355,TRUE,-690.410858,-17083.939026141892,-3.4167878052283784,0.002956693853414125,0.030503634233450132,0.0014890235993802112,1391.4830710657093,1391.7064341435214,Inf,1.0086661340309135,527.8412333660106,404.7606132862136,0,0
accurate_moderate,accurate,moderate,2,1,200,5.060354079778466,2.427456447399629,5.01771,4.582323000000001,5.432335999999999,-0.04264407977846574,0.04264407977846574,0.8500129999999988,TRUE,2.389875,2.1194595,2.829202,-0.03758144739962921,0.03758144739962921,0.7097424999999999,TRUE,-690.6309977,-17064.88038327323,-3.412976076654646,0.001757098944184832,0.022936363555241302,0.0011092743893531135,1390.2607035637616,1390.3740812872165,Inf,1.0050484464964773,833.0079467352458,753.2403392897504,0,0
accurate_strong,accurate,strong,3,1,200,5.060354079778466,2.427456447399629,5.024545,4.607867000000001,5.405935499999999,-0.035809079778466035,0.035809079778466035,0.7980684999999985,TRUE,2.396815,2.1882859999999997,2.653667,-0.03064144739962904,0.03064144739962904,0.46538100000000027,TRUE,-690.588311725,-17056.88403301489,-3.411376806602978,0.0015680203350619103,0.021232926277653805,0.0010223026607104066,1388.646307726131,1388.7218692200859,Inf,1.0074317379868043,760.0117690405325,535.4780436110344,0,0
mildly_wrong_weak,mildly_wrong,weak,4,1,200,5.060354079778466,2.427456447399629,5.017765000000001,4.6051495,5.4393565,-0.042589079778465155,0.042589079778465155,0.8342070000000001,TRUE,2.35285,2.0420615,2.8444785,-0.07460644739962907,0.07460644739962907,0.8024170000000002,TRUE,-690.5222966333333,-17078.528868123856,-3.4157057736247713,0.0023703966940575552,0.027666485801363747,0.0013557368540047959,1391.9043845376502,1391.9682804148424,Inf,1.0128023265638746,535.3781221308743,475.1347295802094,0,0
mildly_wrong_moderate,mildly_wrong,moderate,5,1,200,5.060354079778466,2.427456447399629,5.036395000000001,4.619165000000001,5.449205999999999,-0.02395907977846523,0.02395907977846523,0.8300409999999987,TRUE,2.39101,2.108853,2.800511,-0.0364464473996291,0.0364464473996291,0.6916580000000003,TRUE,-690.8466374583334,-17062.69973655693,-3.412539947311386,0.0017222498963405085,0.02219134560316214,0.0010463708849122596,1390.9879048665612,1391.0587751776466,Inf,1.011774480077937,934.5720102077518,592.7509726474935,0,0
mildly_wrong_strong,mildly_wrong,strong,6,1,200,5.060354079778466,2.427456447399629,5.034325,4.613353,5.4768895,-0.026029079778465913,0.026029079778465913,0.8635365000000004,TRUE,2.41119,2.184701,2.7390895,-0.016266447399629236,0.016266447399629236,0.5543885,TRUE,-690.9810079166666,-17059.76100728899,-3.4119522014577983,0.0020951050903459624,0.023070874254470162,0.0010574286378226211,1390.5233868059415,1390.5792239637628,Inf,1.0101148371665956,723.8691265855886,420.0066292460047,0,0
badly_wrong_weak,badly_wrong,weak,7,1,200,5.060354079778466,2.427456447399629,5.054600000000001,4.6439070000000005,5.4511545,-0.005754079778465204,0.005754079778465204,0.8072474999999999,TRUE,2.38028,2.0328595,2.901748,-0.04717644739962923,0.04717644739962923,0.8688885000000002,TRUE,-690.6626258166667,-17073.74770059121,-3.414749540118242,0.0019064923880991597,0.025135236926976622,0.001218893498493882,1392.0336573028303,1391.9650575869434,Inf,1.0103770029116739,654.9989018482537,547.8424071736308,0,0
badly_wrong_moderate,badly_wrong,moderate,8,1,200,5.060354079778466,2.427456447399629,5.07466,4.660916,5.538458,0.014305920221533874,0.014305920221533874,0.877542,TRUE,2.431105,2.1131500000000005,2.887064,0.0036485526003708912,0.0036485526003708912,0.7739139999999995,TRUE,-691.2615258833333,-17059.852464767562,-3.4119704929535124,0.0017704666400240956,0.01988159424258682,8.89457555546225e-4,1392.2274172809448,1392.3287099006106,Inf,1.0053920175150923,733.4450981158136,701.9731404424526,0,0
badly_wrong_strong,badly_wrong,strong,9,1,200,5.060354079778466,2.427456447399629,5.147095,4.777648,5.5584605,0.08674092022153435,0.08674092022153435,0.7808124999999997,TRUE,2.5754349999999997,2.301335,2.9341424999999997,0.14797855260037052,0.14797855260037052,0.6328074999999997,TRUE,-691.6193191083333,-17060.533035940458,-3.4121066071880914,0.00379192280090723,0.025422704135817438,0.0010958499751678825,1391.014427235668,1391.10584261811,Inf,1.0089328831351625,550.9327097259135,364.36780285924647,0,0
manuscript_default,manuscript_default,default,10,1,200,5.060354079778466,2.427456447399629,5.001175,4.6049204999999995,5.4356475,-0.059179079778465926,0.059179079778465926,0.8307270000000004,TRUE,2.3651,2.047157,2.8049844999999998,-0.0623564473996292,0.0623564473996292,0.7578274999999999,TRUE,-690.3199402416667,-17083.40986024471,-3.416681972048942,0.0033096658091782013,0.032274281791769784,0.0015738775395375765,1390.3115654191004,1390.4311496628227,Inf,1.022035153571255,594.0986292614881,274.48108569392406,0,0
