prior_scenario,accuracy,strength,job_id,rep_id,variable,true_value,prior_mean,prior_sd,median,q5,q95,prior_error,prior_abs_error,posterior_error,posterior_abs_error,improvement_over_prior,posterior_moved_toward_truth,interval_width,covered,posterior_shift_from_prior_sd,prior_truth_distance_sd,rhat,ess_bulk,ess_tail,natural_variable,natural_true,natural_prior_mean,natural_median,natural_q5,natural_q95,natural_prior_abs_error,natural_posterior_abs_error,natural_improvement_over_prior,natural_interval_width,natural_covered
accurate_weak,accurate,weak,1,1,log_lambda1,-1.8325814637483102,-1.8971199848858813,1,-1.68234,-3.3065745,-0.4181038000000001,-0.06453852113757108,0.06453852113757108,0.15024146374831027,0.15024146374831027,-0.08570294261073919,FALSE,2.8884707,TRUE,0.21477998488588135,-0.06453852113757108,1.0034944137011779,745.2262148488743,623.3371552094552,lambda1,0.15999999999999998,0.15,0.18593837079238343,0.03664147439308023,0.6582938939721361,0.009999999999999981,0.025938370792383453,-0.01593837079238347,0.6216524195790559,TRUE
accurate_weak,accurate,weak,1,1,log_lambda_I,-1.8325814637483102,-1.8971199848858813,1,-2.2956000000000003,-3.7648595,-1.1793840000000002,-0.06453852113757108,0.06453852113757108,-0.4630185362516901,0.4630185362516901,-0.398480015114119,FALSE,2.5854755,TRUE,-0.398480015114119,-0.06453852113757108,1.0026792514050922,1061.8647986650287,707.1932571186082,lambda_I,0.15999999999999998,0.15,0.10070095456576662,0.02317086751350202,0.30746808061546266,0.009999999999999981,0.05929904543423335,-0.04929904543423337,0.28429721310196066,TRUE
accurate_weak,accurate,weak,1,1,log_r,-1.3093333199837622,-1.3093333199837622,0.75,-1.593835,-2.7335175,-0.4805314000000002,0,0,-0.28450168001623766,0.28450168001623766,-0.28450168001623766,FALSE,2.2529860999999998,TRUE,-0.3793355733549835,0,1.0030140653502417,781.9990038932815,517.9888258720177,r,0.27,0.27,0.20314505468800098,0.06499028381688113,0.6184546576641323,0,0.06685494531199904,-0.06685494531199904,0.5534643738472512,TRUE
accurate_weak,accurate,weak,1,1,log_d,-0.4780358009429998,-0.4780358009429998,0.75,-0.20005450000000002,-0.7118536000000001,0.8630761,0,0,0.2779813009429998,0.2779813009429998,-0.2779813009429998,FALSE,1.5749297000000002,TRUE,0.37064173459066635,0,1.0023858584906202,769.3757530684197,459.05435819995245,d,0.62,0.62,0.8186861334678345,0.4907337298586098,2.3704412043642025,0,0.19868613346783448,-0.19868613346783448,1.8797074745055926,TRUE
accurate_weak,accurate,weak,1,1,m,3.5,3.5,1.5,3.353075,1.6493325,5.324553999999999,0,0,-0.14692499999999997,0.14692499999999997,-0.14692499999999997,FALSE,3.6752214999999993,TRUE,-0.09794999999999998,0,1.002927136698275,621.703338401189,587.7003017404547,m,3.5,3.5,3.353075,1.6493325,5.324553999999999,0,0.14692499999999997,-0.14692499999999997,3.6752214999999993,TRUE
accurate_weak,accurate,weak,1,1,log_kappa,0.04879016416943205,0.04879016416943205,0.75,-0.282755,-1.2031985,1.0905574999999998,0,0,-0.331545164169432,0.331545164169432,-0.331545164169432,FALSE,2.293756,TRUE,-0.442060218892576,0,1.0044948803569407,527.8412333660106,404.7606132862136,kappa,1.05,1.05,0.7537044228246025,0.3002323812530752,2.9759326926559106,0,0.29629557717539756,-0.29629557717539756,2.6757003114028355,TRUE
accurate_weak,accurate,weak,1,1,log_sigma_z,-1.0498221244986778,-1.0498221244986778,0.75,-0.9948025,-2.2674879999999997,0.4016034999999998,0,0,0.05501962449867781,0.05501962449867781,-0.05501962449867781,FALSE,2.6690914999999995,TRUE,0.07335949933157042,0,1.0086661340309135,905.7331769169682,525.2647722191409,sigma_z,0.3499999999999999,0.3499999999999999,0.3697964721355937,0.10357202650994207,1.4942187574684345,0,0.019796472135593768,-0.019796472135593768,1.3906467309584924,TRUE
accurate_moderate,accurate,moderate,2,1,log_lambda1,-1.8325814637483102,-1.8971199848858813,1,-1.8092000000000001,-3.1909625,-0.77121835,-0.06453852113757108,0.06453852113757108,0.023381463748310072,0.023381463748310072,0.04115705738926101,TRUE,2.4197441499999996,TRUE,0.08791998488588115,-0.06453852113757108,1.0022015686466423,874.1287117659282,805.3640462810855,lambda1,0.15999999999999998,0.15,0.16378511249543792,0.04113226207811105,0.46244929984284483,0.009999999999999981,0.003785112495437948,0.006214887504562033,0.4213170377647338,TRUE
accurate_moderate,accurate,moderate,2,1,log_lambda_I,-1.8325814637483102,-1.8971199848858813,1,-2.389355,-3.775737,-1.3844390000000002,-0.06453852113757108,0.06453852113757108,-0.5567735362516899,0.5567735362516899,-0.4922350151141188,FALSE,2.391298,TRUE,-0.4922350151141188,-0.06453852113757108,1.0002936062471879,1050.5949650853331,893.6526248872839,lambda_I,0.15999999999999998,0.15,0.09168880408782404,0.02292019223395406,0.25046427084182465,0.009999999999999981,0.06831119591217594,-0.058311195912175956,0.2275440786078706,TRUE
accurate_moderate,accurate,moderate,2,1,log_r,-1.3093333199837622,-1.3093333199837622,0.35,-1.3852600000000002,-1.9433749999999999,-0.8209917000000002,0,0,-0.07592668001623792,0.07592668001623792,-0.07592668001623792,FALSE,1.1223832999999996,TRUE,-0.2169333714749655,0,1.0050484464964773,833.0079467352458,780.5204694783052,r,0.27,0.27,0.25025872406396144,0.14321976646613724,0.4399950949380659,0,0.019741275936038583,-0.019741275936038583,0.29677532847192867,TRUE
