prior_scenario,accuracy,strength,job_id,rep_id,variable,true_value,prior_mean,prior_sd,median,q5,q95,prior_error,prior_abs_error,posterior_error,posterior_abs_error,improvement_over_prior,posterior_moved_toward_truth,interval_width,covered,posterior_shift_from_prior_sd,prior_truth_distance_sd,rhat,ess_bulk,ess_tail
accurate_weak,accurate,weak,1,1,log_lambda1,-1.8325814637483102,-1.8971199848858813,1,-1.68234,-3.3065745,-0.4181038000000001,-0.06453852113757108,0.06453852113757108,0.15024146374831027,0.15024146374831027,-0.08570294261073919,FALSE,2.8884707,TRUE,0.21477998488588135,-0.06453852113757108,1.0034944137011779,745.2262148488743,623.3371552094552
accurate_weak,accurate,weak,1,1,log_lambda_I,-1.8325814637483102,-1.8971199848858813,1,-2.2956000000000003,-3.7648595,-1.1793840000000002,-0.06453852113757108,0.06453852113757108,-0.4630185362516901,0.4630185362516901,-0.398480015114119,FALSE,2.5854755,TRUE,-0.398480015114119,-0.06453852113757108,1.0026792514050922,1061.8647986650287,707.1932571186082
accurate_weak,accurate,weak,1,1,log_r,-1.3093333199837622,-1.3093333199837622,0.75,-1.593835,-2.7335175,-0.4805314000000002,0,0,-0.28450168001623766,0.28450168001623766,-0.28450168001623766,FALSE,2.2529860999999998,TRUE,-0.3793355733549835,0,1.0030140653502417,781.9990038932815,517.9888258720177
accurate_weak,accurate,weak,1,1,log_d,-0.4780358009429998,-0.4780358009429998,0.75,-0.20005450000000002,-0.7118536000000001,0.8630761,0,0,0.2779813009429998,0.2779813009429998,-0.2779813009429998,FALSE,1.5749297000000002,TRUE,0.37064173459066635,0,1.0023858584906202,769.3757530684197,459.05435819995245
accurate_weak,accurate,weak,1,1,m,3.5,3.5,1.5,3.353075,1.6493325,5.324553999999999,0,0,-0.14692499999999997,0.14692499999999997,-0.14692499999999997,FALSE,3.6752214999999993,TRUE,-0.09794999999999998,0,1.002927136698275,621.703338401189,587.7003017404547
accurate_weak,accurate,weak,1,1,log_kappa,0.04879016416943205,0.04879016416943205,0.75,-0.282755,-1.2031985,1.0905574999999998,0,0,-0.331545164169432,0.331545164169432,-0.331545164169432,FALSE,2.293756,TRUE,-0.442060218892576,0,1.0044948803569407,527.8412333660106,404.7606132862136
accurate_weak,accurate,weak,1,1,log_sigma_z,-1.0498221244986778,-1.0498221244986778,0.75,-0.9948025,-2.2674879999999997,0.4016034999999998,0,0,0.05501962449867781,0.05501962449867781,-0.05501962449867781,FALSE,2.6690914999999995,TRUE,0.07335949933157042,0,1.0086661340309135,905.7331769169682,525.2647722191409
accurate_moderate,accurate,moderate,2,1,log_lambda1,-1.8325814637483102,-1.8971199848858813,1,-1.8092000000000001,-3.1909625,-0.77121835,-0.06453852113757108,0.06453852113757108,0.023381463748310072,0.023381463748310072,0.04115705738926101,TRUE,2.4197441499999996,TRUE,0.08791998488588115,-0.06453852113757108,1.0022015686466423,874.1287117659282,805.3640462810855
accurate_moderate,accurate,moderate,2,1,log_lambda_I,-1.8325814637483102,-1.8971199848858813,1,-2.389355,-3.775737,-1.3844390000000002,-0.06453852113757108,0.06453852113757108,-0.5567735362516899,0.5567735362516899,-0.4922350151141188,FALSE,2.391298,TRUE,-0.4922350151141188,-0.06453852113757108,1.0002936062471879,1050.5949650853331,893.6526248872839
accurate_moderate,accurate,moderate,2,1,log_r,-1.3093333199837622,-1.3093333199837622,0.35,-1.3852600000000002,-1.9433749999999999,-0.8209917000000002,0,0,-0.07592668001623792,0.07592668001623792,-0.07592668001623792,FALSE,1.1223832999999996,TRUE,-0.2169333714749655,0,1.0050484464964773,833.0079467352458,780.5204694783052
accurate_moderate,accurate,moderate,2,1,log_d,-0.4780358009429998,-0.4780358009429998,0.35,-0.4063955,-0.7221799,-0.020433705000000406,0,0,0.07164030094299978,0.07164030094299978,-0.07164030094299978,FALSE,0.7017461949999996,TRUE,0.2046865741228565,0,1.0017899118665434,890.333904519107,908.2816006991735
accurate_moderate,accurate,moderate,2,1,m,3.5,3.5,0.6,3.418425,2.5758444999999996,4.411376000000001,0,0,-0.08157499999999995,0.08157499999999995,-0.08157499999999995,FALSE,1.835531500000001,TRUE,-0.13595833333333326,0,1.002356717171621,846.2063232170781,785.5911950135709
accurate_moderate,accurate,moderate,2,1,log_kappa,0.04879016416943205,0.04879016416943205,0.35,-0.06482335,-0.5642221500000001,0.4838558999999998,0,0,-0.11361351416943205,0.11361351416943205,-0.11361351416943205,FALSE,1.04807805,TRUE,-0.3246100404840916,0,1.0004543276454811,1003.8301011789431,786.9300472810488
accurate_moderate,accurate,moderate,2,1,log_sigma_z,-1.0498221244986778,-1.0498221244986778,0.35,-1.0559,-1.595998,-0.48373830000000023,0,0,-0.006077875501322216,0.006077875501322216,-0.006077875501322216,FALSE,1.1122596999999999,TRUE,-0.017365358575206335,0,1.0009876355843215,1197.0216355363675,753.2403392897504
accurate_strong,accurate,strong,3,1,log_lambda1,-1.8325814637483102,-1.8971199848858813,1,-1.82596,-3.00316,-0.9798852500000003,-0.06453852113757108,0.06453852113757108,0.006621463748310186,0.006621463748310186,0.057917057389260895,TRUE,2.0232747499999997,TRUE,0.07115998488588127,-0.06453852113757108,1.006468427424233,961.799565375632,782.4255384661544
