prior_scenario,accuracy,strength,variable,n_successful_fits,true_value,median_prior_abs_error,median_posterior_abs_error,median_improvement_over_prior,moved_toward_truth_rate,coverage,median_interval_width,median_shift_from_prior_sd,median_abs_shift_from_prior_sd
accurate_moderate,accurate,moderate,log_d,50,-0.4780358009429998,0,0.09165505094299978,-0.09165505094299978,0,1,0.6411682474999999,0.17278800269428504,0.26187157412285655
accurate_moderate,accurate,moderate,log_kappa,50,0.04879016416943205,0,0.05023118591943205,-0.05023118591943205,0,1,1.0496264,-0.06037054048409157,0.14351767405552013
accurate_moderate,accurate,moderate,log_lambda1,50,-1.8325814637483102,0.06453852113757108,0.2559135362516898,-0.1913750151141187,0.18,1,2.5214563499999993,-0.11547751511411875,0.1913750151141187
accurate_moderate,accurate,moderate,log_lambda_I,50,-1.8325814637483102,0.06453852113757108,0.2462560362516899,-0.18171751511411882,0.14,1,2.34458625,-0.17721251511411862,0.18994751511411878
accurate_moderate,accurate,moderate,log_r,50,-1.3093333199837622,0,0.03447500000000003,-0.03447500000000003,0,1,1.0953781749999998,-0.07104051433210769,0.0985000000000001
accurate_moderate,accurate,moderate,log_sigma_z,50,-1.0498221244986778,0,0.009334999999999982,-0.009334999999999982,0,1,1.1597127499999997,0.005106069996222271,0.026671428571428523
accurate_moderate,accurate,moderate,m,50,3.5,0,0.08105499999999988,-0.08105499999999988,0,1,1.7020412499999997,0.022545833333333192,0.13509166666666647
accurate_strong,accurate,strong,log_d,50,-0.4780358009429998,0,0.03431074999999997,-0.03431074999999997,0,1,0.38160162499999983,0.21424033961999878,0.22873833333333315
accurate_strong,accurate,strong,log_kappa,50,0.04879016416943205,0,0.014246175,-0.014246175,0,1,0.47746569999999994,0.026798738870453,0.0949745
accurate_strong,accurate,strong,log_lambda1,50,-1.8325814637483102,0.06453852113757108,0.2917635362516897,-0.22722501511411863,0.12,1,2.110907225,-0.1663075151141189,0.23926251511411878
accurate_strong,accurate,strong,log_lambda_I,50,-1.8325814637483102,0.06453852113757108,0.29399353625168967,-0.2294550151141186,0.08,1,2.1645769999999995,-0.21689251511411856,0.23856001511411873
accurate_strong,accurate,strong,log_r,50,-1.3093333199837622,0,0.008464999999999945,-0.008464999999999945,0,1,0.4831890000000001,-0.0068945334415859705,0.05643333333333297
accurate_strong,accurate,strong,log_sigma_z,50,-1.0498221244986778,0,0.004599624498677901,-0.004599624498677901,0,1,0.49134989999999984,0.022814163324519725,0.030664163324519343
accurate_strong,accurate,strong,m,50,3.5,0,0.020585000000000075,-0.020585000000000075,0,1,0.7793759999999996,-0.046949999999999825,0.0823400000000003
accurate_weak,accurate,weak,log_d,50,-0.4780358009429998,0,0.1913938009429998,-0.1913938009429998,0,1,1.1023502999999995,0.20101273459066643,0.2551917345906664
accurate_weak,accurate,weak,log_kappa,50,0.04879016416943205,0,0.14585933916943206,-0.14585933916943206,0,1,2.027339799999999,-0.14090448555924273,0.19447911889257605
accurate_weak,accurate,weak,log_lambda1,50,-1.8325814637483102,0.06453852113757108,0.13610353625168992,-0.07156501511411884,0.26,1,2.93674115,-0.022827515114118624,0.08875751511411867
accurate_weak,accurate,weak,log_lambda_I,50,-1.8325814637483102,0.06453852113757108,0.18744250000000007,-0.12290397886242899,0.16,1,2.656931374999999,-0.08392251511411863,0.1793849999999999
accurate_weak,accurate,weak,log_r,50,-1.3093333199837622,0,0.11154000000000008,-0.11154000000000008,0,1,2.1914841249999997,-0.1427889066883171,0.14872000000000013
