prior_scenario,accuracy,strength,median_delta_test_lpd_vs_default,q05_delta_test_lpd_vs_default,q95_delta_test_lpd_vs_default,median_delta_kl_vs_default,median_delta_mean_abs_error_vs_default
accurate_moderate,accurate,moderate,0.001973099723695304,6.219371246923178e-4,0.0056890041195758675,-9.298078770070748e-4,-0.005107500000000265
accurate_strong,accurate,strong,0.0032016389993947403,0.0018998056818395836,0.008472665584552418,-0.0014071135366126213,-0.014140000000000708
accurate_weak,accurate,weak,5.700801146257817e-6,-8.197533938770097e-4,7.606592415852154e-4,-5.42912586962254e-5,-0.002900920221534431
badly_wrong_moderate,badly_wrong,moderate,0.0013356403314535026,-9.946808753796609e-4,0.006161097524288173,-3.016136849044736e-4,0.02459592022153423
badly_wrong_strong,badly_wrong,strong,0.001296955184430626,-0.001878871650185987,0.011387978731089135,6.131877328710079e-4,0.07560249999999957
badly_wrong_weak,badly_wrong,weak,6.359755877483053e-8,-0.0011796391178074072,0.00177610889827795,-2.9698363508023646e-4,0.0022400000000000198
manuscript_default,manuscript_default,default,0,0,0,0,0
mildly_wrong_moderate,mildly_wrong,moderate,0.0019030111998545873,3.117011942501025e-4,0.0048444945624669606,-8.527411073255935e-4,-0.004817500000000141
mildly_wrong_strong,mildly_wrong,strong,0.0026380676875352727,7.33539700198338e-4,0.0094155964631212,-8.750444273367045e-4,0.013244999999999951
mildly_wrong_weak,mildly_wrong,weak,7.288599073929092e-5,-9.043152353599426e-4,9.352210363691601e-4,-1.2095326392004817e-4,-0.001627500000000115
