"model","strain","mean_gen","sd_gen"
"Lognormal","non-SGTF",3.9139382,2.0852839
"Lognormal","non-SGTF",3.7931872,1.9730305
"Lognormal","non-SGTF",3.8596633,2.1700895
"Lognormal","non-SGTF",3.7848861,2.0956472
"Lognormal","non-SGTF",3.8200154,2.1650418
"Lognormal","non-SGTF",3.8760724,2.2071283
"Lognormal","non-SGTF",3.8645131,2.0212738
"Lognormal","non-SGTF",3.8462776,2.2317341
"Lognormal","non-SGTF",3.793594,2.0467335
"Lognormal","non-SGTF",3.8804558,2.2465112
"Lognormal","non-SGTF",3.8058418,2.0954129
"Lognormal","non-SGTF",3.8292269,2.1494488
"Lognormal","non-SGTF",3.8292269,2.1494488
"Lognormal","non-SGTF",3.9290446,2.1322302
"Lognormal","non-SGTF",3.7741479,2.1545662
"Lognormal","non-SGTF",3.8328503,2.1455665
"Lognormal","non-SGTF",3.7941863,2.0330783
"Lognormal","non-SGTF",3.851707,2.1016686
"Lognormal","non-SGTF",3.8970978,2.1912154
"Lognormal","non-SGTF",3.7582884,2.0489171
"Lognormal","non-SGTF",3.9228316,2.1827428
"Lognormal","non-SGTF",3.8302221,2.0199143
"Lognormal","non-SGTF",3.9090297,2.0916003
"Lognormal","non-SGTF",3.7835213,2.0600415
"Lognormal","non-SGTF",3.8280467,2.169716
"Lognormal","non-SGTF",3.8021784,2.1404376
"Lognormal","non-SGTF",3.8278201,2.1340874
"Lognormal","non-SGTF",3.750575,1.9788756
"Lognormal","non-SGTF",3.8529066,2.2107199
"Lognormal","non-SGTF",3.8921733,2.3166281
"Lognormal","non-SGTF",3.8240774,1.9709332
"Lognormal","non-SGTF",3.9272005,1.9903439
"Lognormal","non-SGTF",3.932108,2.2871753
"Lognormal","non-SGTF",3.7648661,2.0516365
"Lognormal","non-SGTF",3.8487107,2.1636433
"Lognormal","non-SGTF",3.8682874,2.0229677
"Lognormal","non-SGTF",3.8821469,1.9064365
"Lognormal","non-SGTF",3.9561235,1.9955187
"Lognormal","non-SGTF",4.0376953,2.2232066
"Lognormal","non-SGTF",3.7892337,1.9136422
"Lognormal","non-SGTF",3.9975478,2.3478051
"Lognormal","non-SGTF",3.8715182,2.1341165
"Lognormal","non-SGTF",3.8202556,2.1595822
"Lognormal","non-SGTF",3.81944,2.2203864
"Lognormal","non-SGTF",3.8732224,2.0915608
"Lognormal","non-SGTF",3.8533876,2.0537509
"Lognormal","non-SGTF",3.7928136,1.8905484
"Lognormal","non-SGTF",3.8730506,2.1295477
"Lognormal","non-SGTF",3.7811325,1.8812773
"Lognormal","non-SGTF",3.8318765,2.1410271
"Lognormal","non-SGTF",3.8318765,2.1410271
"Lognormal","non-SGTF",3.8968351,2.1504275
"Lognormal","non-SGTF",3.9117302,2.1653412
"Lognormal","non-SGTF",3.9210688,2.1995462
"Lognormal","non-SGTF",3.8948099,2.4142482
"Lognormal","non-SGTF",3.8948099,2.4142482
"Lognormal","non-SGTF",3.8762256,2.3762815
"Lognormal","non-SGTF",3.8344366,2.1843867
"Lognormal","non-SGTF",3.8794352,1.9055291
"Lognormal","non-SGTF",4.0278667,2.1451668
"Lognormal","non-SGTF",3.8851218,1.8509738
"Lognormal","non-SGTF",3.785344,2.1283743
"Lognormal","non-SGTF",3.9040895,2.2751978
"Lognormal","non-SGTF",3.8686807,2.2616543
"Lognormal","non-SGTF",3.7985246,2.2716418
"Lognormal","non-SGTF",3.8934128,2.3301079
"Lognormal","non-SGTF",3.817767,2.1081312
"Lognormal","non-SGTF",3.8948655,2.1686185
"Lognormal","non-SGTF",3.9309564,2.3020747
"Lognormal","non-SGTF",3.8070974,1.9203807
"Lognormal","non-SGTF",3.9234812,2.2600705
"Lognormal","non-SGTF",3.8303227,1.9391163
"Lognormal","non-SGTF",3.9485386,2.172437
"Lognormal","non-SGTF",3.8142171,2.1065788
"Lognormal","non-SGTF",3.7454346,2.1107958
"Lognormal","non-SGTF",3.961667,2.2861654
"Lognormal","non-SGTF",3.7757645,1.8937781
"Lognormal","non-SGTF",3.8100986,2.122186
"Lognormal","non-SGTF",3.8608151,2.2756544
"Lognormal","non-SGTF",3.8403997,2.0747625
"Lognormal","non-SGTF",3.9024652,2.2721967
"Lognormal","non-SGTF",3.8446066,2.209817
"Lognormal","non-SGTF",3.8232122,2.1085788
"Lognormal","non-SGTF",3.8687078,1.9481884
"Lognormal","non-SGTF",3.8802714,2.0144668
"Lognormal","non-SGTF",3.8269655,1.9722455
"Lognormal","non-SGTF",3.8382088,2.0941928
"Lognormal","non-SGTF",3.8693649,2.1146528
"Lognormal","non-SGTF",3.7856152,2.0631502
"Lognormal","non-SGTF",3.7637373,2.0205071
"Lognormal","non-SGTF",3.8931337,2.2031643
"Lognormal","non-SGTF",3.8061986,2.0941897
"Lognormal","non-SGTF",3.8673872,2.1388616
"Lognormal","non-SGTF",3.8302043,2.2250258
"Lognormal","non-SGTF",3.8380009,2.1005918
"Lognormal","non-SGTF",3.8515469,2.201585
"Lognormal","non-SGTF",3.8708138,2.5558573
"Lognormal","non-SGTF",3.9231755,2.7879739
"Lognormal","non-SGTF",3.6857061,1.9288972
"Lognormal","non-SGTF",3.8529751,2.3286816
"Lognormal","non-SGTF",3.7917953,2.1763865
"Lognormal","non-SGTF",3.8490234,2.2869611
"Lognormal","non-SGTF",3.7836536,2.1077834
"Lognormal","non-SGTF",3.9809907,2.2274829
"Lognormal","non-SGTF",3.7149996,2.156979
"Lognormal","non-SGTF",3.8570222,2.2373903
"Lognormal","non-SGTF",3.7462405,2.1442467
"Lognormal","non-SGTF",3.8808019,2.2581653
"Lognormal","non-SGTF",3.8808019,2.2581653
"Lognormal","non-SGTF",3.7207053,2.0808756
"Lognormal","non-SGTF",3.9160375,2.6765952
"Lognormal","non-SGTF",3.7211773,2.3947962
"Lognormal","non-SGTF",3.7739059,2.2708542
"Lognormal","non-SGTF",3.7821187,2.0612465
"Lognormal","non-SGTF",3.8417052,2.3141744
"Lognormal","non-SGTF",3.7722894,2.2705335
"Lognormal","non-SGTF",3.8317545,1.8056742
"Lognormal","non-SGTF",3.9162681,2.1032346
"Lognormal","non-SGTF",3.8731555,2.0268666
"Lognormal","non-SGTF",3.8296422,2.3646273
"Lognormal","non-SGTF",3.8509374,1.9554469
"Lognormal","non-SGTF",3.8847742,2.2223232
"Lognormal","non-SGTF",3.8726365,2.3464624
"Lognormal","non-SGTF",3.8657523,1.9606088
"Lognormal","non-SGTF",3.9523031,2.176426
"Lognormal","non-SGTF",3.8074957,2.0795714
"Lognormal","non-SGTF",3.7986638,2.0545885
"Lognormal","non-SGTF",3.7683153,2.0364404
"Lognormal","non-SGTF",3.8356111,2.2109988
"Lognormal","non-SGTF",3.8424704,2.2020754
"Lognormal","non-SGTF",3.7421614,2.1727132
"Lognormal","non-SGTF",3.9406101,2.1142354
"Lognormal","non-SGTF",3.9098685,2.1828358
"Lognormal","non-SGTF",3.8037374,2.0333795
"Lognormal","non-SGTF",3.875915,2.4594435
"Lognormal","non-SGTF",3.7931149,2.3252941
"Lognormal","non-SGTF",3.7805924,2.4542597
"Lognormal","non-SGTF",3.8814924,2.1727154
"Lognormal","non-SGTF",3.7709216,2.1139166
"Lognormal","non-SGTF",3.7782363,2.2319989
"Lognormal","non-SGTF",3.8575302,2.34044
"Lognormal","non-SGTF",3.9709356,2.5014831
"Lognormal","non-SGTF",3.717542,1.9776006
"Lognormal","non-SGTF",3.9306104,2.1910492
"Lognormal","non-SGTF",3.9127208,2.1602122
"Lognormal","non-SGTF",3.808898,1.9794185
"Lognormal","non-SGTF",3.8800881,2.0195323
"Lognormal","non-SGTF",3.8457239,2.2026963
"Lognormal","non-SGTF",3.8315378,2.1546572
"Lognormal","non-SGTF",3.886457,2.0339591
"Lognormal","non-SGTF",3.8720545,2.00523
"Lognormal","non-SGTF",3.8945003,2.0661752
"Lognormal","non-SGTF",3.8271815,2.0344061
"Lognormal","non-SGTF",3.9095388,2.1121112
"Lognormal","non-SGTF",3.7910826,2.0787514
"Lognormal","non-SGTF",3.8360409,2.4293951
"Lognormal","non-SGTF",3.8492669,2.5185752
"Lognormal","non-SGTF",3.8660211,2.2883782
"Lognormal","non-SGTF",3.8506774,1.9870667
"Lognormal","non-SGTF",3.7599508,1.8540139
"Lognormal","non-SGTF",3.9498928,2.0240096
"Lognormal","non-SGTF",3.7465814,1.9710906
"Lognormal","non-SGTF",3.8251274,2.0644104
"Lognormal","non-SGTF",3.9367684,2.2907335
"Lognormal","non-SGTF",3.9367684,2.2907335
"Lognormal","non-SGTF",3.8094253,1.887703
"Lognormal","non-SGTF",3.8933111,1.9316147
"Lognormal","non-SGTF",3.8937047,1.9465186
"Lognormal","non-SGTF",3.8783322,2.2537749
"Lognormal","non-SGTF",3.7870416,2.2406995
"Lognormal","non-SGTF",3.8348922,1.8944564
"Lognormal","non-SGTF",3.7380979,1.7920627
"Lognormal","non-SGTF",3.9590114,2.1141225
"Lognormal","non-SGTF",3.8687115,2.0434153
"Lognormal","non-SGTF",3.8769009,2.0057019
"Lognormal","non-SGTF",3.8504673,2.0900397
"Lognormal","non-SGTF",3.8504673,2.0900397
"Lognormal","non-SGTF",3.8958283,2.2556482
"Lognormal","non-SGTF",3.7640818,2.4292482
"Lognormal","non-SGTF",3.7844087,2.4699921
"Lognormal","non-SGTF",3.9016665,2.5525135
"Lognormal","non-SGTF",3.7514348,2.3397113
"Lognormal","non-SGTF",3.914738,2.2229558
"Lognormal","non-SGTF",3.7618699,2.2591673
"Lognormal","non-SGTF",3.7618699,2.2591673
"Lognormal","non-SGTF",3.7982821,2.0906205
"Lognormal","non-SGTF",3.8120868,1.6327743
"Lognormal","non-SGTF",3.9660002,1.8327889
"Lognormal","non-SGTF",3.7516594,1.881496
"Lognormal","non-SGTF",3.8600755,2.0235929
"Lognormal","non-SGTF",3.9064439,2.0773488
"Lognormal","non-SGTF",3.807593,2.1363082
"Lognormal","non-SGTF",3.8818734,1.8899785
"Lognormal","non-SGTF",3.834977,1.848899
"Lognormal","non-SGTF",3.9358027,2.4259693
"Lognormal","non-SGTF",3.7407678,2.0657179
"Lognormal","non-SGTF",3.8600161,2.2445646
"Lognormal","non-SGTF",3.8649533,2.26306
"Lognormal","non-SGTF",3.7984961,1.9665009
"Lognormal","non-SGTF",3.9264369,2.0732512
"Lognormal","non-SGTF",3.9434154,2.0982045
"Lognormal","non-SGTF",3.9885341,2.1952706
"Lognormal","non-SGTF",3.9500183,2.1243094
"Lognormal","non-SGTF",3.8585185,1.9790213
"Lognormal","non-SGTF",3.8566924,1.9687785
"Lognormal","non-SGTF",3.8288642,2.3371986
"Lognormal","non-SGTF",3.822233,2.289225
"Lognormal","non-SGTF",3.8505941,2.2886952
"Lognormal","non-SGTF",3.8869426,2.3077612
"Lognormal","non-SGTF",3.7692508,2.2908378
"Lognormal","non-SGTF",3.7569105,2.1486227
"Lognormal","non-SGTF",3.7644718,2.1556977
"Lognormal","non-SGTF",3.9390275,2.2920757
"Lognormal","non-SGTF",3.8485849,2.3602555
"Lognormal","non-SGTF",3.8206199,2.095341
"Lognormal","non-SGTF",3.8673459,2.3270773
"Lognormal","non-SGTF",3.7414065,2.0795547
"Lognormal","non-SGTF",3.7826553,2.242348
"Lognormal","non-SGTF",3.7897739,2.2392155
"Lognormal","non-SGTF",3.8441611,2.4664502
"Lognormal","non-SGTF",3.8120385,2.1369203
"Lognormal","non-SGTF",3.8499678,2.33331
"Lognormal","non-SGTF",3.8130751,2.2901041
"Lognormal","non-SGTF",3.872581,2.4391236
"Lognormal","non-SGTF",3.8078586,2.3911096
"Lognormal","non-SGTF",3.8711904,1.8877952
"Lognormal","non-SGTF",3.8167515,2.162511
"Lognormal","non-SGTF",3.7532942,1.859296
"Lognormal","non-SGTF",3.8666775,2.1357338
"Lognormal","non-SGTF",3.7969444,2.0377813
"Lognormal","non-SGTF",3.9273155,2.2124305
"Lognormal","non-SGTF",3.8707725,2.1595891
"Lognormal","non-SGTF",3.8463388,2.092348
"Lognormal","non-SGTF",3.8802796,2.0888167
"Lognormal","non-SGTF",3.8330276,2.0962831
"Lognormal","non-SGTF",3.8617848,2.183696
"Lognormal","non-SGTF",3.8335711,2.0299077
"Lognormal","non-SGTF",3.8618858,1.9745036
"Lognormal","non-SGTF",3.8840943,2.4781881
"Lognormal","non-SGTF",3.8392505,2.2590397
"Lognormal","non-SGTF",3.8250052,2.2570485
"Lognormal","non-SGTF",3.8603653,2.070646
"Lognormal","non-SGTF",3.8470043,2.2427729
"Lognormal","non-SGTF",3.8947068,2.361533
"Lognormal","non-SGTF",3.927141,2.4561473
"Lognormal","non-SGTF",3.7975963,2.130995
"Lognormal","non-SGTF",3.894428,2.1511984
"Lognormal","non-SGTF",3.8889262,2.1255176
"Lognormal","non-SGTF",3.8080913,2.0666791
"Lognormal","non-SGTF",3.8784737,2.2776003
"Lognormal","non-SGTF",3.8784737,2.2776003
"Lognormal","non-SGTF",3.9128088,2.344278
"Lognormal","non-SGTF",3.8235966,2.2049347
"Lognormal","non-SGTF",3.7248262,2.1367259
"Lognormal","non-SGTF",3.9388609,2.5443042
"Lognormal","non-SGTF",3.8285628,2.3707817
"Lognormal","non-SGTF",3.8287434,2.3337441
"Lognormal","non-SGTF",3.6923467,2.1516864
"Lognormal","non-SGTF",3.8737237,2.2736185
"Lognormal","non-SGTF",3.8768843,2.0750652
"Lognormal","non-SGTF",3.8535407,2.0622423
"Lognormal","non-SGTF",3.8328221,2.0954966
"Lognormal","non-SGTF",3.808858,2.1703744
"Lognormal","non-SGTF",3.7998286,2.1512402
"Lognormal","non-SGTF",3.8374998,2.2356471
"Lognormal","non-SGTF",3.8012257,2.3257304
"Lognormal","non-SGTF",3.8194896,2.3822419
"Lognormal","non-SGTF",3.7880315,2.2070291
"Lognormal","non-SGTF",3.8922135,2.2485785
"Lognormal","non-SGTF",3.8922135,2.2485785
"Lognormal","non-SGTF",3.9812759,2.3649682
"Lognormal","non-SGTF",3.7981544,2.2283496
"Lognormal","non-SGTF",3.8718791,2.3379045
"Lognormal","non-SGTF",3.8714067,2.2127729
"Lognormal","non-SGTF",3.8031263,2.0985193
"Lognormal","non-SGTF",3.7763633,2.3057147
"Lognormal","non-SGTF",3.8401436,2.5024433
"Lognormal","non-SGTF",3.8149951,2.1269315
"Lognormal","non-SGTF",3.8439376,2.2638802
"Lognormal","non-SGTF",3.8708509,2.2411886
"Lognormal","non-SGTF",3.9628013,2.4085775
"Lognormal","non-SGTF",3.9716092,2.4331368
"Lognormal","non-SGTF",3.7199433,2.0938761
"Lognormal","non-SGTF",3.6560446,1.9395197
"Lognormal","non-SGTF",3.752307,2.1416242
"Lognormal","non-SGTF",3.7858715,2.1899141
"Lognormal","non-SGTF",3.9469948,2.1381209
"Lognormal","non-SGTF",3.7695736,2.1141552
"Lognormal","non-SGTF",3.7716274,1.9868396
"Lognormal","non-SGTF",3.8786004,2.0658309
"Lognormal","non-SGTF",3.8274464,1.8530028
"Lognormal","non-SGTF",3.9356961,2.1658472
"Lognormal","non-SGTF",3.8784217,2.1267571
"Lognormal","non-SGTF",3.8812659,2.5092546
"Lognormal","non-SGTF",3.760386,2.3024067
"Lognormal","non-SGTF",3.8736986,2.5212864
"Lognormal","non-SGTF",3.7606468,2.2465147
"Lognormal","non-SGTF",3.7788972,2.2117617
"Lognormal","non-SGTF",3.9226557,2.1702284
"Lognormal","non-SGTF",3.9236142,2.1674536
"Lognormal","non-SGTF",3.9154623,2.2631421
"Lognormal","non-SGTF",3.9267249,2.2840391
"Lognormal","non-SGTF",3.7955033,1.9687486
"Lognormal","non-SGTF",3.865646,2.0574857
"Lognormal","non-SGTF",3.9158124,2.2794854
"Lognormal","non-SGTF",3.9156597,2.3127605
"Lognormal","non-SGTF",3.8765038,2.4715217
"Lognormal","non-SGTF",3.7447563,2.2462668
"Lognormal","non-SGTF",3.9221521,2.2245817
"Lognormal","non-SGTF",3.769333,2.1728221
"Lognormal","non-SGTF",3.8400467,2.5881873
"Lognormal","non-SGTF",3.8295974,2.6778719
"Lognormal","non-SGTF",3.8158706,2.592146
"Lognormal","non-SGTF",3.8138474,2.4480776
"Lognormal","non-SGTF",3.8286715,2.4459375
"Lognormal","non-SGTF",3.8286715,2.4459375
"Lognormal","non-SGTF",3.7488491,2.3719048
"Lognormal","non-SGTF",3.7381856,2.3537517
"Lognormal","non-SGTF",3.9108876,2.5241724
"Lognormal","non-SGTF",3.7123103,2.1076429
"Lognormal","non-SGTF",3.693799,2.0705747
"Lognormal","non-SGTF",3.9307078,2.4047115
"Lognormal","non-SGTF",3.8408955,2.1089397
"Lognormal","non-SGTF",3.8848951,2.3110736
"Lognormal","non-SGTF",3.8554904,1.8927887
"Lognormal","non-SGTF",3.8363196,1.8958391
"Lognormal","non-SGTF",3.8939855,2.2228717
"Lognormal","non-SGTF",3.8042478,2.0188784
"Lognormal","non-SGTF",3.8960301,2.3596698
"Lognormal","non-SGTF",3.8591223,2.2063102
"Lognormal","non-SGTF",3.7861534,2.2304382
"Lognormal","non-SGTF",3.8735651,2.1427853
"Lognormal","non-SGTF",3.7989333,2.4037805
"Lognormal","non-SGTF",3.7783973,2.3002502
"Lognormal","non-SGTF",3.7797593,1.8063425
"Lognormal","non-SGTF",3.9604341,2.2610676
"Lognormal","non-SGTF",3.7362329,1.9566719
"Lognormal","non-SGTF",3.6909614,1.9045729
"Lognormal","non-SGTF",3.6260842,1.8013024
"Lognormal","non-SGTF",3.9517879,2.1539192
"Lognormal","non-SGTF",3.9506571,1.854096
"Lognormal","non-SGTF",3.871347,1.7753147
"Lognormal","non-SGTF",3.8082106,1.7196416
"Lognormal","non-SGTF",3.9685619,2.334871
"Lognormal","non-SGTF",3.8064014,1.8913658
"Lognormal","non-SGTF",3.9316149,1.9291837
"Lognormal","non-SGTF",3.8049146,2.1146291
"Lognormal","non-SGTF",3.8800319,2.3042116
"Lognormal","non-SGTF",3.9134094,2.3146856
"Lognormal","non-SGTF",3.8788446,2.3842019
"Lognormal","non-SGTF",3.9875709,2.4898182
"Lognormal","non-SGTF",4.0080833,2.5189819
"Lognormal","non-SGTF",3.7053846,1.8638357
"Lognormal","non-SGTF",3.99747,2.5375076
"Lognormal","non-SGTF",3.9403037,2.3943043
"Lognormal","non-SGTF",3.812333,1.893171
"Lognormal","non-SGTF",3.8405079,2.0324167
"Lognormal","non-SGTF",3.8726488,2.1351429
"Lognormal","non-SGTF",3.8428152,2.1730326
"Lognormal","non-SGTF",3.8481752,2.2301479
"Lognormal","non-SGTF",3.9370201,2.3875431
"Lognormal","non-SGTF",3.8398613,2.1553111
"Lognormal","non-SGTF",3.8264926,1.8935242
"Lognormal","non-SGTF",3.8945504,2.064101
"Lognormal","non-SGTF",3.838252,2.0406997
"Lognormal","non-SGTF",3.7618548,2.1025607
"Lognormal","non-SGTF",3.949462,2.1859389
"Lognormal","non-SGTF",3.8008194,1.9066071
"Lognormal","non-SGTF",3.8565133,2.0979599
"Lognormal","non-SGTF",3.8375939,2.2342379
"Lognormal","non-SGTF",3.89562,2.1932961
"Lognormal","non-SGTF",3.8566203,2.1714914
"Lognormal","non-SGTF",3.8997527,2.0334775
"Lognormal","non-SGTF",3.8348865,1.9141995
"Lognormal","non-SGTF",3.8485513,1.9460569
"Lognormal","non-SGTF",3.8634062,2.2248354
"Lognormal","non-SGTF",3.9012889,2.2681272
"Lognormal","non-SGTF",3.8220934,2.0216085
"Lognormal","non-SGTF",3.833797,1.815647
"Lognormal","non-SGTF",3.9323494,1.9693127
"Lognormal","non-SGTF",3.840371,1.8336753
"Lognormal","non-SGTF",3.8265032,2.0898907
"Lognormal","non-SGTF",3.9231688,2.4297238
"Lognormal","non-SGTF",3.8142034,2.1337565
"Lognormal","non-SGTF",3.8552717,2.0358666
"Lognormal","non-SGTF",3.839823,1.9036701
"Lognormal","non-SGTF",3.8485457,1.9723412
"Lognormal","non-SGTF",3.9153035,2.0951926
"Lognormal","non-SGTF",3.910298,2.2616206
"Lognormal","non-SGTF",3.6768222,1.8394797
"Lognormal","non-SGTF",3.8218676,2.1523343
"Lognormal","non-SGTF",3.9032269,2.2584075
"Lognormal","non-SGTF",3.7502944,2.1312843
"Lognormal","non-SGTF",3.7444921,2.1339952
"Lognormal","non-SGTF",3.8503417,2.0653671
"Lognormal","non-SGTF",3.8677309,2.1411755
"Lognormal","non-SGTF",3.7364002,1.9632709
"Lognormal","non-SGTF",3.762005,2.0283562
"Lognormal","non-SGTF",3.8925401,2.153083
"Lognormal","non-SGTF",3.8058422,2.0832705
"Lognormal","non-SGTF",3.8718511,2.2952363
"Lognormal","non-SGTF",3.818828,2.0635195
"Lognormal","non-SGTF",3.817206,2.1999672
"Lognormal","non-SGTF",3.8780859,1.8121564
"Lognormal","non-SGTF",3.8618606,2.610782
"Lognormal","non-SGTF",3.6641563,2.2646087
"Lognormal","non-SGTF",3.9044518,2.4486611
"Lognormal","non-SGTF",3.7524934,2.1041573
"Lognormal","non-SGTF",3.9641126,2.1548593
"Lognormal","non-SGTF",3.973262,2.1544213
"Lognormal","non-SGTF",4.0112316,2.1799896
"Lognormal","non-SGTF",3.7976283,2.0630253
"Lognormal","non-SGTF",3.7561267,2.0329915
"Lognormal","non-SGTF",3.7567974,2.0561596
"Lognormal","non-SGTF",3.8063097,2.2202764
"Lognormal","non-SGTF",3.8753121,2.2616978
"Lognormal","non-SGTF",3.8807104,2.2454371
"Lognormal","non-SGTF",3.8430316,2.1343969
"Lognormal","non-SGTF",3.8607238,2.3742762
"Lognormal","non-SGTF",3.8026413,2.0972987
"Lognormal","non-SGTF",3.7252584,2.1297957
"Lognormal","non-SGTF",3.746815,2.1282685
"Lognormal","non-SGTF",3.7328419,2.1177117
"Lognormal","non-SGTF",3.8582021,2.2818129
"Lognormal","non-SGTF",3.8218622,2.1895801
"Lognormal","non-SGTF",3.8373231,2.2216419
"Lognormal","non-SGTF",3.7806222,2.2929785
"Lognormal","non-SGTF",3.9142529,2.5350533
"Lognormal","non-SGTF",3.8736616,2.4768915
"Lognormal","non-SGTF",3.756457,2.2942844
"Lognormal","non-SGTF",3.752195,2.3049539
"Lognormal","non-SGTF",3.9475689,2.1136309
"Lognormal","non-SGTF",3.9762844,2.1398174
"Lognormal","non-SGTF",4.0063985,2.1909846
"Lognormal","non-SGTF",4.0511801,2.2649459
"Lognormal","non-SGTF",4.0744679,2.3132443
"Lognormal","non-SGTF",3.9412632,2.8738981
"Lognormal","non-SGTF",3.7308747,2.3335174
"Lognormal","non-SGTF",3.7209782,2.4452759
"Lognormal","non-SGTF",3.8118826,2.5723432
"Lognormal","non-SGTF",3.6983678,2.5390867
"Lognormal","non-SGTF",3.6148877,2.2532563
"Lognormal","non-SGTF",3.7622683,2.4342745
"Lognormal","non-SGTF",3.8365609,2.4941504
"Lognormal","non-SGTF",3.8645563,2.6114731
"Lognormal","non-SGTF",3.7175428,2.2451274
"Lognormal","non-SGTF",3.7985416,2.173104
"Lognormal","non-SGTF",3.9043893,2.1293347
"Lognormal","non-SGTF",3.692411,2.140623
"Lognormal","non-SGTF",3.6687031,2.1134302
"Lognormal","non-SGTF",4.0078949,2.371701
"Lognormal","non-SGTF",3.9734074,2.3147489
"Lognormal","non-SGTF",3.7546736,2.0395853
"Lognormal","non-SGTF",3.7212492,2.0113828
"Lognormal","non-SGTF",3.7067399,1.9934532
"Lognormal","non-SGTF",3.8168812,2.1167199
"Lognormal","non-SGTF",3.7772145,2.2115051
"Lognormal","non-SGTF",3.818151,2.3290401
"Lognormal","non-SGTF",3.8717762,2.2319812
"Lognormal","non-SGTF",3.8874537,2.2395189
"Lognormal","non-SGTF",3.8573051,2.4144301
"Lognormal","non-SGTF",3.8648501,2.4458893
"Lognormal","non-SGTF",3.7780525,2.276762
"Lognormal","non-SGTF",3.9074705,2.2277205
"Lognormal","non-SGTF",3.8283326,2.0945097
"Lognormal","non-SGTF",3.7431707,2.1162635
"Lognormal","non-SGTF",3.758083,1.8348479
"Lognormal","non-SGTF",3.905079,1.9915545
"Lognormal","non-SGTF",3.6356379,2.1137687
"Lognormal","non-SGTF",3.6356379,2.1137687
"Lognormal","non-SGTF",3.9691873,2.0060904
"Lognormal","non-SGTF",3.8999537,2.4366439
"Lognormal","non-SGTF",3.849922,2.3588382
"Lognormal","non-SGTF",3.8153123,2.2687586
"Lognormal","non-SGTF",3.857355,2.1767551
"Lognormal","non-SGTF",3.8489483,2.3172563
"Lognormal","non-SGTF",3.8239818,2.1183014
"Lognormal","non-SGTF",3.8026616,2.107039
"Lognormal","non-SGTF",3.8635164,2.2308622
"Lognormal","non-SGTF",3.9103297,1.9007988
"Lognormal","non-SGTF",3.9037654,1.8636794
"Lognormal","non-SGTF",3.8828753,2.3985196
"Lognormal","non-SGTF",3.8888105,2.3933127
"Lognormal","non-SGTF",3.8688581,2.4493481
"Lognormal","non-SGTF",3.7947585,1.995939
"Lognormal","non-SGTF",3.8528468,2.1215871
"Lognormal","non-SGTF",3.8527408,1.9498447
"Lognormal","non-SGTF",3.8420906,2.1701021
"Lognormal","non-SGTF",3.8626703,2.0977564
"Lognormal","non-SGTF",3.8368481,2.0448516
"Lognormal","non-SGTF",3.8471535,2.2836389
"Lognormal","non-SGTF",3.9303925,2.1534979
"Lognormal","non-SGTF",3.9234262,2.0695436
"Lognormal","non-SGTF",3.8643731,1.999266
"Lognormal","non-SGTF",3.8630546,2.1247334
"Lognormal","non-SGTF",3.7814081,1.9607992
"Lognormal","non-SGTF",3.8431065,2.0503376
"Lognormal","non-SGTF",3.8155508,1.9828133
"Lognormal","non-SGTF",3.8817845,2.5721944
"Lognormal","non-SGTF",3.7983004,2.4199623
"Lognormal","non-SGTF",3.8898149,2.5112718
"Lognormal","non-SGTF",3.8618146,2.3991151
"Lognormal","non-SGTF",3.7792986,2.2184336
"Lognormal","non-SGTF",3.7627955,2.0982423
"Lognormal","non-SGTF",3.7795803,2.0625667
"Lognormal","non-SGTF",3.7821143,1.9852727
"Lognormal","non-SGTF",3.8661832,2.0732352
"Lognormal","non-SGTF",3.8241753,2.2958896
"Lognormal","non-SGTF",3.8496755,2.3336645
"Lognormal","non-SGTF",3.9363212,2.2819339
"Lognormal","non-SGTF",3.9488222,2.2925569
"Lognormal","non-SGTF",3.9340954,2.3294469
"Lognormal","non-SGTF",3.9534589,2.3826127
"Lognormal","non-SGTF",3.9246525,2.3341812
"Lognormal","non-SGTF",3.8671151,2.0836599
"Lognormal","non-SGTF",3.8163779,1.9919709
"Lognormal","non-SGTF",3.7970293,2.2450534
"Lognormal","non-SGTF",3.8933199,2.3735496
"Lognormal","non-SGTF",3.7514644,1.9811099
"Lognormal","non-SGTF",3.8696947,2.3159644
"Lognormal","non-SGTF",3.796867,2.1322862
"Lognormal","non-SGTF",3.8075604,2.2216354
"Lognormal","non-SGTF",3.7888359,2.190496
"Lognormal","non-SGTF",3.829354,2.3333148
"Lognormal","non-SGTF",3.7456188,2.4182363
"Lognormal","non-SGTF",3.8272802,2.5153813
"Lognormal","non-SGTF",3.864411,2.1437454
"Lognormal","non-SGTF",3.8925331,2.2946154
"Lognormal","non-SGTF",3.9581139,2.1613345
"Lognormal","non-SGTF",3.881495,2.1190516
"Lognormal","non-SGTF",3.885861,2.1333334
"Lognormal","non-SGTF",3.8551792,2.2135332
"Lognormal","non-SGTF",3.8913237,2.2571799
"Lognormal","non-SGTF",3.8866216,1.8570332
"Lognormal","non-SGTF",3.8571306,2.4229732
"Lognormal","non-SGTF",3.8671497,2.4587229
"Lognormal","non-SGTF",3.9364459,2.3784602
"Lognormal","non-SGTF",3.9282817,2.3848864
"Lognormal","non-SGTF",3.9989352,2.4042372
"Lognormal","non-SGTF",3.9836534,2.262538
"Lognormal","non-SGTF",3.8328577,2.0620906
