"model","strain","mean_gen","sd_gen"
"Lognormal","SGTF",3.0306844,1.3263164
"Lognormal","SGTF",3.0477032,1.3164445
"Lognormal","SGTF",3.0308597,1.332489
"Lognormal","SGTF",2.9086381,1.574001
"Lognormal","SGTF",3.0653265,1.431625
"Lognormal","SGTF",3.04245,1.5591105
"Lognormal","SGTF",2.7862353,1.1684992
"Lognormal","SGTF",2.9743618,1.6014419
"Lognormal","SGTF",2.9838242,1.6166343
"Lognormal","SGTF",2.9628712,1.5952881
"Lognormal","SGTF",3.020359,1.822453
"Lognormal","SGTF",2.7998609,1.5539607
"Lognormal","SGTF",3.0251375,1.8087152
"Lognormal","SGTF",2.930763,1.5557703
"Lognormal","SGTF",2.9178317,1.6250458
"Lognormal","SGTF",2.8627223,1.55003
"Lognormal","SGTF",2.899465,1.5957296
"Lognormal","SGTF",2.9979259,1.2936424
"Lognormal","SGTF",2.8961695,1.0775324
"Lognormal","SGTF",2.8388451,1.0341467
"Lognormal","SGTF",3.0708958,1.4746888
"Lognormal","SGTF",3.131303,1.4228591
"Lognormal","SGTF",3.1280891,1.7060423
"Lognormal","SGTF",3.0921171,1.7312129
"Lognormal","SGTF",2.9815551,1.3737566
"Lognormal","SGTF",2.8774183,1.4671207
"Lognormal","SGTF",2.8347816,1.3239361
"Lognormal","SGTF",2.8643688,1.192047
"Lognormal","SGTF",2.8790159,1.207188
"Lognormal","SGTF",2.8259281,1.3445187
"Lognormal","SGTF",3.0916821,1.8460757
"Lognormal","SGTF",2.7972247,1.0972295
"Lognormal","SGTF",2.8118562,1.1267941
"Lognormal","SGTF",2.7862203,1.0489099
"Lognormal","SGTF",2.9323841,1.2842399
"Lognormal","SGTF",2.9203902,1.2249264
"Lognormal","SGTF",3.0067577,1.2022733
"Lognormal","SGTF",3.0062493,1.4589941
"Lognormal","SGTF",2.9179474,1.733292
"Lognormal","SGTF",3.0024608,1.3374872
"Lognormal","SGTF",3.0133743,1.5827027
"Lognormal","SGTF",3.0861259,1.5032064
"Lognormal","SGTF",3.0200049,1.525473
